Depth (m), T (deg C), thetaI (-), thetaL (-), thetaT (-)
    0.001,   -0.0012,     0.0045,     0.5159,     0.5200
    0.003,   -0.0035,     0.0344,     0.4885,     0.5200
    0.005,   -0.0056,     0.0727,     0.4533,     0.5200
    0.007,   -0.0075,     0.1064,     0.4224,     0.5200
    0.009,   -0.0093,     0.1334,     0.3977,     0.5200
    0.011,   -0.0109,     0.1547,     0.3781,     0.5200
    0.013,   -0.0125,     0.1717,     0.3625,     0.5200
    0.015,   -0.0140,     0.1856,     0.3498,     0.5200
    0.017,   -0.0155,     0.1970,     0.3393,     0.5200
    0.019,   -0.0169,     0.2066,     0.3305,     0.5200
    0.021,   -0.0182,     0.2148,     0.3230,     0.5200
    0.023,   -0.0195,     0.2219,     0.3166,     0.5200
    0.025,   -0.0208,     0.2280,     0.3109,     0.5200
    0.027,   -0.0221,     0.2334,     0.3060,     0.5200
    0.029,   -0.0233,     0.2382,     0.3016,     0.5200
    0.031,   -0.0245,     0.2425,     0.2976,     0.5200
    0.033,   -0.0257,     0.2464,     0.2941,     0.5200
    0.035,   -0.0269,     0.2498,     0.2909,     0.5200
    0.037,   -0.0280,     0.2530,     0.2880,     0.5200
    0.039,   -0.0292,     0.2559,     0.2853,     0.5200
    0.041,   -0.0303,     0.2585,     0.2829,     0.5200
    0.043,   -0.0314,     0.2610,     0.2807,     0.5200
    0.045,   -0.0325,     0.2632,     0.2786,     0.5200
    0.047,   -0.0336,     0.2653,     0.2767,     0.5200
    0.049,   -0.0346,     0.2672,     0.2749,     0.5200
    0.051,   -0.0357,     0.2690,     0.2732,     0.5199
    0.053,   -0.0367,     0.2705,     0.2717,     0.5198
    0.055,   -0.0377,     0.2719,     0.2702,     0.5195
    0.057,   -0.0387,     0.2730,     0.2689,     0.5192
    0.059,   -0.0398,     0.2739,     0.2676,     0.5187
    0.061,   -0.0408,     0.2745,     0.2663,     0.5180
    0.063,   -0.0418,     0.2747,     0.2652,     0.5171
    0.065,   -0.0428,     0.2745,     0.2641,     0.5158
    0.067,   -0.0438,     0.2739,     0.2630,     0.5141
    0.069,   -0.0448,     0.2727,     0.2619,     0.5120
    0.071,   -0.0459,     0.2709,     0.2609,     0.5093
    0.073,   -0.0470,     0.2684,     0.2599,     0.5061
    0.075,   -0.0481,     0.2652,     0.2589,     0.5021
    0.077,   -0.0493,     0.2613,     0.2580,     0.4975
    0.079,   -0.0505,     0.2566,     0.2570,     0.4923
    0.081,   -0.0518,     0.2513,     0.2560,     0.4864
    0.083,   -0.0532,     0.2454,     0.2549,     0.4799
    0.085,   -0.0547,     0.2390,     0.2539,     0.4731
    0.087,   -0.0564,     0.2324,     0.2529,     0.4659
    0.089,   -0.0581,     0.2256,     0.2518,     0.4587
    0.091,   -0.0601,     0.2190,     0.2507,     0.4515
    0.093,   -0.0621,     0.2127,     0.2496,     0.4446
    0.095,   -0.0643,     0.2069,     0.2485,     0.4382
    0.097,   -0.0667,     0.2018,     0.2474,     0.4324
    0.099,   -0.0692,     0.1976,     0.2463,     0.4275
    0.101,   -0.0718,     0.1943,     0.2452,     0.4234
    0.103,   -0.0746,     0.1920,     0.2442,     0.4203
    0.105,   -0.0773,     0.1906,     0.2433,     0.4180
    0.107,   -0.0801,     0.1900,     0.2423,     0.4165
    0.109,   -0.0830,     0.1899,     0.2415,     0.4157
    0.111,   -0.0858,     0.1903,     0.2407,     0.4152
    0.113,   -0.0886,     0.1908,     0.2400,     0.4150
    0.115,   -0.0914,     0.1915,     0.2393,     0.4149
    0.117,   -0.0942,     0.1921,     0.2386,     0.4148
    0.119,   -0.0970,     0.1928,     0.2380,     0.4148
    0.121,   -0.0998,     0.1934,     0.2374,     0.4148
    0.123,   -0.1025,     0.1939,     0.2369,     0.4148
    0.125,   -0.1053,     0.1945,     0.2364,     0.4148
    0.127,   -0.1080,     0.1950,     0.2359,     0.4147
    0.129,   -0.1107,     0.1955,     0.2355,     0.4147
    0.131,   -0.1134,     0.1959,     0.2351,     0.4147
    0.133,   -0.1161,     0.1964,     0.2347,     0.4147
    0.135,   -0.1187,     0.1968,     0.2343,     0.4147
    0.137,   -0.1214,     0.1972,     0.2339,     0.4147
    0.139,   -0.1240,     0.1976,     0.2336,     0.4147
    0.141,   -0.1266,     0.1979,     0.2332,     0.4147
    0.143,   -0.1293,     0.1983,     0.2329,     0.4147
    0.145,   -0.1319,     0.1986,     0.2326,     0.4147
    0.147,   -0.1345,     0.1989,     0.2323,     0.4147
    0.149,   -0.1371,     0.1992,     0.2320,     0.4147
    0.151,   -0.1397,     0.1995,     0.2318,     0.4147
    0.153,   -0.1422,     0.1998,     0.2315,     0.4147
    0.155,   -0.1448,     0.2000,     0.2313,     0.4147
