Depth (m), T (deg C), thetaI (-), thetaL (-), thetaT (-)
    0.157,   -0.1474,     0.2003,     0.2310,     0.4147
    0.159,   -0.1499,     0.2005,     0.2308,     0.4147
    0.161,   -0.1524,     0.2008,     0.2306,     0.4147
    0.163,   -0.1550,     0.2010,     0.2304,     0.4147
    0.165,   -0.1575,     0.2012,     0.2302,     0.4147
    0.167,   -0.1600,     0.2014,     0.2300,     0.4147
    0.169,   -0.1625,     0.2017,     0.2298,     0.4147
    0.171,   -0.1650,     0.2019,     0.2296,     0.4147
    0.173,   -0.1675,     0.2020,     0.2294,     0.4147
    0.175,   -0.1700,     0.2022,     0.2293,     0.4147
    0.177,   -0.1725,     0.2024,     0.2291,     0.4147
    0.179,   -0.1750,     0.2026,     0.2289,     0.4147
    0.181,   -0.1774,     0.2028,     0.2288,     0.4147
    0.183,   -0.1799,     0.2029,     0.2286,     0.4147
    0.185,   -0.1824,     0.2031,     0.2285,     0.4147
    0.187,   -0.1848,     0.2032,     0.2283,     0.4147
    0.189,   -0.1872,     0.2034,     0.2282,     0.4147
    0.191,   -0.1897,     0.2035,     0.2281,     0.4147
    0.193,   -0.1921,     0.2037,     0.2279,     0.4147
    0.195,   -0.1945,     0.2038,     0.2278,     0.4147
    0.197,   -0.1970,     0.2040,     0.2277,     0.4147
    0.199,   -0.1994,     0.2041,     0.2276,     0.4147
    0.201,   -0.2018,     0.2042,     0.2274,     0.4147
    0.203,   -0.2042,     0.2043,     0.2273,     0.4147
    0.205,   -0.2066,     0.2045,     0.2272,     0.4147
    0.207,   -0.2090,     0.2046,     0.2271,     0.4147
    0.209,   -0.2114,     0.2047,     0.2270,     0.4147
    0.211,   -0.2138,     0.2048,     0.2269,     0.4147
    0.213,   -0.2162,     0.2049,     0.2268,     0.4147
    0.215,   -0.2185,     0.2050,     0.2267,     0.4147
    0.217,   -0.2209,     0.2051,     0.2266,     0.4147
    0.219,   -0.2233,     0.2052,     0.2265,     0.4147
    0.221,   -0.2256,     0.2053,     0.2264,     0.4147
    0.223,   -0.2280,     0.2054,     0.2263,     0.4147
    0.225,   -0.2304,     0.2055,     0.2262,     0.4147
    0.227,   -0.2327,     0.2056,     0.2261,     0.4147
    0.229,   -0.2351,     0.2057,     0.2261,     0.4147
    0.231,   -0.2374,     0.2058,     0.2260,     0.4147
    0.233,   -0.2397,     0.2059,     0.2259,     0.4147
    0.235,   -0.2421,     0.2060,     0.2258,     0.4147
    0.237,   -0.2444,     0.2061,     0.2257,     0.4147
    0.239,   -0.2467,     0.2061,     0.2257,     0.4147
    0.241,   -0.2490,     0.2062,     0.2256,     0.4147
    0.243,   -0.2514,     0.2063,     0.2255,     0.4147
    0.245,   -0.2537,     0.2064,     0.2255,     0.4147
    0.247,   -0.2560,     0.2064,     0.2254,     0.4147
    0.249,   -0.2583,     0.2065,     0.2253,     0.4147
    0.251,   -0.2606,     0.2066,     0.2253,     0.4147
    0.253,   -0.2629,     0.2067,     0.2252,     0.4147
    0.255,   -0.2652,     0.2067,     0.2251,     0.4147
    0.257,   -0.2675,     0.2068,     0.2251,     0.4147
    0.259,   -0.2698,     0.2069,     0.2250,     0.4147
    0.261,   -0.2721,     0.2069,     0.2249,     0.4147
    0.263,   -0.2743,     0.2070,     0.2249,     0.4147
    0.265,   -0.2766,     0.2071,     0.2248,     0.4147
    0.267,   -0.2789,     0.2071,     0.2248,     0.4147
    0.269,   -0.2812,     0.2072,     0.2247,     0.4147
    0.271,   -0.2834,     0.2072,     0.2246,     0.4147
    0.273,   -0.2857,     0.2073,     0.2246,     0.4147
    0.275,   -0.2880,     0.2074,     0.2245,     0.4147
    0.277,   -0.2902,     0.2074,     0.2245,     0.4147
    0.279,   -0.2925,     0.2075,     0.2244,     0.4147
    0.281,   -0.2947,     0.2075,     0.2244,     0.4147
    0.283,   -0.2970,     0.2076,     0.2243,     0.4147
    0.285,   -0.2992,     0.2076,     0.2243,     0.4147
    0.287,   -0.3015,     0.2077,     0.2242,     0.4147
    0.289,   -0.3037,     0.2077,     0.2242,     0.4147
    0.291,   -0.3059,     0.2078,     0.2241,     0.4147
    0.293,   -0.3082,     0.2078,     0.2241,     0.4147
    0.295,   -0.3104,     0.2079,     0.2241,     0.4147
    0.297,   -0.3126,     0.2079,     0.2240,     0.4147
    0.299,   -0.3149,     0.2080,     0.2240,     0.4147
    0.301,   -0.3171,     0.2080,     0.2239,     0.4147
    0.303,   -0.3193,     0.2081,     0.2239,     0.4147
    0.305,   -0.3215,     0.2081,     0.2238,     0.4147
    0.307,   -0.3237,     0.2082,     0.2238,     0.4147
    0.309,   -0.3259,     0.2082,     0.2238,     0.4147
    0.311,   -0.3281,     0.2083,     0.2237,     0.4147
    0.313,   -0.3303,     0.2083,     0.2237,     0.4147
    0.315,   -0.3326,     0.2083,     0.2236,     0.4147
    0.317,   -0.3348,     0.2084,     0.2236,     0.4147
    0.319,   -0.3369,     0.2084,     0.2236,     0.4147
    0.321,   -0.3391,     0.2085,     0.2235,     0.4147
    0.323,   -0.3413,     0.2085,     0.2235,     0.4147
    0.325,   -0.3435,     0.2086,     0.2235,     0.4147
    0.327,   -0.3457,     0.2086,     0.2234,     0.4147
    0.329,   -0.3479,     0.2086,     0.2234,     0.4147
    0.331,   -0.3501,     0.2087,     0.2234,     0.4147
    0.333,   -0.3523,     0.2087,     0.2233,     0.4147
    0.335,   -0.3544,     0.2087,     0.2233,     0.4147
    0.337,   -0.3566,     0.2088,     0.2232,     0.4147
    0.339,   -0.3588,     0.2088,     0.2232,     0.4147
    0.341,   -0.3609,     0.2088,     0.2232,     0.4147
    0.343,   -0.3631,     0.2089,     0.2232,     0.4147
    0.345,   -0.3653,     0.2089,     0.2231,     0.4147
    0.347,   -0.3674,     0.2090,     0.2231,     0.4147
    0.349,   -0.3696,     0.2090,     0.2231,     0.4147
    0.351,   -0.3718,     0.2090,     0.2230,     0.4147
    0.353,   -0.3739,     0.2090,     0.2230,     0.4147
    0.355,   -0.3761,     0.2091,     0.2230,     0.4147
    0.357,   -0.3782,     0.2091,     0.2229,     0.4147
    0.359,   -0.3804,     0.2091,     0.2229,     0.4147
    0.361,   -0.3825,     0.2092,     0.2229,     0.4147
    0.363,   -0.3847,     0.2092,     0.2229,     0.4147
    0.365,   -0.3868,     0.2092,     0.2228,     0.4147
    0.367,   -0.3889,     0.2093,     0.2228,     0.4147
    0.369,   -0.3911,     0.2093,     0.2228,     0.4147
    0.371,   -0.3932,     0.2093,     0.2227,     0.4147
    0.373,   -0.3953,     0.2094,     0.2227,     0.4147
    0.375,   -0.3975,     0.2094,     0.2227,     0.4147
    0.377,   -0.3996,     0.2094,     0.2227,     0.4147
    0.379,   -0.4017,     0.2094,     0.2226,     0.4147
    0.381,   -0.4038,     0.2095,     0.2226,     0.4147
    0.383,   -0.4060,     0.2095,     0.2226,     0.4147
    0.385,   -0.4081,     0.2095,     0.2226,     0.4147
    0.387,   -0.4102,     0.2095,     0.2225,     0.4147
    0.389,   -0.4123,     0.2096,     0.2225,     0.4147
    0.391,   -0.4144,     0.2096,     0.2225,     0.4147
    0.393,   -0.4165,     0.2096,     0.2225,     0.4147
    0.395,   -0.4186,     0.2096,     0.2225,     0.4147
    0.397,   -0.4208,     0.2097,     0.2224,     0.4147
    0.399,   -0.4229,     0.2097,     0.2224,     0.4147
    0.401,   -0.4250,     0.2097,     0.2224,     0.4147
    0.403,   -0.4271,     0.2097,     0.2224,     0.4147
    0.405,   -0.4292,     0.2098,     0.2223,     0.4147
    0.407,   -0.4313,     0.2098,     0.2223,     0.4147
    0.409,   -0.4334,     0.2098,     0.2223,     0.4147
    0.411,   -0.4354,     0.2098,     0.2223,     0.4147
    0.413,   -0.4375,     0.2099,     0.2223,     0.4147
    0.415,   -0.4396,     0.2099,     0.2222,     0.4147
    0.417,   -0.4417,     0.2099,     0.2222,     0.4147
    0.419,   -0.4438,     0.2099,     0.2222,     0.4147
    0.421,   -0.4459,     0.2100,     0.2222,     0.4147
    0.423,   -0.4480,     0.2100,     0.2222,     0.4147
    0.425,   -0.4500,     0.2100,     0.2221,     0.4147
    0.427,   -0.4521,     0.2100,     0.2221,     0.4147
    0.429,   -0.4542,     0.2100,     0.2221,     0.4147
    0.431,   -0.4563,     0.2101,     0.2221,     0.4147
    0.433,   -0.4583,     0.2101,     0.2221,     0.4147
    0.435,   -0.4604,     0.2101,     0.2220,     0.4147
    0.437,   -0.4625,     0.2101,     0.2220,     0.4147
    0.439,   -0.4645,     0.2101,     0.2220,     0.4147
    0.441,   -0.4666,     0.2102,     0.2220,     0.4147
    0.443,   -0.4687,     0.2102,     0.2220,     0.4147
    0.445,   -0.4707,     0.2102,     0.2219,     0.4147
    0.447,   -0.4728,     0.2102,     0.2219,     0.4147
    0.449,   -0.4749,     0.2102,     0.2219,     0.4147
    0.451,   -0.4769,     0.2103,     0.2219,     0.4147
    0.453,   -0.4790,     0.2103,     0.2219,     0.4147
    0.455,   -0.4810,     0.2103,     0.2219,     0.4147
    0.457,   -0.4831,     0.2103,     0.2218,     0.4147
    0.459,   -0.4851,     0.2103,     0.2218,     0.4147
    0.461,   -0.4872,     0.2103,     0.2218,     0.4147
    0.463,   -0.4892,     0.2104,     0.2218,     0.4147
    0.465,   -0.4913,     0.2104,     0.2218,     0.4147
    0.467,   -0.4933,     0.2104,     0.2218,     0.4147
    0.469,   -0.4953,     0.2104,     0.2217,     0.4147
    0.471,   -0.4974,     0.2104,     0.2217,     0.4147
    0.473,   -0.4994,     0.2105,     0.2217,     0.4147
    0.475,   -0.5014,     0.2105,     0.2217,     0.4147
    0.477,   -0.5035,     0.2105,     0.2217,     0.4147
    0.479,   -0.5055,     0.2105,     0.2217,     0.4147
    0.481,   -0.5075,     0.2105,     0.2216,     0.4147
    0.483,   -0.5096,     0.2105,     0.2216,     0.4147
    0.485,   -0.5116,     0.2106,     0.2216,     0.4147
    0.487,   -0.5136,     0.2106,     0.2216,     0.4147
    0.489,   -0.5157,     0.2106,     0.2216,     0.4147
    0.491,   -0.5177,     0.2106,     0.2216,     0.4147
    0.493,   -0.5197,     0.2106,     0.2216,     0.4147
    0.495,   -0.5217,     0.2106,     0.2215,     0.4147
    0.497,   -0.5237,     0.2106,     0.2215,     0.4147
    0.499,   -0.5258,     0.2107,     0.2215,     0.4147
    0.501,   -0.5278,     0.2107,     0.2215,     0.4147
    0.503,   -0.5298,     0.2107,     0.2215,     0.4147
    0.505,   -0.5318,     0.2107,     0.2215,     0.4147
    0.507,   -0.5338,     0.2107,     0.2215,     0.4147
    0.509,   -0.5358,     0.2107,     0.2215,     0.4147
    0.511,   -0.5378,     0.2108,     0.2214,     0.4147
    0.513,   -0.5398,     0.2108,     0.2214,     0.4147
    0.515,   -0.5418,     0.2108,     0.2214,     0.4147
    0.517,   -0.5438,     0.2108,     0.2214,     0.4147
    0.519,   -0.5458,     0.2108,     0.2214,     0.4147
    0.521,   -0.5478,     0.2108,     0.2214,     0.4147
    0.523,   -0.5498,     0.2108,     0.2214,     0.4147
    0.525,   -0.5518,     0.2108,     0.2213,     0.4147
    0.527,   -0.5538,     0.2109,     0.2213,     0.4147
    0.529,   -0.5558,     0.2109,     0.2213,     0.4147
    0.531,   -0.5578,     0.2109,     0.2213,     0.4147
    0.533,   -0.5598,     0.2109,     0.2213,     0.4147
    0.535,   -0.5618,     0.2109,     0.2213,     0.4147
    0.537,   -0.5638,     0.2109,     0.2213,     0.4147
    0.539,   -0.5658,     0.2109,     0.2213,     0.4147
    0.541,   -0.5678,     0.2110,     0.2213,     0.4147
    0.543,   -0.5697,     0.2110,     0.2212,     0.4147
    0.545,   -0.5717,     0.2110,     0.2212,     0.4147
    0.547,   -0.5737,     0.2110,     0.2212,     0.4147
    0.549,   -0.5757,     0.2110,     0.2212,     0.4147
    0.551,   -0.5777,     0.2110,     0.2212,     0.4147
    0.553,   -0.5796,     0.2110,     0.2212,     0.4147
    0.555,   -0.5816,     0.2110,     0.2212,     0.4147
    0.557,   -0.5836,     0.2111,     0.2212,     0.4147
    0.559,   -0.5856,     0.2111,     0.2211,     0.4147
    0.561,   -0.5875,     0.2111,     0.2211,     0.4147
    0.563,   -0.5895,     0.2111,     0.2211,     0.4147
    0.565,   -0.5915,     0.2111,     0.2211,     0.4147
    0.567,   -0.5935,     0.2111,     0.2211,     0.4147
    0.569,   -0.5954,     0.2111,     0.2211,     0.4147
    0.571,   -0.5974,     0.2111,     0.2211,     0.4147
    0.573,   -0.5994,     0.2111,     0.2211,     0.4147
    0.575,   -0.6013,     0.2112,     0.2211,     0.4147
    0.577,   -0.6033,     0.2112,     0.2211,     0.4147
    0.579,   -0.6052,     0.2112,     0.2210,     0.4147
    0.581,   -0.6072,     0.2112,     0.2210,     0.4147
    0.583,   -0.6092,     0.2112,     0.2210,     0.4147
    0.585,   -0.6111,     0.2112,     0.2210,     0.4147
    0.587,   -0.6131,     0.2112,     0.2210,     0.4147
    0.589,   -0.6150,     0.2112,     0.2210,     0.4147
    0.591,   -0.6170,     0.2112,     0.2210,     0.4147
    0.593,   -0.6189,     0.2113,     0.2210,     0.4147
    0.595,   -0.6209,     0.2113,     0.2210,     0.4147
    0.597,   -0.6228,     0.2113,     0.2210,     0.4147
    0.599,   -0.6248,     0.2113,     0.2209,     0.4147
    0.601,   -0.6267,     0.2113,     0.2209,     0.4147
    0.603,   -0.6287,     0.2113,     0.2209,     0.4147
    0.605,   -0.6306,     0.2113,     0.2209,     0.4147
    0.607,   -0.6326,     0.2113,     0.2209,     0.4147
    0.609,   -0.6345,     0.2113,     0.2209,     0.4147
    0.611,   -0.6365,     0.2113,     0.2209,     0.4147
    0.613,   -0.6384,     0.2114,     0.2209,     0.4147
    0.615,   -0.6403,     0.2114,     0.2209,     0.4147
    0.617,   -0.6423,     0.2114,     0.2209,     0.4147
    0.619,   -0.6442,     0.2114,     0.2209,     0.4147
    0.621,   -0.6461,     0.2114,     0.2208,     0.4147
    0.623,   -0.6481,     0.2114,     0.2208,     0.4147
    0.625,   -0.6500,     0.2114,     0.2208,     0.4147
    0.627,   -0.6519,     0.2114,     0.2208,     0.4147
    0.629,   -0.6539,     0.2114,     0.2208,     0.4147
    0.631,   -0.6558,     0.2114,     0.2208,     0.4147
    0.633,   -0.6577,     0.2115,     0.2208,     0.4147
    0.635,   -0.6597,     0.2115,     0.2208,     0.4147
    0.637,   -0.6616,     0.2115,     0.2208,     0.4147
    0.639,   -0.6635,     0.2115,     0.2208,     0.4147
    0.641,   -0.6654,     0.2115,     0.2208,     0.4147
    0.643,   -0.6674,     0.2115,     0.2208,     0.4147
    0.645,   -0.6693,     0.2115,     0.2207,     0.4147
    0.647,   -0.6712,     0.2115,     0.2207,     0.4147
    0.649,   -0.6731,     0.2115,     0.2207,     0.4147
    0.651,   -0.6751,     0.2115,     0.2207,     0.4147
    0.653,   -0.6770,     0.2115,     0.2207,     0.4147
    0.655,   -0.6789,     0.2116,     0.2207,     0.4147
    0.657,   -0.6808,     0.2116,     0.2207,     0.4147
    0.659,   -0.6827,     0.2116,     0.2207,     0.4147
    0.661,   -0.6846,     0.2116,     0.2207,     0.4147
    0.663,   -0.6866,     0.2116,     0.2207,     0.4147
    0.665,   -0.6885,     0.2116,     0.2207,     0.4147
    0.667,   -0.6904,     0.2116,     0.2207,     0.4147
    0.669,   -0.6923,     0.2116,     0.2207,     0.4147
    0.671,   -0.6942,     0.2116,     0.2206,     0.4147
    0.673,   -0.6961,     0.2116,     0.2206,     0.4147
    0.675,   -0.6980,     0.2116,     0.2206,     0.4147
    0.677,   -0.6999,     0.2116,     0.2206,     0.4147
    0.679,   -0.7018,     0.2117,     0.2206,     0.4147
    0.681,   -0.7037,     0.2117,     0.2206,     0.4147
    0.683,   -0.7057,     0.2117,     0.2206,     0.4147
    0.685,   -0.7076,     0.2117,     0.2206,     0.4147
    0.687,   -0.7095,     0.2117,     0.2206,     0.4147
    0.689,   -0.7114,     0.2117,     0.2206,     0.4147
    0.691,   -0.7133,     0.2117,     0.2206,     0.4147
    0.693,   -0.7152,     0.2117,     0.2206,     0.4147
    0.695,   -0.7171,     0.2117,     0.2206,     0.4147
    0.697,   -0.7190,     0.2117,     0.2205,     0.4147
    0.699,   -0.7209,     0.2117,     0.2205,     0.4147
    0.701,   -0.7228,     0.2117,     0.2205,     0.4147
    0.703,   -0.7247,     0.2117,     0.2205,     0.4147
    0.705,   -0.7266,     0.2118,     0.2205,     0.4147
    0.707,   -0.7284,     0.2118,     0.2205,     0.4147
    0.709,   -0.7303,     0.2118,     0.2205,     0.4147
    0.711,   -0.7322,     0.2118,     0.2205,     0.4147
    0.713,   -0.7341,     0.2118,     0.2205,     0.4147
    0.715,   -0.7360,     0.2118,     0.2205,     0.4147
    0.717,   -0.7379,     0.2118,     0.2205,     0.4147
    0.719,   -0.7398,     0.2118,     0.2205,     0.4147
    0.721,   -0.7417,     0.2118,     0.2205,     0.4147
    0.723,   -0.7436,     0.2118,     0.2205,     0.4147
    0.725,   -0.7455,     0.2118,     0.2205,     0.4147
    0.727,   -0.7473,     0.2118,     0.2205,     0.4147
    0.729,   -0.7492,     0.2118,     0.2204,     0.4147
    0.731,   -0.7511,     0.2118,     0.2204,     0.4147
    0.733,   -0.7530,     0.2118,     0.2204,     0.4147
    0.735,   -0.7549,     0.2119,     0.2204,     0.4147
    0.737,   -0.7568,     0.2119,     0.2204,     0.4147
    0.739,   -0.7587,     0.2119,     0.2204,     0.4147
    0.741,   -0.7605,     0.2119,     0.2204,     0.4147
    0.743,   -0.7624,     0.2119,     0.2204,     0.4147
    0.745,   -0.7643,     0.2119,     0.2204,     0.4147
    0.747,   -0.7662,     0.2119,     0.2204,     0.4147
    0.749,   -0.7680,     0.2119,     0.2204,     0.4147
    0.751,   -0.7699,     0.2119,     0.2204,     0.4147
    0.753,   -0.7718,     0.2119,     0.2204,     0.4147
    0.755,   -0.7737,     0.2119,     0.2204,     0.4147
    0.757,   -0.7756,     0.2119,     0.2204,     0.4147
    0.759,   -0.7774,     0.2119,     0.2204,     0.4147
    0.761,   -0.7793,     0.2119,     0.2203,     0.4147
    0.763,   -0.7812,     0.2119,     0.2203,     0.4147
    0.765,   -0.7830,     0.2120,     0.2203,     0.4147
    0.767,   -0.7849,     0.2120,     0.2203,     0.4147
    0.769,   -0.7868,     0.2120,     0.2203,     0.4147
    0.771,   -0.7887,     0.2120,     0.2203,     0.4147
    0.773,   -0.7905,     0.2120,     0.2203,     0.4147
    0.775,   -0.7924,     0.2120,     0.2203,     0.4147
    0.777,   -0.7943,     0.2120,     0.2203,     0.4147
    0.779,   -0.7961,     0.2120,     0.2203,     0.4147
    0.781,   -0.7980,     0.2120,     0.2203,     0.4147
    0.783,   -0.7999,     0.2120,     0.2203,     0.4147
    0.785,   -0.8017,     0.2120,     0.2203,     0.4147
    0.787,   -0.8036,     0.2120,     0.2203,     0.4147
    0.789,   -0.8055,     0.2120,     0.2203,     0.4147
    0.791,   -0.8073,     0.2120,     0.2203,     0.4147
    0.793,   -0.8092,     0.2120,     0.2203,     0.4147
    0.795,   -0.8111,     0.2120,     0.2203,     0.4147
    0.797,   -0.8129,     0.2121,     0.2202,     0.4147
    0.799,   -0.8148,     0.2121,     0.2202,     0.4147
    0.801,   -0.8167,     0.2121,     0.2202,     0.4147
    0.803,   -0.8185,     0.2121,     0.2202,     0.4147
    0.805,   -0.8204,     0.2121,     0.2202,     0.4147
    0.807,   -0.8222,     0.2121,     0.2202,     0.4147
    0.809,   -0.8241,     0.2121,     0.2202,     0.4147
    0.811,   -0.8260,     0.2121,     0.2202,     0.4147
    0.813,   -0.8278,     0.2121,     0.2202,     0.4147
    0.815,   -0.8297,     0.2121,     0.2202,     0.4147
    0.817,   -0.8315,     0.2121,     0.2202,     0.4147
    0.819,   -0.8334,     0.2121,     0.2202,     0.4147
    0.821,   -0.8352,     0.2121,     0.2202,     0.4147
    0.823,   -0.8371,     0.2121,     0.2202,     0.4147
    0.825,   -0.8389,     0.2121,     0.2202,     0.4147
    0.827,   -0.8408,     0.2121,     0.2202,     0.4147
    0.829,   -0.8427,     0.2121,     0.2202,     0.4147
    0.831,   -0.8445,     0.2121,     0.2202,     0.4147
    0.833,   -0.8464,     0.2122,     0.2202,     0.4147
    0.835,   -0.8482,     0.2122,     0.2202,     0.4147
    0.837,   -0.8501,     0.2122,     0.2201,     0.4147
    0.839,   -0.8519,     0.2122,     0.2201,     0.4147
    0.841,   -0.8538,     0.2122,     0.2201,     0.4147
    0.843,   -0.8556,     0.2122,     0.2201,     0.4147
    0.845,   -0.8575,     0.2122,     0.2201,     0.4147
    0.847,   -0.8593,     0.2122,     0.2201,     0.4147
    0.849,   -0.8612,     0.2122,     0.2201,     0.4147
    0.851,   -0.8630,     0.2122,     0.2201,     0.4147
    0.853,   -0.8649,     0.2122,     0.2201,     0.4147
    0.855,   -0.8667,     0.2122,     0.2201,     0.4147
    0.857,   -0.8686,     0.2122,     0.2201,     0.4147
    0.859,   -0.8704,     0.2122,     0.2201,     0.4147
    0.861,   -0.8723,     0.2122,     0.2201,     0.4147
    0.863,   -0.8741,     0.2122,     0.2201,     0.4147
    0.865,   -0.8760,     0.2122,     0.2201,     0.4147
    0.867,   -0.8778,     0.2122,     0.2201,     0.4147
    0.869,   -0.8796,     0.2122,     0.2201,     0.4147
    0.871,   -0.8815,     0.2122,     0.2201,     0.4147
    0.873,   -0.8833,     0.2123,     0.2201,     0.4147
    0.875,   -0.8852,     0.2123,     0.2201,     0.4147
    0.877,   -0.8870,     0.2123,     0.2201,     0.4147
    0.879,   -0.8889,     0.2123,     0.2200,     0.4147
    0.881,   -0.8907,     0.2123,     0.2200,     0.4147
    0.883,   -0.8926,     0.2123,     0.2200,     0.4147
    0.885,   -0.8944,     0.2123,     0.2200,     0.4147
    0.887,   -0.8962,     0.2123,     0.2200,     0.4147
    0.889,   -0.8981,     0.2123,     0.2200,     0.4147
    0.891,   -0.8999,     0.2123,     0.2200,     0.4147
    0.893,   -0.9018,     0.2123,     0.2200,     0.4147
    0.895,   -0.9036,     0.2123,     0.2200,     0.4147
    0.897,   -0.9055,     0.2123,     0.2200,     0.4147
    0.899,   -0.9073,     0.2123,     0.2200,     0.4147
    0.901,   -0.9091,     0.2123,     0.2200,     0.4147
    0.903,   -0.9110,     0.2123,     0.2200,     0.4147
    0.905,   -0.9128,     0.2123,     0.2200,     0.4147
    0.907,   -0.9147,     0.2123,     0.2200,     0.4147
    0.909,   -0.9165,     0.2123,     0.2200,     0.4147
    0.911,   -0.9183,     0.2123,     0.2200,     0.4147
    0.913,   -0.9202,     0.2123,     0.2200,     0.4147
    0.915,   -0.9220,     0.2123,     0.2200,     0.4147
    0.917,   -0.9238,     0.2124,     0.2200,     0.4147
    0.919,   -0.9257,     0.2124,     0.2200,     0.4147
    0.921,   -0.9275,     0.2124,     0.2200,     0.4147
    0.923,   -0.9294,     0.2124,     0.2200,     0.4147
    0.925,   -0.9312,     0.2124,     0.2200,     0.4147
    0.927,   -0.9330,     0.2124,     0.2199,     0.4147
