Time (d), qI (mm/d), qT (mm/d), qR (mm/d), qB (mm/d), dS (mm/d)
    1.06,     3.000,     3.000,     0.000,     0.117,     2.883
    1.07,     3.000,     3.000,     0.000,     0.117,     2.883
    1.08,     3.000,     3.000,     0.000,     0.117,     2.883
    1.09,     3.000,     3.000,     0.000,     0.117,     2.883
    1.10,     3.000,     3.000,     0.000,     0.117,     2.883
    1.11,     3.000,     3.000,     0.000,     0.117,     2.883
    1.12,     3.000,     3.000,     0.000,     0.117,     2.883
    1.13,     3.000,     3.000,     0.000,     0.117,     2.883
    1.14,     3.000,     3.000,     0.000,     0.117,     2.883
    1.15,     3.000,     3.000,     0.000,     0.117,     2.883
    1.16,     3.000,     3.000,     0.000,     0.117,     2.883
    1.17,     3.000,     3.000,     0.000,     0.117,     2.883
    1.18,     3.000,     3.000,     0.000,     0.117,     2.883
    1.19,     3.000,     3.000,     0.000,     0.117,     2.883
    1.20,     3.000,     3.000,     0.000,     0.117,     2.883
    1.21,     3.000,     3.000,     0.000,     0.117,     2.883
    1.22,     3.000,     3.000,     0.000,     0.117,     2.883
    1.23,     3.000,     3.000,     0.000,     0.117,     2.883
    1.24,     3.000,     3.000,     0.000,     0.117,     2.883
    1.25,     3.000,     3.000,     0.000,     0.117,     2.883
    1.26,     3.000,     3.000,     0.000,     0.117,     2.883
    1.27,     3.000,     3.000,     0.000,     0.117,     2.883
    1.28,     3.000,     3.000,     0.000,     0.117,     2.883
    1.29,     3.000,     3.000,     0.000,     0.117,     2.883
    1.30,     3.000,     3.000,     0.000,     0.117,     2.883
    1.31,     3.000,     3.000,     0.000,     0.117,     2.883
    1.32,     3.000,     3.000,     0.000,     0.117,     2.883
    1.33,     3.000,     3.000,     0.000,     0.117,     2.883
    1.34,     3.000,     3.000,     0.000,     0.117,     2.883
    1.35,     3.000,     3.000,     0.000,     0.117,     2.883
    1.36,     3.000,     3.000,     0.000,     0.117,     2.883
    1.37,     3.000,     3.000,     0.000,     0.117,     2.883
    1.38,     3.000,     3.000,     0.000,     0.117,     2.883
    1.39,     3.000,     3.000,     0.000,     0.117,     2.883
    1.40,     3.000,     3.000,     0.000,     0.117,     2.883
