Time (d),      jTA (*),      jTC (*),      jBA (*),      jBC (*),      duL (*),      duS (*) * all units are kJ/m2/d
    0.84,         0.00,       669.44,        -0.49,         0.36,       404.58,       264.94,
    0.85,         0.00,       665.50,        -0.49,         0.39,       402.22,       263.33,
    0.86,         0.00,       661.62,        -0.49,         0.42,       399.90,       261.75,
    0.87,         0.00,       657.82,        -0.49,         0.46,       397.62,       260.19,
    0.88,         0.00,       654.08,        -0.49,         0.49,       395.38,       258.66,
    0.89,         0.00,       650.41,        -0.49,         0.53,       393.18,       257.15,
    0.90,         0.00,       646.79,        -0.49,         0.57,       391.01,       255.66,
    0.91,         0.00,       643.24,        -0.49,         0.61,       388.88,       254.20,
    0.92,         0.00,       639.75,        -0.49,         0.66,       386.78,       252.76,
    0.93,         0.00,       636.31,        -0.49,         0.70,       384.72,       251.34,
    0.94,         0.00,       622.71,        -0.49,         0.75,       372.29,       250.11,
    0.95,         0.00,       608.25,        -0.49,         0.80,       359.31,       248.59,
    0.96,         0.00,       604.68,        -0.49,         0.85,       357.04,       247.24,
    0.97,         0.00,       601.31,        -0.49,         0.91,       354.95,       245.90,
    0.98,         0.00,       598.08,        -0.49,         0.96,       353.00,       244.57,
    0.99,         0.00,       594.98,        -0.49,         1.02,       351.14,       243.27,
    1.00,         0.00,       591.97,        -0.49,         1.08,       349.35,       241.98,
    1.01,         0.00,       589.05,        -0.49,         1.15,       347.63,       240.71,
    1.02,         0.00,       586.19,        -0.49,         1.21,       345.97,       239.46,
    1.03,         0.00,       583.40,        -0.49,         1.28,       344.35,       238.22,
    1.04,         0.00,       580.67,        -0.49,         1.35,       342.77,       237.00,
    1.05,         0.00,       578.00,        -0.49,         1.42,       341.23,       235.79,
    1.06,         0.00,       575.37,        -0.49,         1.50,       339.72,       234.60,
    1.07,         0.00,       572.79,        -0.49,         1.58,       338.24,       233.42,
    1.08,         0.00,       570.26,        -0.49,         1.66,       336.79,       232.26,
    1.09,         0.00,       567.77,        -0.49,         1.74,       335.37,       231.11,
    1.10,         0.00,       565.31,        -0.49,         1.82,       333.97,       229.97,
    1.11,         0.00,       562.90,        -0.49,         1.91,       332.60,       228.84,
