Time (d), qI (mm/d), qT (mm/d), qR (mm/d), qB (mm/d), dS (mm/d)
    0.01,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.02,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.03,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.04,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.05,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.06,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.07,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.08,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.09,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.10,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.11,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.12,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.13,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.14,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.15,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.16,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.17,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.18,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.19,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.20,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.21,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.22,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.23,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.24,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.25,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.26,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.27,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.28,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.29,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.30,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.31,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.32,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.33,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.34,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.35,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.36,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.37,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.38,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.39,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.40,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.41,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.42,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.43,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.44,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.45,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.46,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.47,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.48,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.49,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.50,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.51,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.52,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.53,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.54,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.55,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.56,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.57,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.58,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.59,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.60,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.61,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.62,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.63,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.64,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.65,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.66,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.67,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.68,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.69,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.70,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.71,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.72,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.73,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.74,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.75,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.76,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.77,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.78,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.79,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.80,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.81,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.82,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.83,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.84,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.85,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.86,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.87,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.88,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.89,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.90,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.91,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.92,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.93,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.94,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.95,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.96,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.97,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.98,     0.000,     0.000,     0.000,     0.117,     -0.117
    0.99,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.00,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.01,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.02,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.03,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.04,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.05,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.06,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.07,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.08,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.09,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.10,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.11,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.12,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.13,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.14,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.15,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.16,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.17,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.18,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.19,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.20,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.21,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.22,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.23,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.24,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.25,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.26,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.27,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.28,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.29,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.30,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.31,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.32,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.33,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.34,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.35,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.36,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.37,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.38,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.39,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.40,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.41,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.42,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.43,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.44,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.45,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.46,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.47,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.48,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.49,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.50,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.51,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.52,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.53,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.54,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.55,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.56,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.57,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.58,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.59,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.60,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.61,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.62,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.63,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.64,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.65,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.66,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.67,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.68,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.69,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.70,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.71,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.72,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.73,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.74,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.75,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.76,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.77,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.78,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.79,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.80,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.81,     0.000,     0.000,     0.000,     0.117,     -0.117
    1.82,     0.000,     0.000,     0.000,     0.117,     -0.117
