Depth (m), T (deg C), thetaI (-), thetaL (-), thetaT (-)
    0.069,   -0.0290,     0.2518,     0.2856,     0.5165
    0.071,   -0.0289,     0.2513,     0.2859,     0.5163
    0.073,   -0.0288,     0.2508,     0.2861,     0.5161
    0.075,   -0.0288,     0.2503,     0.2863,     0.5158
    0.077,   -0.0287,     0.2498,     0.2865,     0.5156
    0.079,   -0.0286,     0.2493,     0.2867,     0.5153
    0.081,   -0.0285,     0.2488,     0.2869,     0.5151
    0.083,   -0.0284,     0.2483,     0.2872,     0.5148
    0.085,   -0.0283,     0.2478,     0.2874,     0.5146
    0.087,   -0.0282,     0.2473,     0.2876,     0.5143
    0.089,   -0.0281,     0.2468,     0.2877,     0.5140
    0.091,   -0.0281,     0.2463,     0.2879,     0.5138
    0.093,   -0.0280,     0.2458,     0.2881,     0.5135
    0.095,   -0.0279,     0.2453,     0.2883,     0.5132
    0.097,   -0.0279,     0.2448,     0.2884,     0.5129
    0.099,   -0.0278,     0.2443,     0.2886,     0.5126
    0.101,   -0.0278,     0.2438,     0.2887,     0.5123
    0.103,   -0.0277,     0.2434,     0.2888,     0.5120
    0.105,   -0.0277,     0.2429,     0.2889,     0.5117
    0.107,   -0.0276,     0.2425,     0.2890,     0.5113
    0.109,   -0.0276,     0.2420,     0.2891,     0.5110
    0.111,   -0.0276,     0.2416,     0.2891,     0.5107
    0.113,   -0.0276,     0.2412,     0.2892,     0.5104
    0.115,   -0.0275,     0.2408,     0.2892,     0.5100
    0.117,   -0.0275,     0.2404,     0.2892,     0.5097
    0.119,   -0.0275,     0.2400,     0.2892,     0.5093
    0.121,   -0.0275,     0.2396,     0.2892,     0.5090
    0.123,   -0.0276,     0.2393,     0.2892,     0.5086
    0.125,   -0.0276,     0.2389,     0.2891,     0.5082
    0.127,   -0.0276,     0.2386,     0.2891,     0.5078
    0.129,   -0.0276,     0.2383,     0.2890,     0.5075
    0.131,   -0.0277,     0.2379,     0.2889,     0.5071
    0.133,   -0.0277,     0.2376,     0.2888,     0.5067
    0.135,   -0.0278,     0.2373,     0.2886,     0.5063
    0.137,   -0.0278,     0.2370,     0.2885,     0.5059
    0.139,   -0.0279,     0.2368,     0.2883,     0.5054
    0.141,   -0.0280,     0.2365,     0.2882,     0.5050
    0.143,   -0.0281,     0.2362,     0.2880,     0.5046
    0.145,   -0.0281,     0.2360,     0.2877,     0.5042
    0.147,   -0.0282,     0.2357,     0.2875,     0.5037
    0.149,   -0.0283,     0.2355,     0.2873,     0.5033
    0.151,   -0.0284,     0.2353,     0.2870,     0.5028
    0.153,   -0.0286,     0.2351,     0.2868,     0.5023
    0.155,   -0.0287,     0.2349,     0.2865,     0.5018
    0.157,   -0.0288,     0.2347,     0.2862,     0.5014
    0.159,   -0.0289,     0.2344,     0.2859,     0.5009
    0.161,   -0.0291,     0.2343,     0.2855,     0.5004
    0.163,   -0.0292,     0.2341,     0.2852,     0.4998
    0.165,   -0.0294,     0.2339,     0.2849,     0.4993
    0.167,   -0.0296,     0.2337,     0.2845,     0.4988
    0.169,   -0.0297,     0.2335,     0.2841,     0.4983
    0.171,   -0.0299,     0.2333,     0.2837,     0.4977
    0.173,   -0.0301,     0.2332,     0.2833,     0.4971
    0.175,   -0.0303,     0.2330,     0.2829,     0.4966
    0.177,   -0.0305,     0.2328,     0.2825,     0.4960
    0.179,   -0.0307,     0.2327,     0.2820,     0.4954
    0.181,   -0.0309,     0.2325,     0.2816,     0.4948
    0.183,   -0.0312,     0.2324,     0.2811,     0.4942
    0.185,   -0.0314,     0.2322,     0.2807,     0.4936
    0.187,   -0.0317,     0.2320,     0.2802,     0.4929
    0.189,   -0.0319,     0.2319,     0.2797,     0.4923
    0.191,   -0.0322,     0.2317,     0.2792,     0.4917
    0.193,   -0.0325,     0.2316,     0.2786,     0.4910
    0.195,   -0.0327,     0.2314,     0.2781,     0.4903
    0.197,   -0.0330,     0.2313,     0.2776,     0.4896
    0.199,   -0.0334,     0.2311,     0.2770,     0.4889
    0.201,   -0.0337,     0.2309,     0.2765,     0.4882
    0.203,   -0.0340,     0.2308,     0.2759,     0.4875
    0.205,   -0.0344,     0.2306,     0.2753,     0.4868
    0.207,   -0.0347,     0.2305,     0.2747,     0.4860
    0.209,   -0.0351,     0.2303,     0.2741,     0.4853
    0.211,   -0.0355,     0.2301,     0.2735,     0.4845
    0.213,   -0.0359,     0.2299,     0.2729,     0.4838
    0.215,   -0.0363,     0.2298,     0.2723,     0.4830
    0.217,   -0.0367,     0.2296,     0.2716,     0.4822
    0.219,   -0.0372,     0.2294,     0.2710,     0.4814
    0.221,   -0.0376,     0.2292,     0.2704,     0.4806
    0.223,   -0.0381,     0.2291,     0.2697,     0.4798
    0.225,   -0.0386,     0.2289,     0.2690,     0.4789
    0.227,   -0.0391,     0.2287,     0.2684,     0.4781
    0.229,   -0.0396,     0.2285,     0.2677,     0.4772
    0.231,   -0.0402,     0.2283,     0.2670,     0.4764
    0.233,   -0.0408,     0.2281,     0.2664,     0.4755
    0.235,   -0.0413,     0.2279,     0.2657,     0.4746
    0.237,   -0.0419,     0.2277,     0.2650,     0.4738
    0.239,   -0.0426,     0.2275,     0.2643,     0.4729
    0.241,   -0.0432,     0.2272,     0.2636,     0.4720
    0.243,   -0.0439,     0.2270,     0.2629,     0.4711
    0.245,   -0.0446,     0.2268,     0.2622,     0.4702
    0.247,   -0.0453,     0.2266,     0.2615,     0.4692
    0.249,   -0.0460,     0.2263,     0.2608,     0.4683
    0.251,   -0.0468,     0.2261,     0.2601,     0.4674
    0.253,   -0.0476,     0.2258,     0.2594,     0.4665
    0.255,   -0.0484,     0.2256,     0.2587,     0.4655
    0.257,   -0.0492,     0.2253,     0.2580,     0.4646
    0.259,   -0.0501,     0.2251,     0.2573,     0.4637
    0.261,   -0.0510,     0.2248,     0.2566,     0.4627
    0.263,   -0.0519,     0.2246,     0.2559,     0.4618
    0.265,   -0.0529,     0.2243,     0.2552,     0.4609
    0.267,   -0.0539,     0.2240,     0.2545,     0.4599
    0.269,   -0.0549,     0.2238,     0.2538,     0.4590
    0.271,   -0.0560,     0.2235,     0.2531,     0.4580
    0.273,   -0.0570,     0.2232,     0.2524,     0.4571
    0.275,   -0.0581,     0.2229,     0.2518,     0.4562
    0.277,   -0.0593,     0.2226,     0.2511,     0.4552
    0.279,   -0.0605,     0.2223,     0.2505,     0.4543
    0.281,   -0.0617,     0.2220,     0.2498,     0.4534
    0.283,   -0.0629,     0.2217,     0.2492,     0.4525
    0.285,   -0.0642,     0.2214,     0.2485,     0.4516
    0.287,   -0.0655,     0.2211,     0.2479,     0.4507
    0.289,   -0.0669,     0.2208,     0.2473,     0.4498
    0.291,   -0.0683,     0.2205,     0.2467,     0.4489
    0.293,   -0.0697,     0.2202,     0.2461,     0.4480
    0.295,   -0.0712,     0.2199,     0.2455,     0.4472
    0.297,   -0.0727,     0.2196,     0.2449,     0.4463
    0.299,   -0.0742,     0.2193,     0.2443,     0.4455
    0.301,   -0.0758,     0.2190,     0.2438,     0.4446
    0.303,   -0.0774,     0.2187,     0.2432,     0.4438
    0.305,   -0.0791,     0.2185,     0.2427,     0.4430
    0.307,   -0.0808,     0.2182,     0.2422,     0.4422
    0.309,   -0.0825,     0.2179,     0.2416,     0.4414
    0.311,   -0.0843,     0.2176,     0.2411,     0.4406
    0.313,   -0.0861,     0.2173,     0.2406,     0.4399
    0.315,   -0.0879,     0.2170,     0.2401,     0.4391
    0.317,   -0.0898,     0.2167,     0.2397,     0.4384
    0.319,   -0.0917,     0.2164,     0.2392,     0.4377
    0.321,   -0.0937,     0.2162,     0.2387,     0.4370
    0.323,   -0.0957,     0.2159,     0.2383,     0.4363
    0.325,   -0.0977,     0.2156,     0.2379,     0.4356
    0.327,   -0.0998,     0.2154,     0.2374,     0.4349
    0.329,   -0.1019,     0.2151,     0.2370,     0.4343
    0.331,   -0.1040,     0.2148,     0.2366,     0.4336
    0.333,   -0.1062,     0.2146,     0.2362,     0.4330
    0.335,   -0.1084,     0.2143,     0.2359,     0.4324
    0.337,   -0.1107,     0.2141,     0.2355,     0.4318
    0.339,   -0.1130,     0.2139,     0.2351,     0.4312
    0.341,   -0.1153,     0.2136,     0.2348,     0.4307
    0.343,   -0.1176,     0.2134,     0.2344,     0.4301
    0.345,   -0.1200,     0.2132,     0.2341,     0.4296
    0.347,   -0.1224,     0.2130,     0.2338,     0.4291
    0.349,   -0.1248,     0.2128,     0.2335,     0.4286
    0.351,   -0.1273,     0.2126,     0.2331,     0.4281
    0.353,   -0.1298,     0.2124,     0.2328,     0.4276
    0.355,   -0.1323,     0.2122,     0.2326,     0.4271
    0.357,   -0.1349,     0.2120,     0.2323,     0.4267
    0.359,   -0.1375,     0.2118,     0.2320,     0.4263
    0.361,   -0.1401,     0.2117,     0.2317,     0.4258
    0.363,   -0.1427,     0.2115,     0.2315,     0.4254
    0.365,   -0.1454,     0.2114,     0.2312,     0.4250
    0.367,   -0.1481,     0.2112,     0.2310,     0.4246
    0.369,   -0.1508,     0.2111,     0.2307,     0.4243
    0.371,   -0.1535,     0.2109,     0.2305,     0.4239
    0.373,   -0.1563,     0.2108,     0.2303,     0.4236
    0.375,   -0.1591,     0.2107,     0.2300,     0.4232
    0.377,   -0.1619,     0.2105,     0.2298,     0.4229
    0.379,   -0.1647,     0.2104,     0.2296,     0.4226
    0.381,   -0.1675,     0.2103,     0.2294,     0.4223
    0.383,   -0.1704,     0.2102,     0.2292,     0.4220
    0.385,   -0.1732,     0.2101,     0.2290,     0.4217
    0.387,   -0.1761,     0.2100,     0.2289,     0.4214
    0.389,   -0.1790,     0.2099,     0.2287,     0.4212
    0.391,   -0.1819,     0.2098,     0.2285,     0.4209
    0.393,   -0.1849,     0.2097,     0.2283,     0.4207
    0.395,   -0.1878,     0.2097,     0.2282,     0.4204
    0.397,   -0.1908,     0.2096,     0.2280,     0.4202
    0.399,   -0.1937,     0.2095,     0.2278,     0.4200
    0.401,   -0.1967,     0.2095,     0.2277,     0.4198
    0.403,   -0.1997,     0.2094,     0.2275,     0.4195
    0.405,   -0.2027,     0.2093,     0.2274,     0.4194
    0.407,   -0.2057,     0.2093,     0.2272,     0.4192
    0.409,   -0.2087,     0.2092,     0.2271,     0.4190
    0.411,   -0.2118,     0.2092,     0.2270,     0.4188
    0.413,   -0.2148,     0.2092,     0.2268,     0.4186
    0.415,   -0.2178,     0.2091,     0.2267,     0.4185
    0.417,   -0.2209,     0.2091,     0.2266,     0.4183
    0.419,   -0.2239,     0.2090,     0.2265,     0.4182
    0.421,   -0.2270,     0.2090,     0.2264,     0.4180
    0.423,   -0.2301,     0.2090,     0.2262,     0.4179
    0.425,   -0.2331,     0.2090,     0.2261,     0.4178
    0.427,   -0.2362,     0.2090,     0.2260,     0.4176
    0.429,   -0.2393,     0.2089,     0.2259,     0.4175
    0.431,   -0.2424,     0.2089,     0.2258,     0.4174
    0.433,   -0.2455,     0.2089,     0.2257,     0.4173
    0.435,   -0.2486,     0.2089,     0.2256,     0.4172
    0.437,   -0.2516,     0.2089,     0.2255,     0.4171
    0.439,   -0.2547,     0.2089,     0.2254,     0.4170
    0.441,   -0.2578,     0.2089,     0.2253,     0.4169
    0.443,   -0.2609,     0.2089,     0.2252,     0.4168
    0.445,   -0.2640,     0.2089,     0.2252,     0.4167
    0.447,   -0.2671,     0.2089,     0.2251,     0.4166
    0.449,   -0.2702,     0.2089,     0.2250,     0.4165
    0.451,   -0.2733,     0.2089,     0.2249,     0.4165
    0.453,   -0.2764,     0.2089,     0.2248,     0.4164
    0.455,   -0.2795,     0.2089,     0.2247,     0.4163
    0.457,   -0.2826,     0.2089,     0.2247,     0.4163
    0.459,   -0.2857,     0.2089,     0.2246,     0.4162
    0.461,   -0.2888,     0.2090,     0.2245,     0.4161
    0.463,   -0.2918,     0.2090,     0.2245,     0.4161
    0.465,   -0.2949,     0.2090,     0.2244,     0.4160
    0.467,   -0.2980,     0.2090,     0.2243,     0.4160
    0.469,   -0.3011,     0.2090,     0.2242,     0.4159
    0.471,   -0.3042,     0.2090,     0.2242,     0.4159
    0.473,   -0.3072,     0.2091,     0.2241,     0.4158
    0.475,   -0.3103,     0.2091,     0.2241,     0.4158
    0.477,   -0.3134,     0.2091,     0.2240,     0.4157
    0.479,   -0.3164,     0.2091,     0.2239,     0.4157
    0.481,   -0.3195,     0.2091,     0.2239,     0.4157
    0.483,   -0.3225,     0.2092,     0.2238,     0.4156
    0.485,   -0.3256,     0.2092,     0.2238,     0.4156
    0.487,   -0.3286,     0.2092,     0.2237,     0.4155
    0.489,   -0.3317,     0.2092,     0.2237,     0.4155
    0.491,   -0.3347,     0.2093,     0.2236,     0.4155
    0.493,   -0.3378,     0.2093,     0.2236,     0.4155
    0.495,   -0.3408,     0.2093,     0.2235,     0.4154
    0.497,   -0.3438,     0.2093,     0.2235,     0.4154
    0.499,   -0.3469,     0.2093,     0.2234,     0.4154
    0.501,   -0.3499,     0.2094,     0.2234,     0.4154
    0.503,   -0.3529,     0.2094,     0.2233,     0.4153
    0.505,   -0.3559,     0.2094,     0.2233,     0.4153
    0.507,   -0.3589,     0.2095,     0.2232,     0.4153
    0.509,   -0.3619,     0.2095,     0.2232,     0.4153
    0.511,   -0.3649,     0.2095,     0.2231,     0.4152
    0.513,   -0.3679,     0.2095,     0.2231,     0.4152
    0.515,   -0.3709,     0.2096,     0.2230,     0.4152
    0.517,   -0.3739,     0.2096,     0.2230,     0.4152
    0.519,   -0.3768,     0.2096,     0.2230,     0.4152
    0.521,   -0.3798,     0.2096,     0.2229,     0.4152
    0.523,   -0.3828,     0.2097,     0.2229,     0.4151
    0.525,   -0.3857,     0.2097,     0.2228,     0.4151
    0.527,   -0.3887,     0.2097,     0.2228,     0.4151
    0.529,   -0.3916,     0.2097,     0.2228,     0.4151
    0.531,   -0.3946,     0.2098,     0.2227,     0.4151
    0.533,   -0.3975,     0.2098,     0.2227,     0.4151
    0.535,   -0.4005,     0.2098,     0.2227,     0.4151
    0.537,   -0.4034,     0.2099,     0.2226,     0.4151
    0.539,   -0.4063,     0.2099,     0.2226,     0.4150
    0.541,   -0.4092,     0.2099,     0.2226,     0.4150
    0.543,   -0.4122,     0.2099,     0.2225,     0.4150
    0.545,   -0.4151,     0.2100,     0.2225,     0.4150
    0.547,   -0.4180,     0.2100,     0.2225,     0.4150
    0.549,   -0.4209,     0.2100,     0.2224,     0.4150
    0.551,   -0.4238,     0.2100,     0.2224,     0.4150
    0.553,   -0.4267,     0.2101,     0.2224,     0.4150
    0.555,   -0.4296,     0.2101,     0.2223,     0.4150
    0.557,   -0.4324,     0.2101,     0.2223,     0.4150
    0.559,   -0.4353,     0.2101,     0.2223,     0.4150
    0.561,   -0.4382,     0.2102,     0.2222,     0.4150
    0.563,   -0.4411,     0.2102,     0.2222,     0.4150
    0.565,   -0.4439,     0.2102,     0.2222,     0.4149
    0.567,   -0.4468,     0.2102,     0.2222,     0.4149
    0.569,   -0.4496,     0.2103,     0.2221,     0.4149
    0.571,   -0.4525,     0.2103,     0.2221,     0.4149
    0.573,   -0.4553,     0.2103,     0.2221,     0.4149
    0.575,   -0.4582,     0.2103,     0.2221,     0.4149
    0.577,   -0.4610,     0.2103,     0.2220,     0.4149
    0.579,   -0.4638,     0.2104,     0.2220,     0.4149
    0.581,   -0.4666,     0.2104,     0.2220,     0.4149
    0.583,   -0.4695,     0.2104,     0.2220,     0.4149
    0.585,   -0.4723,     0.2104,     0.2219,     0.4149
    0.587,   -0.4751,     0.2105,     0.2219,     0.4149
    0.589,   -0.4779,     0.2105,     0.2219,     0.4149
    0.591,   -0.4807,     0.2105,     0.2219,     0.4149
    0.593,   -0.4835,     0.2105,     0.2218,     0.4149
    0.595,   -0.4863,     0.2105,     0.2218,     0.4149
    0.597,   -0.4891,     0.2106,     0.2218,     0.4149
    0.599,   -0.4919,     0.2106,     0.2218,     0.4149
    0.601,   -0.4947,     0.2106,     0.2217,     0.4149
    0.603,   -0.4974,     0.2106,     0.2217,     0.4149
    0.605,   -0.5002,     0.2106,     0.2217,     0.4149
    0.607,   -0.5030,     0.2107,     0.2217,     0.4149
    0.609,   -0.5057,     0.2107,     0.2217,     0.4149
    0.611,   -0.5085,     0.2107,     0.2216,     0.4149
    0.613,   -0.5113,     0.2107,     0.2216,     0.4149
    0.615,   -0.5140,     0.2107,     0.2216,     0.4149
    0.617,   -0.5168,     0.2108,     0.2216,     0.4148
    0.619,   -0.5195,     0.2108,     0.2216,     0.4148
    0.621,   -0.5222,     0.2108,     0.2215,     0.4148
    0.623,   -0.5250,     0.2108,     0.2215,     0.4148
    0.625,   -0.5277,     0.2108,     0.2215,     0.4148
    0.627,   -0.5304,     0.2109,     0.2215,     0.4148
    0.629,   -0.5332,     0.2109,     0.2215,     0.4148
    0.631,   -0.5359,     0.2109,     0.2215,     0.4148
    0.633,   -0.5386,     0.2109,     0.2214,     0.4148
    0.635,   -0.5413,     0.2109,     0.2214,     0.4148
    0.637,   -0.5440,     0.2109,     0.2214,     0.4148
    0.639,   -0.5467,     0.2110,     0.2214,     0.4148
    0.641,   -0.5494,     0.2110,     0.2214,     0.4148
    0.643,   -0.5521,     0.2110,     0.2213,     0.4148
    0.645,   -0.5548,     0.2110,     0.2213,     0.4148
    0.647,   -0.5575,     0.2110,     0.2213,     0.4148
    0.649,   -0.5602,     0.2110,     0.2213,     0.4148
    0.651,   -0.5629,     0.2111,     0.2213,     0.4148
    0.653,   -0.5656,     0.2111,     0.2213,     0.4148
    0.655,   -0.5683,     0.2111,     0.2212,     0.4148
    0.657,   -0.5709,     0.2111,     0.2212,     0.4148
    0.659,   -0.5736,     0.2111,     0.2212,     0.4148
    0.661,   -0.5763,     0.2111,     0.2212,     0.4148
    0.663,   -0.5789,     0.2111,     0.2212,     0.4148
    0.665,   -0.5816,     0.2112,     0.2212,     0.4148
    0.667,   -0.5843,     0.2112,     0.2212,     0.4148
    0.669,   -0.5869,     0.2112,     0.2211,     0.4148
    0.671,   -0.5896,     0.2112,     0.2211,     0.4148
    0.673,   -0.5922,     0.2112,     0.2211,     0.4148
    0.675,   -0.5949,     0.2112,     0.2211,     0.4148
    0.677,   -0.5975,     0.2113,     0.2211,     0.4148
    0.679,   -0.6001,     0.2113,     0.2211,     0.4148
    0.681,   -0.6028,     0.2113,     0.2211,     0.4148
    0.683,   -0.6054,     0.2113,     0.2210,     0.4148
    0.685,   -0.6080,     0.2113,     0.2210,     0.4148
    0.687,   -0.6107,     0.2113,     0.2210,     0.4148
    0.689,   -0.6133,     0.2113,     0.2210,     0.4148
    0.691,   -0.6159,     0.2113,     0.2210,     0.4148
    0.693,   -0.6185,     0.2114,     0.2210,     0.4148
    0.695,   -0.6212,     0.2114,     0.2210,     0.4148
    0.697,   -0.6238,     0.2114,     0.2210,     0.4148
    0.699,   -0.6264,     0.2114,     0.2209,     0.4148
    0.701,   -0.6290,     0.2114,     0.2209,     0.4148
    0.703,   -0.6316,     0.2114,     0.2209,     0.4148
    0.705,   -0.6342,     0.2114,     0.2209,     0.4148
    0.707,   -0.6368,     0.2114,     0.2209,     0.4148
    0.709,   -0.6394,     0.2115,     0.2209,     0.4148
    0.711,   -0.6420,     0.2115,     0.2209,     0.4148
    0.713,   -0.6446,     0.2115,     0.2209,     0.4148
    0.715,   -0.6472,     0.2115,     0.2208,     0.4148
    0.717,   -0.6498,     0.2115,     0.2208,     0.4148
    0.719,   -0.6523,     0.2115,     0.2208,     0.4148
    0.721,   -0.6549,     0.2115,     0.2208,     0.4148
    0.723,   -0.6575,     0.2115,     0.2208,     0.4148
    0.725,   -0.6601,     0.2116,     0.2208,     0.4148
    0.727,   -0.6627,     0.2116,     0.2208,     0.4148
    0.729,   -0.6652,     0.2116,     0.2208,     0.4148
    0.731,   -0.6678,     0.2116,     0.2208,     0.4148
    0.733,   -0.6704,     0.2116,     0.2207,     0.4148
    0.735,   -0.6729,     0.2116,     0.2207,     0.4148
    0.737,   -0.6755,     0.2116,     0.2207,     0.4148
    0.739,   -0.6780,     0.2116,     0.2207,     0.4148
    0.741,   -0.6806,     0.2116,     0.2207,     0.4148
    0.743,   -0.6832,     0.2117,     0.2207,     0.4148
    0.745,   -0.6857,     0.2117,     0.2207,     0.4148
    0.747,   -0.6883,     0.2117,     0.2207,     0.4148
    0.749,   -0.6908,     0.2117,     0.2207,     0.4148
    0.751,   -0.6934,     0.2117,     0.2206,     0.4148
    0.753,   -0.6959,     0.2117,     0.2206,     0.4148
    0.755,   -0.6984,     0.2117,     0.2206,     0.4148
    0.757,   -0.7010,     0.2117,     0.2206,     0.4148
    0.759,   -0.7035,     0.2117,     0.2206,     0.4148
    0.761,   -0.7061,     0.2117,     0.2206,     0.4148
    0.763,   -0.7086,     0.2118,     0.2206,     0.4148
    0.765,   -0.7111,     0.2118,     0.2206,     0.4148
    0.767,   -0.7137,     0.2118,     0.2206,     0.4148
    0.769,   -0.7162,     0.2118,     0.2206,     0.4148
    0.771,   -0.7187,     0.2118,     0.2206,     0.4148
    0.773,   -0.7212,     0.2118,     0.2205,     0.4148
    0.775,   -0.7238,     0.2118,     0.2205,     0.4148
    0.777,   -0.7263,     0.2118,     0.2205,     0.4148
    0.779,   -0.7288,     0.2118,     0.2205,     0.4148
    0.781,   -0.7313,     0.2118,     0.2205,     0.4148
    0.783,   -0.7338,     0.2118,     0.2205,     0.4148
    0.785,   -0.7363,     0.2119,     0.2205,     0.4148
    0.787,   -0.7389,     0.2119,     0.2205,     0.4148
    0.789,   -0.7414,     0.2119,     0.2205,     0.4148
    0.791,   -0.7439,     0.2119,     0.2205,     0.4148
    0.793,   -0.7464,     0.2119,     0.2205,     0.4148
    0.795,   -0.7489,     0.2119,     0.2204,     0.4148
    0.797,   -0.7514,     0.2119,     0.2204,     0.4148
    0.799,   -0.7539,     0.2119,     0.2204,     0.4148
    0.801,   -0.7564,     0.2119,     0.2204,     0.4148
    0.803,   -0.7589,     0.2119,     0.2204,     0.4148
    0.805,   -0.7614,     0.2119,     0.2204,     0.4148
    0.807,   -0.7639,     0.2120,     0.2204,     0.4148
    0.809,   -0.7664,     0.2120,     0.2204,     0.4148
    0.811,   -0.7689,     0.2120,     0.2204,     0.4148
    0.813,   -0.7714,     0.2120,     0.2204,     0.4148
    0.815,   -0.7738,     0.2120,     0.2204,     0.4148
    0.817,   -0.7763,     0.2120,     0.2204,     0.4148
    0.819,   -0.7788,     0.2120,     0.2203,     0.4148
    0.821,   -0.7813,     0.2120,     0.2203,     0.4148
    0.823,   -0.7838,     0.2120,     0.2203,     0.4148
    0.825,   -0.7863,     0.2120,     0.2203,     0.4148
    0.827,   -0.7887,     0.2120,     0.2203,     0.4148
    0.829,   -0.7912,     0.2120,     0.2203,     0.4148
    0.831,   -0.7937,     0.2121,     0.2203,     0.4148
    0.833,   -0.7962,     0.2121,     0.2203,     0.4148
    0.835,   -0.7987,     0.2121,     0.2203,     0.4148
    0.837,   -0.8011,     0.2121,     0.2203,     0.4148
    0.839,   -0.8036,     0.2121,     0.2203,     0.4148
    0.841,   -0.8061,     0.2121,     0.2203,     0.4148
    0.843,   -0.8085,     0.2121,     0.2203,     0.4148
    0.845,   -0.8110,     0.2121,     0.2203,     0.4148
    0.847,   -0.8135,     0.2121,     0.2202,     0.4148
    0.849,   -0.8159,     0.2121,     0.2202,     0.4147
    0.851,   -0.8184,     0.2121,     0.2202,     0.4147
    0.853,   -0.8209,     0.2121,     0.2202,     0.4147
    0.855,   -0.8233,     0.2121,     0.2202,     0.4147
    0.857,   -0.8258,     0.2121,     0.2202,     0.4147
    0.859,   -0.8283,     0.2122,     0.2202,     0.4147
    0.861,   -0.8307,     0.2122,     0.2202,     0.4147
    0.863,   -0.8332,     0.2122,     0.2202,     0.4147
    0.865,   -0.8356,     0.2122,     0.2202,     0.4147
    0.867,   -0.8381,     0.2122,     0.2202,     0.4147
    0.869,   -0.8405,     0.2122,     0.2202,     0.4147
    0.871,   -0.8430,     0.2122,     0.2202,     0.4147
    0.873,   -0.8454,     0.2122,     0.2202,     0.4147
    0.875,   -0.8479,     0.2122,     0.2202,     0.4147
    0.877,   -0.8504,     0.2122,     0.2201,     0.4147
    0.879,   -0.8528,     0.2122,     0.2201,     0.4147
    0.881,   -0.8553,     0.2122,     0.2201,     0.4147
    0.883,   -0.8577,     0.2122,     0.2201,     0.4147
    0.885,   -0.8601,     0.2122,     0.2201,     0.4147
    0.887,   -0.8626,     0.2122,     0.2201,     0.4147
    0.889,   -0.8650,     0.2123,     0.2201,     0.4147
    0.891,   -0.8675,     0.2123,     0.2201,     0.4147
    0.893,   -0.8699,     0.2123,     0.2201,     0.4147
    0.895,   -0.8724,     0.2123,     0.2201,     0.4147
    0.897,   -0.8748,     0.2123,     0.2201,     0.4147
    0.899,   -0.8773,     0.2123,     0.2201,     0.4147
    0.901,   -0.8797,     0.2123,     0.2201,     0.4147
    0.903,   -0.8821,     0.2123,     0.2201,     0.4147
    0.905,   -0.8846,     0.2123,     0.2201,     0.4147
    0.907,   -0.8870,     0.2123,     0.2201,     0.4147
    0.909,   -0.8895,     0.2123,     0.2200,     0.4147
    0.911,   -0.8919,     0.2123,     0.2200,     0.4147
    0.913,   -0.8943,     0.2123,     0.2200,     0.4147
    0.915,   -0.8968,     0.2123,     0.2200,     0.4147
    0.917,   -0.8992,     0.2123,     0.2200,     0.4147
    0.919,   -0.9016,     0.2123,     0.2200,     0.4147
    0.921,   -0.9041,     0.2124,     0.2200,     0.4147
    0.923,   -0.9065,     0.2124,     0.2200,     0.4147
    0.925,   -0.9089,     0.2124,     0.2200,     0.4147
    0.927,   -0.9114,     0.2124,     0.2200,     0.4147
