Depth (m), T (deg C), thetaI (-), thetaL (-), thetaT (-)
    0.001,   -0.0300,     0.2579,     0.2835,     0.5200
    0.003,   -0.0301,     0.2581,     0.2833,     0.5200
    0.005,   -0.0302,     0.2582,     0.2832,     0.5200
    0.007,   -0.0302,     0.2584,     0.2830,     0.5200
    0.009,   -0.0303,     0.2585,     0.2829,     0.5200
    0.011,   -0.0304,     0.2586,     0.2828,     0.5199
    0.013,   -0.0304,     0.2587,     0.2827,     0.5199
    0.015,   -0.0304,     0.2587,     0.2826,     0.5199
    0.017,   -0.0305,     0.2588,     0.2825,     0.5198
    0.019,   -0.0305,     0.2588,     0.2825,     0.5198
    0.021,   -0.0305,     0.2587,     0.2825,     0.5197
    0.023,   -0.0305,     0.2587,     0.2825,     0.5197
    0.025,   -0.0305,     0.2586,     0.2825,     0.5196
    0.027,   -0.0305,     0.2585,     0.2825,     0.5196
    0.029,   -0.0305,     0.2584,     0.2825,     0.5195
    0.031,   -0.0304,     0.2582,     0.2826,     0.5194
    0.033,   -0.0304,     0.2581,     0.2827,     0.5193
    0.035,   -0.0304,     0.2579,     0.2827,     0.5192
    0.037,   -0.0303,     0.2577,     0.2828,     0.5191
    0.039,   -0.0303,     0.2574,     0.2829,     0.5190
    0.041,   -0.0302,     0.2572,     0.2831,     0.5189
    0.043,   -0.0302,     0.2569,     0.2832,     0.5188
    0.045,   -0.0301,     0.2566,     0.2833,     0.5186
    0.047,   -0.0300,     0.2563,     0.2835,     0.5185
    0.049,   -0.0299,     0.2560,     0.2836,     0.5184
    0.051,   -0.0299,     0.2556,     0.2838,     0.5182
    0.053,   -0.0298,     0.2552,     0.2840,     0.5180
    0.055,   -0.0297,     0.2548,     0.2842,     0.5179
    0.057,   -0.0296,     0.2544,     0.2844,     0.5177
    0.059,   -0.0295,     0.2540,     0.2846,     0.5175
    0.061,   -0.0294,     0.2536,     0.2848,     0.5173
    0.063,   -0.0293,     0.2532,     0.2850,     0.5171
    0.065,   -0.0292,     0.2527,     0.2852,     0.5169
    0.067,   -0.0291,     0.2522,     0.2854,     0.5167
