Time (d),      jTA (*),      jTC (*),      jBA (*),      jBC (*),      duL (*),      duS (*) * all units are kJ/m2/d
    0.01,         0.00,     10203.86,         0.00,         0.00,      5227.22,      4975.77,
    0.02,         0.00,      4524.57,         0.00,         0.00,      2421.08,      2103.14,
    0.03,         0.00,      3452.86,         0.00,        -0.00,      1823.00,      1629.58,
    0.04,         0.00,      2886.86,         0.00,        -0.00,      1502.28,      1384.31,
    0.05,         0.00,      2520.87,         0.00,         0.00,      1293.17,      1227.44,
    0.06,         0.00,      2258.82,         0.00,        -0.00,      1142.67,      1115.92,
    0.07,         0.00,      2059.10,         0.00,        -0.00,      1027.54,      1031.33,
    0.08,         0.00,      1900.29,         0.00,        -0.00,       935.78,       964.30,
    0.09,         0.00,      1770.08,         0.00,        -0.00,       860.41,       909.46,
    0.10,         0.00,      1660.79,         0.00,        -0.00,       797.09,       863.52,
    0.11,         0.00,      1567.37,         0.00,        -0.00,       742.92,       824.28,
    0.12,         0.00,      1486.32,         0.00,        -0.00,       695.91,       790.25,
    0.13,         0.00,      1415.14,         0.00,        -0.00,       654.61,       760.37,
    0.14,         0.00,      1351.99,         0.00,        -0.00,       617.98,       733.86,
    0.15,         0.00,      1295.46,         0.00,        -0.00,       585.20,       710.12,
    0.16,         0.00,      1244.49,         0.00,        -0.00,       555.66,       688.70,
    0.17,         0.00,      1198.23,         0.00,         0.00,       528.86,       669.24,
    0.18,         0.00,      1156.00,         0.00,         0.00,       504.41,       651.46,
    0.19,         0.00,      1117.26,         0.00,         0.00,       482.01,       635.13,
    0.20,         0.00,      1081.55,         0.00,         0.00,       461.37,       620.06,
    0.21,         0.00,      1048.51,         0.00,         0.00,       442.30,       606.09,
    0.22,         0.00,      1017.82,         0.00,         0.00,       424.60,       593.10,
    0.23,         0.00,       989.22,         0.00,         0.00,       408.13,       580.98,
    0.24,         0.00,       962.49,         0.00,         0.00,       392.75,       569.63,
    0.25,         0.00,       937.44,         0.00,         0.00,       378.36,       558.97,
    0.26,         0.00,       913.90,         0.00,         0.00,       364.85,       548.94,
    0.27,         0.00,       891.72,         0.00,         0.00,       352.15,       539.48,
    0.28,         0.00,       870.80,         0.00,         0.00,       340.17,       530.52,
    0.29,         0.00,       851.01,         0.00,         0.00,       328.86,       522.04,
    0.30,         0.00,       832.25,         0.00,         0.00,       318.16,       513.99,
    0.31,         0.00,       814.45,         0.00,         0.00,       308.02,       506.33,
    0.32,         0.00,       797.53,         0.00,         0.00,       298.40,       499.04,
    0.33,         0.00,       781.42,         0.00,         0.00,       289.25,       492.07,
    0.34,         0.00,       766.05,         0.00,         0.00,       280.54,       485.42,
    0.35,         0.00,       751.38,         0.00,         0.00,       272.24,       479.06,
    0.36,         0.00,       737.36,         0.00,         0.00,       264.31,       472.96,
    0.37,         0.00,       723.94,         0.00,         0.00,       256.74,       467.11,
    0.38,         0.00,       711.08,         0.00,         0.00,       249.50,       461.49,
    0.39,         0.00,       698.74,         0.00,         0.00,       242.56,       456.09,
    0.40,         0.00,       686.89,         0.00,         0.00,       235.92,       450.89,
    0.41,         0.00,       675.51,         0.00,         0.00,       229.54,       445.88,
