Time (d),      jTA (*),      jTC (*),      jBA (*),      jBC (*),      duL (*),      duS (*) * all units are kJ/m2/d
    0.01,        12.54,         0.00,        -0.49,        -0.00,      -748.10,       761.06,
    0.02,        12.54,         0.00,        -0.49,        -0.00,      -732.70,       745.65,
    0.03,        12.54,         0.00,        -0.49,         0.00,      -721.52,       734.47,
    0.04,        12.54,         0.00,        -0.49,        -0.00,      -711.78,       724.73,
    0.05,        12.54,         0.00,        -0.49,         0.00,      -702.85,       715.80,
    0.06,        12.54,         0.00,        -0.49,         0.00,      -694.43,       707.38,
    0.07,        12.54,         0.00,        -0.49,         0.00,      -686.38,       699.33,
    0.08,        12.54,         0.00,        -0.49,        -0.00,      -678.61,       691.56,
    0.09,        12.54,         0.00,        -0.49,         0.00,      -671.05,       684.00,
    0.10,        12.54,         0.00,        -0.49,        -0.00,      -663.67,       676.62,
    0.11,        12.54,         0.00,        -0.49,         0.00,      -656.44,       669.39,
    0.12,        12.54,         0.00,        -0.49,         0.00,      -649.34,       662.29,
    0.13,        12.54,         0.00,        -0.49,         0.00,      -642.35,       655.30,
    0.14,        12.54,        -0.00,        -0.49,        -0.00,      -635.47,       648.41,
    0.15,        12.54,         0.00,        -0.49,         0.00,      -628.67,       641.62,
    0.16,        12.54,         0.00,        -0.49,        -0.00,      -621.97,       634.92,
    0.17,        12.54,         0.00,        -0.49,        -0.00,      -615.35,       628.30,
    0.18,        12.54,         0.00,        -0.49,         0.00,      -608.81,       621.76,
    0.19,        12.54,         0.00,        -0.49,         0.00,      -602.35,       615.30,
    0.20,        12.54,         0.00,        -0.49,         0.00,      -595.96,       608.91,
    0.21,        12.54,         0.00,        -0.49,         0.00,      -589.66,       602.61,
    0.22,        12.54,         0.00,        -0.49,         0.00,      -583.43,       596.38,
    0.23,        12.54,         0.00,        -0.49,         0.00,      -577.28,       590.23,
    0.24,        12.54,         0.00,        -0.49,         0.00,      -571.20,       584.15,
    0.25,        12.54,         0.00,        -0.49,         0.00,      -565.21,       578.16,
    0.26,        12.54,         0.00,        -0.49,         0.00,      -559.29,       572.24,
    0.27,        12.54,         0.00,        -0.49,         0.00,      -553.45,       566.40,
    0.28,        12.54,         0.00,        -0.49,         0.00,      -547.70,       560.64,
    0.29,        12.54,         0.00,        -0.49,         0.00,      -542.02,       554.97,
    0.30,        12.54,         0.00,        -0.49,         0.00,      -536.43,       549.37,
    0.31,        12.54,         0.00,        -0.49,         0.00,      -530.91,       543.86,
    0.32,        12.54,         0.00,        -0.49,         0.00,      -525.49,       538.43,
    0.33,        12.54,        -0.00,        -0.49,         0.00,      -520.14,       533.08,
    0.34,        12.54,        -0.00,        -0.49,         0.00,      -514.87,       527.82,
    0.35,        12.54,        -0.00,        -0.49,         0.00,      -509.69,       522.64,
    0.36,        12.54,        -0.00,        -0.49,         0.00,      -504.60,       517.54,
    0.37,        12.54,         0.00,        -0.49,         0.00,      -499.58,       512.54,
    0.38,        12.54,        -0.00,        -0.49,         0.00,      -494.65,       507.61,
    0.39,        12.54,         0.00,        -0.49,         0.00,      -489.81,       502.77,
    0.40,        12.54,        -0.00,        -0.49,         0.00,      -485.05,       498.00,
    0.41,        12.54,         0.00,        -0.49,         0.00,      -480.37,       493.33,
    0.42,        12.54,        -0.00,        -0.49,         0.00,      -475.77,       488.73,
    0.43,        12.54,         0.00,        -0.49,         0.00,      -471.26,       484.21,
    0.44,        12.54,        -0.00,        -0.49,         0.00,      -466.82,       479.78,
    0.45,        12.54,         0.00,        -0.49,         0.00,      -462.47,       475.42,
    0.46,        12.54,        -0.00,        -0.49,         0.00,      -458.20,       471.15,
    0.47,        12.54,         0.00,        -0.49,         0.00,      -454.00,       466.95,
    0.48,        12.54,        -0.00,        -0.49,         0.00,      -449.88,       462.83,
    0.49,        12.54,        -0.00,        -0.49,         0.00,      -445.84,       458.79,
    0.50,        12.54,         0.00,        -0.49,         0.00,      -441.87,       454.82,
    0.51,        12.54,        -0.00,        -0.49,         0.00,      -437.98,       450.93,
    0.52,        12.54,        -0.00,        -0.49,         0.00,      -434.15,       447.10,
    0.53,        12.54,        -0.00,        -0.49,         0.00,      -430.40,       443.35,
    0.54,        12.54,         0.00,        -0.49,         0.00,      -426.72,       439.67,
    0.55,        12.54,        -0.00,        -0.49,         0.00,      -423.11,       436.06,
    0.56,        12.54,         0.00,        -0.49,         0.00,      -419.57,       432.52,
    0.57,        12.54,        -0.00,        -0.49,         0.01,      -416.10,       429.04,
    0.58,        12.54,         0.00,        -0.49,         0.01,      -412.69,       425.63,
    0.59,        12.54,        -0.00,        -0.49,         0.01,      -409.34,       422.29,
    0.60,        12.54,         0.00,        -0.49,         0.01,      -406.06,       419.00,
    0.61,        12.54,        -0.00,        -0.49,         0.01,      -402.84,       415.78,
    0.62,        12.54,         0.00,        -0.49,         0.01,      -399.68,       412.62,
    0.63,        12.54,        -0.00,        -0.49,         0.01,      -396.57,       409.51,
    0.64,        12.54,         0.00,        -0.49,         0.02,      -393.53,       406.47,
    0.65,        12.54,        -0.00,        -0.49,         0.02,      -390.54,       403.48,
    0.66,        12.54,         0.00,        -0.49,         0.02,      -387.61,       400.54,
    0.67,        12.54,        -0.00,        -0.49,         0.03,      -384.73,       397.66,
    0.68,        12.54,         0.00,        -0.49,         0.03,      -381.91,       394.83,
    0.69,        12.54,        -0.00,        -0.49,         0.04,      -379.14,       392.06,
    0.70,        12.54,         0.00,        -0.49,         0.04,      -376.41,       389.33,
    0.71,        12.54,        -0.00,        -0.49,         0.05,      -373.74,       386.65,
    0.72,        12.54,        -0.00,        -0.49,         0.05,      -371.12,       384.02,
    0.73,        12.54,         0.00,        -0.49,         0.06,      -368.54,       381.44,
    0.74,        12.54,         0.00,        -0.49,         0.07,      -366.01,       378.90,
    0.75,        12.54,         0.00,        -0.49,         0.08,      -363.52,       376.41,
    0.76,        12.54,        -0.00,        -0.49,         0.09,      -361.08,       373.95,
    0.77,        12.54,        -0.00,        -0.49,         0.10,      -358.68,       371.55,
    0.78,        12.54,         0.00,        -0.49,         0.11,      -356.33,       369.18,
    0.79,        12.54,        -0.00,        -0.49,         0.12,      -354.01,       366.85,
    0.80,        12.54,        -0.00,        -0.49,         0.13,      -351.74,       364.57,
    0.81,        12.54,         0.00,        -0.49,         0.15,      -349.50,       362.32,
