Time (d),      jTA (*),      jTC (*),      jBA (*),      jBC (*),      duL (*),      duS (*) * all units are kJ/m2/d
    0.01,         0.00,     10203.58,        -0.49,         0.00,      5227.37,      4975.84,
    0.02,         0.00,      4524.27,        -0.49,        -0.00,      2421.22,      2103.19,
    0.03,         0.00,      3452.55,        -0.49,         0.00,      1823.13,      1629.63,
    0.04,         0.00,      2886.55,        -0.49,         0.00,      1502.41,      1384.36,
    0.05,         0.00,      2520.56,        -0.49,        -0.00,      1293.30,      1227.49,
    0.06,         0.00,      2258.51,        -0.49,         0.00,      1142.80,      1115.97,
    0.07,         0.00,      2058.79,        -0.49,        -0.00,      1027.67,      1031.38,
    0.08,         0.00,      1899.98,        -0.49,        -0.00,       935.91,       964.35,
    0.09,         0.00,      1769.77,        -0.49,         0.00,       860.54,       909.52,
    0.10,         0.00,      1660.49,        -0.49,         0.00,       797.22,       863.57,
    0.11,         0.00,      1567.07,        -0.49,         0.00,       743.05,       824.33,
    0.12,         0.00,      1486.02,        -0.49,         0.00,       696.04,       790.31,
    0.13,         0.00,      1414.84,        -0.49,         0.00,       654.75,       760.43,
    0.14,         0.00,      1351.69,        -0.49,        -0.00,       618.11,       733.92,
    0.15,         0.00,      1295.17,        -0.49,         0.00,       585.33,       710.18,
    0.16,         0.00,      1244.20,        -0.49,        -0.00,       555.79,       688.76,
    0.17,         0.00,      1197.94,        -0.49,         0.00,       528.99,       669.30,
    0.18,         0.00,      1155.71,        -0.49,         0.00,       504.55,       651.52,
    0.19,         0.00,      1116.97,        -0.49,         0.00,       482.14,       635.19,
    0.20,         0.00,      1081.26,        -0.49,         0.00,       461.50,       620.12,
    0.21,         0.00,      1048.22,        -0.49,         0.00,       442.43,       606.16,
    0.22,         0.00,      1017.53,        -0.49,         0.00,       424.73,       593.17,
    0.23,         0.00,       988.93,        -0.49,         0.00,       408.26,       581.04,
    0.24,         0.00,       962.21,        -0.49,         0.00,       392.89,       569.70,
    0.25,         0.00,       937.15,        -0.49,         0.00,       378.49,       559.04,
    0.26,         0.00,       913.61,        -0.49,         0.00,       364.99,       549.01,
    0.27,         0.00,       891.44,        -0.49,         0.00,       352.28,       539.54,
    0.28,         0.00,       870.52,        -0.49,         0.00,       340.31,       530.59,
    0.29,         0.00,       850.73,        -0.49,         0.00,       329.00,       522.11,
    0.30,         0.00,       831.98,        -0.49,         0.00,       318.30,       514.06,
    0.31,         0.00,       814.18,        -0.49,         0.00,       308.16,       506.40,
    0.32,         0.00,       797.26,        -0.49,         0.00,       298.54,       499.11,
    0.33,         0.00,       781.14,        -0.49,         0.00,       289.39,       492.15,
    0.34,         0.00,       765.78,        -0.49,         0.00,       280.68,       485.49,
    0.35,         0.00,       751.11,        -0.49,         0.00,       272.38,       479.13,
    0.36,         0.00,       737.09,        -0.49,         0.00,       264.46,       473.03,
    0.37,         0.00,       723.67,        -0.49,         0.00,       256.89,       467.18,
    0.38,         0.00,       710.81,        -0.49,         0.00,       249.64,       461.56,
    0.39,         0.00,       698.47,        -0.49,         0.00,       242.71,       456.16,
    0.40,         0.00,       686.63,        -0.49,         0.00,       236.06,       450.96,
    0.41,         0.00,       675.24,        -0.49,         0.00,       229.69,       445.95,
    0.42,         0.00,       664.29,        -0.49,         0.00,       223.56,       441.13,
    0.43,         0.00,       653.74,        -0.49,         0.00,       217.68,       436.47,
