Time (d), qI (mm/d), qT (mm/d), qR (mm/d), qB (mm/d), dS (mm/d)
    0.01,     3.000,     1.821,     1.179,     0.000,     1.821
    0.02,     3.000,     3.000,     0.000,     0.000,     3.000
    0.03,     3.000,     3.000,     0.000,     0.000,     3.000
    0.04,     3.000,     3.000,     0.000,     0.000,     3.000
    0.05,     3.000,     3.000,     0.000,     0.000,     0.874
    0.06,     3.000,     3.000,     0.000,     0.000,     3.373
    0.07,     3.000,     3.000,     0.000,     0.000,     4.622
    0.08,     3.000,     3.000,     0.000,     0.000,     3.131
    0.09,     3.000,     3.000,     0.000,     0.000,     3.000
    0.10,     3.000,     3.000,     0.000,     0.000,     3.000
    0.11,     3.000,     3.000,     0.000,     0.000,     3.000
    0.12,     3.000,     3.000,     0.000,     0.000,     3.000
    0.13,     3.000,     3.000,     0.000,     0.000,     3.000
    0.14,     3.000,     3.000,     0.000,     0.000,     3.000
    0.15,     3.000,     3.000,     0.000,     0.000,     3.000
    0.16,     3.000,     3.000,     0.000,     0.000,     2.870
    0.17,     3.000,     3.000,     0.000,     0.000,     2.408
    0.18,     3.000,     3.000,     0.000,     0.000,     2.440
    0.19,     3.000,     3.000,     0.000,     0.000,     2.468
    0.20,     3.000,     3.000,     0.000,     0.000,     2.494
    0.21,     3.000,     3.000,     0.000,     0.000,     2.517
    0.22,     3.000,     3.000,     0.000,     0.000,     2.539
    0.23,     3.000,     3.000,     0.000,     0.000,     2.558
    0.24,     3.000,     3.000,     0.000,     0.000,     2.576
    0.25,     3.000,     3.000,     0.000,     0.000,     2.415
    0.26,     3.000,     3.000,     0.000,     0.000,     2.343
    0.27,     3.000,     3.000,     0.000,     0.000,     2.374
    0.28,     3.000,     3.000,     0.000,     0.000,     2.403
    0.29,     3.000,     3.000,     0.000,     0.000,     2.429
    0.30,     3.000,     3.000,     0.000,     0.000,     2.454
    0.31,     3.000,     3.000,     0.000,     0.000,     2.476
    0.32,     3.000,     3.000,     0.000,     0.000,     2.496
    0.33,     3.000,     3.000,     0.000,     0.000,     2.515
    0.34,     3.000,     3.000,     0.000,     0.000,     2.532
    0.35,     3.000,     3.000,     0.000,     0.000,     2.548
    0.36,     3.000,     3.000,     0.000,     0.000,     2.563
    0.37,     3.000,     3.000,     0.000,     0.000,     3.170
    0.38,     3.000,     3.000,     0.000,     0.000,     3.834
    0.39,     3.000,     3.000,     0.000,     0.000,     3.818
    0.40,     3.000,     3.000,     0.000,     0.000,     3.810
    0.41,     3.000,     3.000,     0.000,     0.000,     3.808
    0.42,     3.000,     3.000,     0.000,     0.000,     3.708
    0.43,     3.000,     3.000,     0.000,     0.000,     3.684
    0.44,     3.000,     3.000,     0.000,     0.000,     3.689
    0.45,     3.000,     3.000,     0.000,     0.000,     3.695
    0.46,     3.000,     3.000,     0.000,     0.000,     3.108
    0.47,     3.000,     3.000,     0.000,     0.000,     2.767
    0.48,     3.000,     3.000,     0.000,     0.000,     2.769
    0.49,     3.000,     3.000,     0.000,     0.000,     2.771
    0.50,     3.000,     3.000,     0.000,     0.000,     2.773
    0.51,     3.000,     3.000,     0.000,     0.000,     2.775
    0.52,     3.000,     3.000,     0.000,     0.000,     2.777
    0.53,     3.000,     3.000,     0.000,     0.000,     2.779
    0.54,     3.000,     3.000,     0.000,     0.000,     2.781
    0.55,     3.000,     3.000,     0.000,     0.000,     2.783
    0.56,     3.000,     3.000,     0.000,     0.000,     2.785
