Time (d), qI (mm/d), qT (mm/d), qR (mm/d), qB (mm/d), dS (mm/d)
    0.57,     3.000,     3.000,     0.000,     0.000,     2.788
    0.58,     3.000,     3.000,     0.000,     0.000,     2.790
    0.59,     3.000,     3.000,     0.000,     0.000,     2.774
    0.60,     3.000,     3.000,     0.000,     0.000,     2.699
    0.61,     3.000,     3.000,     0.000,     0.000,     2.703
    0.62,     3.000,     3.000,     0.000,     0.000,     2.708
    0.63,     3.000,     3.000,     0.000,     0.000,     2.712
    0.64,     3.000,     3.000,     0.000,     0.000,     2.716
    0.65,     3.000,     3.000,     0.000,     0.000,     2.720
    0.66,     3.000,     3.000,     0.000,     0.000,     2.724
    0.67,     3.000,     3.000,     0.000,     0.000,     2.728
    0.68,     3.000,     3.000,     0.000,     0.000,     2.731
    0.69,     3.000,     3.000,     0.000,     0.000,     2.735
    0.70,     3.000,     3.000,     0.000,     0.000,     2.739
    0.71,     3.000,     3.000,     0.000,     0.000,     2.742
    0.72,     3.000,     3.000,     0.000,     0.000,     2.745
    0.73,     3.000,     3.000,     0.000,     0.000,     2.749
    0.74,     3.000,     3.000,     0.000,     0.000,     2.752
    0.75,     3.000,     3.000,     0.000,     0.000,     2.752
    0.76,     3.000,     3.000,     0.000,     0.000,     2.684
    0.77,     3.000,     3.000,     0.000,     0.000,     2.688
    0.78,     3.000,     3.000,     0.000,     0.000,     2.693
    0.79,     3.000,     3.000,     0.000,     0.000,     2.697
    0.80,     3.000,     3.000,     0.000,     0.000,     2.701
    0.81,     3.000,     3.000,     0.000,     0.000,     2.705
    0.82,     3.000,     3.000,     0.000,     0.000,     2.709
    0.83,     3.000,     3.000,     0.000,     0.000,     2.713
    0.84,     3.000,     3.000,     0.000,     0.000,     2.717
    0.85,     3.000,     3.000,     0.000,     0.000,     2.720
    0.86,     3.000,     3.000,     0.000,     0.000,     2.724
    0.87,     3.000,     3.000,     0.000,     0.000,     2.727
    0.88,     3.000,     3.000,     0.000,     0.000,     2.730
    0.89,     3.000,     3.000,     0.000,     0.000,     2.734
    0.90,     3.000,     3.000,     0.000,     0.000,     2.726
    0.91,     3.000,     3.000,     0.000,     0.000,     2.678
    0.92,     3.000,     3.000,     0.000,     0.000,     2.682
    0.93,     3.000,     3.000,     0.000,     0.000,     2.686
    0.94,     3.000,     3.000,     0.000,     0.000,     2.690
    0.95,     3.000,     3.000,     0.000,     0.000,     2.694
    0.96,     3.000,     3.000,     0.000,     0.000,     2.698
    0.97,     3.000,     3.000,     0.000,     0.000,     2.701
    0.98,     3.000,     3.000,     0.000,     0.000,     2.705
    0.99,     3.000,     3.000,     0.000,     0.000,     2.708
    1.00,     3.000,     3.000,     0.000,     0.000,     3.334
    1.01,     3.000,     3.000,     0.000,     0.000,     3.445
    1.02,     3.000,     3.000,     0.000,     0.000,     3.439
    1.03,     3.000,     3.000,     0.000,     0.000,     3.434
    1.04,     3.000,     3.000,     0.000,     0.000,     3.431
    1.05,     3.000,     3.000,     0.000,     0.000,     3.412
    1.06,     3.000,     3.000,     0.000,     0.000,     3.379
    1.07,     3.000,     3.000,     0.000,     0.000,     3.379
    1.08,     3.000,     3.000,     0.000,     0.000,     3.379
    1.09,     3.000,     3.000,     0.000,     0.000,     3.379
    1.10,     3.000,     3.000,     0.000,     0.000,     3.379
    1.11,     3.000,     3.000,     0.000,     0.000,     3.380
    1.12,     3.000,     3.000,     0.000,     0.000,     3.381
    1.13,     3.000,     3.000,     0.000,     0.000,     3.382
    1.14,     3.000,     3.000,     0.000,     0.000,     3.383
    1.15,     3.000,     3.000,     0.000,     0.000,     3.243
    1.16,     3.000,     3.000,     0.000,     0.000,     2.792
    1.17,     3.000,     3.000,     0.000,     0.000,     2.793
    1.18,     3.000,     3.000,     0.000,     0.000,     2.793
    1.19,     3.000,     3.000,     0.000,     0.000,     2.794
    1.20,     3.000,     3.000,     0.000,     0.000,     2.762
    1.21,     3.000,     3.000,     0.000,     0.000,     2.750
    1.22,     3.000,     3.000,     0.000,     0.000,     2.752
    1.23,     3.000,     3.000,     0.000,     0.000,     2.753
    1.24,     3.000,     3.000,     0.000,     0.000,     2.755
    1.25,     3.000,     3.000,     0.000,     0.000,     2.756
    1.26,     3.000,     3.000,     0.000,     0.000,     2.758
    1.27,     3.000,     3.000,     0.000,     0.000,     2.759
    1.28,     3.000,     3.000,     0.000,     0.000,     2.760
    1.29,     3.000,     3.000,     0.000,     0.000,     2.762
    1.30,     3.000,     3.000,     0.000,     0.000,     2.763
    1.31,     3.000,     3.000,     0.000,     0.000,     2.765
    1.32,     3.000,     3.000,     0.000,     0.000,     2.766
    1.33,     3.000,     3.000,     0.000,     0.000,     2.768
    1.34,     3.000,     3.000,     0.000,     0.000,     2.735
    1.35,     3.000,     3.000,     0.000,     0.000,     2.728
    1.36,     3.000,     3.000,     0.000,     0.000,     2.730
    1.37,     3.000,     3.000,     0.000,     0.000,     2.732
    1.38,     3.000,     3.000,     0.000,     0.000,     2.734
    1.39,     3.000,     3.000,     0.000,     0.000,     2.735
    1.40,     3.000,     3.000,     0.000,     0.000,     2.737
    1.41,     3.000,     3.000,     0.000,     0.000,     2.739
    1.42,     3.000,     3.000,     0.000,     0.000,     2.741
    1.43,     3.000,     3.000,     0.000,     0.000,     2.742
    1.44,     3.000,     3.000,     0.000,     0.000,     2.744
    1.45,     3.000,     3.000,     0.000,     0.000,     2.746
    1.46,     3.000,     3.000,     0.000,     0.000,     2.747
    1.47,     3.000,     3.000,     0.000,     0.000,     2.749
    1.48,     3.000,     3.000,     0.000,     0.000,     2.718
    1.49,     3.000,     3.000,     0.000,     0.000,     2.713
    1.50,     3.000,     3.000,     0.000,     0.000,     2.715
    1.51,     3.000,     3.000,     0.000,     0.000,     2.717
    1.52,     3.000,     3.000,     0.000,     0.000,     2.719
    1.53,     3.000,     3.000,     0.000,     0.000,     2.721
    1.54,     3.000,     3.000,     0.000,     0.000,     2.723
    1.55,     3.000,     3.000,     0.000,     0.000,     2.725
    1.56,     3.000,     3.000,     0.000,     0.000,     2.726
    1.57,     3.000,     3.000,     0.000,     0.000,     2.728
    1.58,     3.000,     3.000,     0.000,     0.000,     2.730
    1.59,     3.000,     3.000,     0.000,     0.000,     2.732
    1.60,     3.000,     3.000,     0.000,     0.000,     2.734
    1.61,     3.000,     3.000,     0.000,     0.000,     2.735
    1.62,     3.000,     3.000,     0.000,     0.000,     2.720
    1.63,     3.000,     3.000,     0.000,     0.000,     2.703
    1.64,     3.000,     3.000,     0.000,     0.000,     2.705
    1.65,     3.000,     3.000,     0.000,     0.000,     2.707
    1.66,     3.000,     3.000,     0.000,     0.000,     2.709
    1.67,     3.000,     3.000,     0.000,     0.000,     2.710
    1.68,     3.000,     3.000,     0.000,     0.000,     2.712
    1.69,     3.000,     3.000,     0.000,     0.000,     2.714
    1.70,     3.000,     3.000,     0.000,     0.000,     2.716
    1.71,     3.000,     3.000,     0.000,     0.000,     2.718
    1.72,     3.000,     3.000,     0.000,     0.000,     2.720
    1.73,     3.000,     3.000,     0.000,     0.000,     2.721
    1.74,     3.000,     3.000,     0.000,     0.000,     2.723
    1.75,     3.000,     3.000,     0.000,     0.000,     2.725
    1.76,     3.000,     3.000,     0.000,     0.000,     2.726
    1.77,     3.000,     3.000,     0.000,     0.000,     2.703
    1.78,     3.000,     3.000,     0.000,     0.000,     2.697
    1.79,     3.000,     3.000,     0.000,     0.000,     2.699
    1.80,     3.000,     3.000,     0.000,     0.000,     2.701
    1.81,     3.000,     3.000,     0.000,     0.000,     2.702
    1.82,     3.000,     3.000,     0.000,     0.000,     2.704
    1.83,     3.000,     3.000,     0.000,     0.000,     2.706
    1.84,     3.000,     3.000,     0.000,     0.000,     2.708
    1.85,     3.000,     3.000,     0.000,     0.000,     2.710
    1.86,     3.000,     3.000,     0.000,     0.000,     2.711
    1.87,     3.000,     3.000,     0.000,     0.000,     2.713
    1.88,     3.000,     3.000,     0.000,     0.000,     2.715
    1.89,     3.000,     3.000,     0.000,     0.000,     2.716
    1.90,     3.000,     3.000,     0.000,     0.000,     2.718
    1.91,     3.000,     3.000,     0.000,     0.000,     2.720
    1.92,     3.000,     3.000,     0.000,     0.000,     2.692
    1.93,     3.000,     3.000,     0.000,     0.000,     2.692
    1.94,     3.000,     3.000,     0.000,     0.000,     2.694
    1.95,     3.000,     3.000,     0.000,     0.000,     2.696
    1.96,     3.000,     3.000,     0.000,     0.000,     3.101
    1.97,     3.000,     3.000,     0.000,     0.000,     3.193
    1.98,     3.000,     3.000,     0.000,     0.000,     3.198
    1.99,     3.000,     3.000,     0.000,     0.000,     3.197
    2.00,     3.000,     3.000,     0.000,     0.000,     3.196
    2.01,     3.000,     3.000,     0.000,     0.000,     3.195
    2.02,     3.000,     3.000,     0.000,     0.000,     3.194
    2.03,     3.000,     3.000,     0.000,     0.000,     3.193
    2.04,     3.000,     3.000,     0.000,     0.000,     3.192
    2.05,     3.000,     3.000,     0.000,     0.000,     3.192
    2.06,     3.000,     3.000,     0.000,     0.000,     3.192
    2.07,     3.000,     3.000,     0.000,     0.000,     3.170
    2.08,     3.000,     3.000,     0.000,     0.000,     3.165
    2.09,     3.000,     3.000,     0.000,     0.000,     3.165
    2.10,     3.000,     3.000,     0.000,     0.000,     3.165
    2.11,     3.000,     3.000,     0.000,     0.000,     3.166
    2.12,     3.000,     3.000,     0.000,     0.000,     3.166
    2.13,     3.000,     3.000,     0.000,     0.000,     3.167
    2.14,     3.000,     3.000,     0.000,     0.000,     3.167
    2.15,     3.000,     3.000,     0.000,     0.000,     3.168
    2.16,     3.000,     3.000,     0.000,     0.000,     3.037
    2.17,     3.000,     3.000,     0.000,     0.000,     2.750
    2.18,     3.000,     3.000,     0.000,     0.000,     2.751
    2.19,     3.000,     3.000,     0.000,     0.000,     2.751
    2.20,     3.000,     3.000,     0.000,     0.000,     2.752
    2.21,     3.000,     3.000,     0.000,     0.000,     2.753
    2.22,     3.000,     3.000,     0.000,     0.000,     2.727
    2.23,     3.000,     3.000,     0.000,     0.000,     2.728
    2.24,     3.000,     3.000,     0.000,     0.000,     2.729
    2.25,     3.000,     3.000,     0.000,     0.000,     2.730
    2.26,     3.000,     3.000,     0.000,     0.000,     2.731
    2.27,     3.000,     3.000,     0.000,     0.000,     2.732
    2.28,     3.000,     3.000,     0.000,     0.000,     2.733
    2.29,     3.000,     3.000,     0.000,     0.000,     2.734
    2.30,     3.000,     3.000,     0.000,     0.000,     2.735
    2.31,     3.000,     3.000,     0.000,     0.000,     2.735
    2.32,     3.000,     3.000,     0.000,     0.000,     2.736
    2.33,     3.000,     3.000,     0.000,     0.000,     2.737
    2.34,     3.000,     3.000,     0.000,     0.000,     2.738
    2.35,     3.000,     3.000,     0.000,     0.000,     2.739
    2.36,     3.000,     3.000,     0.000,     0.000,     2.720
    2.37,     3.000,     3.000,     0.000,     0.000,     2.716
    2.38,     3.000,     3.000,     0.000,     0.000,     2.717
    2.39,     3.000,     3.000,     0.000,     0.000,     2.718
    2.40,     3.000,     3.000,     0.000,     0.000,     2.719
    2.41,     3.000,     3.000,     0.000,     0.000,     2.720
    2.42,     3.000,     3.000,     0.000,     0.000,     2.721
    2.43,     3.000,     3.000,     0.000,     0.000,     2.722
    2.44,     3.000,     3.000,     0.000,     0.000,     2.723
    2.45,     3.000,     3.000,     0.000,     0.000,     2.724
    2.46,     3.000,     3.000,     0.000,     0.000,     2.725
    2.47,     3.000,     3.000,     0.000,     0.000,     2.726
    2.48,     3.000,     3.000,     0.000,     0.000,     2.727
    2.49,     3.000,     3.000,     0.000,     0.000,     2.727
    2.50,     3.000,     3.000,     0.000,     0.000,     2.705
    2.51,     3.000,     3.000,     0.000,     0.000,     2.706
    2.52,     3.000,     3.000,     0.000,     0.000,     2.707
    2.53,     3.000,     3.000,     0.000,     0.000,     2.708
    2.54,     3.000,     3.000,     0.000,     0.000,     2.710
    2.55,     3.000,     3.000,     0.000,     0.000,     2.711
    2.56,     3.000,     3.000,     0.000,     0.000,     2.712
    2.57,     3.000,     3.000,     0.000,     0.000,     2.713
    2.58,     3.000,     3.000,     0.000,     0.000,     2.714
    2.59,     3.000,     3.000,     0.000,     0.000,     2.715
    2.60,     3.000,     3.000,     0.000,     0.000,     2.716
    2.61,     3.000,     3.000,     0.000,     0.000,     2.717
    2.62,     3.000,     3.000,     0.000,     0.000,     2.719
    2.63,     3.000,     3.000,     0.000,     0.000,     2.704
    2.64,     3.000,     3.000,     0.000,     0.000,     2.697
    2.65,     3.000,     3.000,     0.000,     0.000,     2.698
    2.66,     3.000,     3.000,     0.000,     0.000,     2.700
    2.67,     3.000,     3.000,     0.000,     0.000,     2.701
    2.68,     3.000,     3.000,     0.000,     0.000,     2.702
    2.69,     3.000,     3.000,     0.000,     0.000,     2.703
    2.70,     3.000,     3.000,     0.000,     0.000,     2.704
    2.71,     3.000,     3.000,     0.000,     0.000,     2.705
    2.72,     3.000,     3.000,     0.000,     0.000,     2.707
    2.73,     3.000,     3.000,     0.000,     0.000,     2.708
    2.74,     3.000,     3.000,     0.000,     0.000,     2.709
    2.75,     3.000,     3.000,     0.000,     0.000,     2.710
    2.76,     3.000,     3.000,     0.000,     0.000,     2.697
    2.77,     3.000,     3.000,     0.000,     0.000,     2.689
    2.78,     3.000,     3.000,     0.000,     0.000,     2.691
    2.79,     3.000,     3.000,     0.000,     0.000,     2.692
    2.80,     3.000,     3.000,     0.000,     0.000,     2.693
    2.81,     3.000,     3.000,     0.000,     0.000,     2.694
    2.82,     3.000,     3.000,     0.000,     0.000,     2.695
    2.83,     3.000,     3.000,     0.000,     0.000,     2.697
    2.84,     3.000,     3.000,     0.000,     0.000,     2.698
    2.85,     3.000,     3.000,     0.000,     0.000,     2.699
    2.86,     3.000,     3.000,     0.000,     0.000,     2.700
    2.87,     3.000,     3.000,     0.000,     0.000,     2.701
    2.88,     3.000,     3.000,     0.000,     0.000,     2.702
    2.89,     3.000,     3.000,     0.000,     0.000,     2.685
    2.90,     3.000,     3.000,     0.000,     0.000,     2.683
    2.91,     3.000,     3.000,     0.000,     0.000,     2.684
    2.92,     3.000,     3.000,     0.000,     0.000,     2.685
    2.93,     3.000,     3.000,     0.000,     0.000,     2.686
    2.94,     3.000,     3.000,     0.000,     0.000,     2.688
    2.95,     3.000,     3.000,     0.000,     0.000,     2.689
    2.96,     3.000,     3.000,     0.000,     0.000,     2.690
    2.97,     3.000,     3.000,     0.000,     0.000,     2.691
    2.98,     3.000,     3.000,     0.000,     0.000,     2.692
    2.99,     3.000,     3.000,     0.000,     0.000,     2.693
    3.00,     3.000,     3.000,     0.000,     0.000,     2.694
    3.01,     3.000,     3.000,     0.000,     0.000,     2.689
    3.02,     3.000,     3.000,     0.000,     0.000,     2.675
    3.03,     3.000,     3.000,     0.000,     0.000,     2.677
    3.04,     3.000,     3.000,     0.000,     0.000,     2.678
    3.05,     3.000,     3.000,     0.000,     0.000,     2.679
    3.06,     3.000,     3.000,     0.000,     0.000,     2.680
    3.07,     3.000,     3.000,     0.000,     0.000,     2.681
    3.08,     3.000,     3.000,     0.000,     0.000,     2.683
    3.09,     3.000,     3.000,     0.000,     0.000,     2.684
    3.10,     3.000,     3.000,     0.000,     0.000,     2.685
    3.11,     3.000,     3.000,     0.000,     0.000,     2.686
    3.12,     3.000,     3.000,     0.000,     0.000,     2.687
    3.13,     3.000,     3.000,     0.000,     0.000,     2.688
    3.14,     3.000,     3.000,     0.000,     0.000,     2.670
    3.15,     3.000,     3.000,     0.000,     0.000,     2.670
    3.16,     3.000,     3.000,     0.000,     0.000,     2.671
    3.17,     3.000,     3.000,     0.000,     0.000,     2.672
    3.18,     3.000,     3.000,     0.000,     0.000,     2.674
    3.19,     3.000,     3.000,     0.000,     0.000,     2.675
    3.20,     3.000,     3.000,     0.000,     0.000,     2.676
    3.21,     3.000,     3.000,     0.000,     0.000,     2.677
    3.22,     3.000,     3.000,     0.000,     0.000,     2.678
    3.23,     3.000,     3.000,     0.000,     0.000,     2.679
    3.24,     3.000,     3.000,     0.000,     0.000,     2.816
    3.25,     3.000,     3.000,     0.000,     0.000,     3.036
    3.26,     3.000,     3.000,     0.000,     0.000,     3.033
    3.27,     3.000,     3.000,     0.000,     0.000,     3.032
    3.28,     3.000,     3.000,     0.000,     0.000,     3.033
    3.29,     3.000,     3.000,     0.000,     0.000,     3.033
    3.30,     3.000,     3.000,     0.000,     0.000,     3.034
    3.31,     3.000,     3.000,     0.000,     0.000,     3.034
    3.32,     3.000,     3.000,     0.000,     0.000,     3.033
    3.33,     3.000,     3.000,     0.000,     0.000,     3.033
    3.34,     3.000,     3.000,     0.000,     0.000,     3.034
    3.35,     3.000,     3.000,     0.000,     0.000,     3.034
    3.36,     3.000,     3.000,     0.000,     0.000,     3.034
    3.37,     3.000,     3.000,     0.000,     0.000,     3.034
    3.38,     3.000,     3.000,     0.000,     0.000,     3.031
    3.39,     3.000,     3.000,     0.000,     0.000,     3.015
    3.40,     3.000,     3.000,     0.000,     0.000,     3.016
    3.41,     3.000,     3.000,     0.000,     0.000,     3.016
    3.42,     3.000,     3.000,     0.000,     0.000,     3.017
    3.43,     3.000,     3.000,     0.000,     0.000,     3.017
    3.44,     3.000,     3.000,     0.000,     0.000,     3.018
    3.45,     3.000,     3.000,     0.000,     0.000,     3.018
    3.46,     3.000,     3.000,     0.000,     0.000,     3.019
    3.47,     3.000,     3.000,     0.000,     0.000,     3.019
    3.48,     3.000,     3.000,     0.000,     0.000,     3.020
    3.49,     3.000,     3.000,     0.000,     0.000,     3.020
    3.50,     3.000,     3.000,     0.000,     0.000,     3.021
    3.51,     3.000,     3.000,     0.000,     0.000,     3.009
    3.52,     3.000,     3.000,     0.000,     0.000,     2.694
    3.53,     3.000,     3.000,     0.000,     0.000,     2.685
    3.54,     3.000,     3.000,     0.000,     0.000,     2.686
    3.55,     3.000,     3.000,     0.000,     0.000,     2.687
    3.56,     3.000,     3.000,     0.000,     0.000,     2.688
    3.57,     3.000,     3.000,     0.000,     0.000,     2.688
    3.58,     3.000,     3.000,     0.000,     0.000,     2.689
    3.59,     3.000,     3.000,     0.000,     0.000,     2.690
    3.60,     3.000,     3.000,     0.000,     0.000,     2.691
    3.61,     3.000,     3.000,     0.000,     0.000,     2.691
    3.62,     3.000,     3.000,     0.000,     0.000,     2.692
    3.63,     3.000,     3.000,     0.000,     0.000,     2.689
    3.64,     3.000,     3.000,     0.000,     0.000,     2.675
    3.65,     3.000,     3.000,     0.000,     0.000,     2.676
    3.66,     3.000,     3.000,     0.000,     0.000,     2.677
    3.67,     3.000,     3.000,     0.000,     0.000,     2.678
    3.68,     3.000,     3.000,     0.000,     0.000,     2.679
    3.69,     3.000,     3.000,     0.000,     0.000,     2.680
    3.70,     3.000,     3.000,     0.000,     0.000,     2.680
    3.71,     3.000,     3.000,     0.000,     0.000,     2.681
    3.72,     3.000,     3.000,     0.000,     0.000,     2.682
    3.73,     3.000,     3.000,     0.000,     0.000,     2.683
    3.74,     3.000,     3.000,     0.000,     0.000,     2.684
    3.75,     3.000,     3.000,     0.000,     0.000,     2.684
    3.76,     3.000,     3.000,     0.000,     0.000,     2.671
    3.77,     3.000,     3.000,     0.000,     0.000,     2.668
    3.78,     3.000,     3.000,     0.000,     0.000,     2.669
    3.79,     3.000,     3.000,     0.000,     0.000,     2.670
    3.80,     3.000,     3.000,     0.000,     0.000,     2.671
    3.81,     3.000,     3.000,     0.000,     0.000,     2.672
    3.82,     3.000,     3.000,     0.000,     0.000,     2.673
    3.83,     3.000,     3.000,     0.000,     0.000,     2.674
    3.84,     3.000,     3.000,     0.000,     0.000,     2.674
    3.85,     3.000,     3.000,     0.000,     0.000,     2.675
    3.86,     3.000,     3.000,     0.000,     0.000,     2.676
    3.87,     3.000,     3.000,     0.000,     0.000,     2.677
    3.88,     3.000,     3.000,     0.000,     0.000,     2.670
    3.89,     3.000,     3.000,     0.000,     0.000,     2.661
    3.90,     3.000,     3.000,     0.000,     0.000,     2.662
    3.91,     3.000,     3.000,     0.000,     0.000,     2.663
    3.92,     3.000,     3.000,     0.000,     0.000,     2.664
    3.93,     3.000,     3.000,     0.000,     0.000,     2.665
    3.94,     3.000,     3.000,     0.000,     0.000,     2.666
    3.95,     3.000,     3.000,     0.000,     0.000,     2.667
    3.96,     3.000,     3.000,     0.000,     0.000,     2.667
    3.97,     3.000,     3.000,     0.000,     0.000,     2.668
    3.98,     3.000,     3.000,     0.000,     0.000,     2.669
    3.99,     3.000,     3.000,     0.000,     0.000,     2.670
    4.00,     3.000,     3.000,     0.000,     0.000,     2.668
    4.01,     3.000,     3.000,     0.000,     0.000,     2.655
    4.02,     3.000,     3.000,     0.000,     0.000,     2.656
    4.03,     3.000,     3.000,     0.000,     0.000,     2.657
    4.04,     3.000,     3.000,     0.000,     0.000,     2.658
    4.05,     3.000,     3.000,     0.000,     0.000,     2.658
    4.06,     3.000,     3.000,     0.000,     0.000,     2.659
    4.07,     3.000,     3.000,     0.000,     0.000,     2.660
    4.08,     3.000,     3.000,     0.000,     0.000,     2.661
    4.09,     3.000,     3.000,     0.000,     0.000,     2.662
    4.10,     3.000,     3.000,     0.000,     0.000,     2.663
    4.11,     3.000,     3.000,     0.000,     0.000,     2.664
    4.12,     3.000,     3.000,     0.000,     0.000,     2.665
    4.13,     3.000,     3.000,     0.000,     0.000,     2.649
    4.14,     3.000,     3.000,     0.000,     0.000,     2.650
    4.15,     3.000,     3.000,     0.000,     0.000,     2.651
    4.16,     3.000,     3.000,     0.000,     0.000,     2.652
    4.17,     3.000,     3.000,     0.000,     0.000,     2.653
    4.18,     3.000,     3.000,     0.000,     0.000,     2.654
    4.19,     3.000,     3.000,     0.000,     0.000,     2.655
    4.20,     3.000,     3.000,     0.000,     0.000,     2.655
    4.21,     3.000,     3.000,     0.000,     0.000,     2.656
    4.22,     3.000,     3.000,     0.000,     0.000,     2.657
    4.23,     3.000,     3.000,     0.000,     0.000,     2.658
    4.24,     3.000,     3.000,     0.000,     0.000,     2.659
    4.25,     3.000,     3.000,     0.000,     0.000,     2.645
    4.26,     3.000,     3.000,     0.000,     0.000,     2.644
    4.27,     3.000,     3.000,     0.000,     0.000,     2.645
    4.28,     3.000,     3.000,     0.000,     0.000,     2.646
    4.29,     3.000,     3.000,     0.000,     0.000,     2.647
    4.30,     3.000,     3.000,     0.000,     0.000,     2.648
    4.31,     3.000,     3.000,     0.000,     0.000,     2.649
    4.32,     3.000,     3.000,     0.000,     0.000,     2.650
    4.33,     3.000,     3.000,     0.000,     0.000,     2.651
    4.34,     3.000,     3.000,     0.000,     0.000,     2.652
    4.35,     3.000,     3.000,     0.000,     0.000,     2.653
    4.36,     3.000,     3.000,     0.000,     0.000,     2.654
    4.37,     3.000,     3.000,     0.000,     0.000,     2.639
    4.38,     3.000,     3.000,     0.000,     0.000,     2.639
    4.39,     3.000,     3.000,     0.000,     0.000,     2.640
    4.40,     3.000,     3.000,     0.000,     0.000,     2.641
    4.41,     3.000,     3.000,     0.000,     0.000,     2.642
    4.42,     3.000,     3.000,     0.000,     0.000,     2.643
    4.43,     3.000,     3.000,     0.000,     0.000,     2.644
    4.44,     3.000,     3.000,     0.000,     0.000,     2.645
    4.45,     3.000,     3.000,     0.000,     0.000,     2.646
    4.46,     3.000,     3.000,     0.000,     0.000,     2.647
    4.47,     3.000,     3.000,     0.000,     0.000,     2.648
    4.48,     3.000,     3.000,     0.000,     0.000,     2.647
    4.49,     3.000,     3.000,     0.000,     0.000,     2.634
    4.50,     3.000,     3.000,     0.000,     0.000,     2.635
    4.51,     3.000,     3.000,     0.000,     0.000,     2.636
    4.52,     3.000,     3.000,     0.000,     0.000,     2.637
    4.53,     3.000,     3.000,     0.000,     0.000,     2.638
    4.54,     3.000,     3.000,     0.000,     0.000,     2.639
    4.55,     3.000,     3.000,     0.000,     0.000,     2.640
    4.56,     3.000,     3.000,     0.000,     0.000,     2.641
    4.57,     3.000,     3.000,     0.000,     0.000,     2.641
    4.58,     3.000,     3.000,     0.000,     0.000,     2.642
    4.59,     3.000,     3.000,     0.000,     0.000,     2.643
    4.60,     3.000,     3.000,     0.000,     0.000,     2.638
    4.61,     3.000,     3.000,     0.000,     0.000,     2.629
    4.62,     3.000,     3.000,     0.000,     0.000,     2.630
    4.63,     3.000,     3.000,     0.000,     0.000,     2.631
