Depth (m), T (deg C), thetaI (-), thetaL (-), thetaT (-)
    0.001,   -0.0006,     0.0004,     0.5188,     0.5192
    0.003,   -0.0021,     0.0134,     0.5069,     0.5192
    0.005,   -0.0036,     0.0354,     0.4868,     0.5193
    0.007,   -0.0049,     0.0596,     0.4647,     0.5193
    0.009,   -0.0061,     0.0821,     0.4441,     0.5194
    0.011,   -0.0072,     0.1016,     0.4262,     0.5194
    0.013,   -0.0083,     0.1181,     0.4111,     0.5194
    0.015,   -0.0092,     0.1321,     0.3984,     0.5195
    0.017,   -0.0101,     0.1439,     0.3876,     0.5195
    0.019,   -0.0109,     0.1539,     0.3784,     0.5195
    0.021,   -0.0117,     0.1625,     0.3705,     0.5195
    0.023,   -0.0124,     0.1699,     0.3637,     0.5196
    0.025,   -0.0130,     0.1764,     0.3578,     0.5196
    0.027,   -0.0137,     0.1821,     0.3526,     0.5196
    0.029,   -0.0143,     0.1871,     0.3480,     0.5196
    0.031,   -0.0148,     0.1916,     0.3439,     0.5196
    0.033,   -0.0153,     0.1956,     0.3403,     0.5196
    0.035,   -0.0158,     0.1991,     0.3370,     0.5196
    0.037,   -0.0163,     0.2024,     0.3340,     0.5196
    0.039,   -0.0167,     0.2053,     0.3314,     0.5196
    0.041,   -0.0171,     0.2079,     0.3290,     0.5196
    0.043,   -0.0175,     0.2103,     0.3268,     0.5196
    0.045,   -0.0179,     0.2125,     0.3247,     0.5196
    0.047,   -0.0182,     0.2145,     0.3229,     0.5196
    0.049,   -0.0186,     0.2163,     0.3212,     0.5195
    0.051,   -0.0189,     0.2179,     0.3197,     0.5195
    0.053,   -0.0192,     0.2195,     0.3182,     0.5195
    0.055,   -0.0195,     0.2209,     0.3169,     0.5195
    0.057,   -0.0197,     0.2221,     0.3157,     0.5194
    0.059,   -0.0200,     0.2233,     0.3146,     0.5194
    0.061,   -0.0202,     0.2244,     0.3136,     0.5194
    0.063,   -0.0204,     0.2254,     0.3126,     0.5193
    0.065,   -0.0206,     0.2263,     0.3117,     0.5193
    0.067,   -0.0208,     0.2272,     0.3109,     0.5192
    0.069,   -0.0210,     0.2280,     0.3101,     0.5192
    0.071,   -0.0212,     0.2287,     0.3094,     0.5191
    0.073,   -0.0214,     0.2293,     0.3088,     0.5191
    0.075,   -0.0215,     0.2299,     0.3082,     0.5190
    0.077,   -0.0217,     0.2305,     0.3076,     0.5189
    0.079,   -0.0218,     0.2310,     0.3071,     0.5189
    0.081,   -0.0219,     0.2314,     0.3066,     0.5188
    0.083,   -0.0220,     0.2319,     0.3061,     0.5187
    0.085,   -0.0222,     0.2322,     0.3057,     0.5186
    0.087,   -0.0223,     0.2326,     0.3052,     0.5185
    0.089,   -0.0224,     0.2329,     0.3049,     0.5184
    0.091,   -0.0225,     0.2332,     0.3045,     0.5183
    0.093,   -0.0226,     0.2334,     0.3042,     0.5182
    0.095,   -0.0227,     0.2336,     0.3039,     0.5181
    0.097,   -0.0227,     0.2338,     0.3036,     0.5180
    0.099,   -0.0228,     0.2340,     0.3033,     0.5179
    0.101,   -0.0229,     0.2342,     0.3030,     0.5177
    0.103,   -0.0230,     0.2343,     0.3027,     0.5176
    0.105,   -0.0230,     0.2344,     0.3025,     0.5175
    0.107,   -0.0231,     0.2345,     0.3023,     0.5173
    0.109,   -0.0232,     0.2346,     0.3020,     0.5171
    0.111,   -0.0232,     0.2346,     0.3018,     0.5170
    0.113,   -0.0233,     0.2347,     0.3016,     0.5168
    0.115,   -0.0234,     0.2347,     0.3014,     0.5166
    0.117,   -0.0234,     0.2347,     0.3012,     0.5164
    0.119,   -0.0235,     0.2347,     0.3010,     0.5163
    0.121,   -0.0235,     0.2347,     0.3008,     0.5161
    0.123,   -0.0236,     0.2347,     0.3006,     0.5159
    0.125,   -0.0237,     0.2347,     0.3004,     0.5156
    0.127,   -0.0237,     0.2347,     0.3002,     0.5154
    0.129,   -0.0238,     0.2346,     0.3000,     0.5152
    0.131,   -0.0238,     0.2346,     0.2998,     0.5149
    0.133,   -0.0239,     0.2345,     0.2996,     0.5147
    0.135,   -0.0240,     0.2345,     0.2994,     0.5144
    0.137,   -0.0240,     0.2344,     0.2992,     0.5142
    0.139,   -0.0241,     0.2343,     0.2990,     0.5139
    0.141,   -0.0241,     0.2343,     0.2988,     0.5136
    0.143,   -0.0242,     0.2342,     0.2986,     0.5133
    0.145,   -0.0243,     0.2341,     0.2984,     0.5130
    0.147,   -0.0244,     0.2340,     0.2982,     0.5127
    0.149,   -0.0244,     0.2339,     0.2979,     0.5124
    0.151,   -0.0245,     0.2338,     0.2977,     0.5121
    0.153,   -0.0246,     0.2337,     0.2974,     0.5118
    0.155,   -0.0247,     0.2336,     0.2972,     0.5114
    0.157,   -0.0248,     0.2335,     0.2969,     0.5111
    0.159,   -0.0249,     0.2334,     0.2966,     0.5107
    0.161,   -0.0249,     0.2333,     0.2963,     0.5103
    0.163,   -0.0250,     0.2332,     0.2961,     0.5099
    0.165,   -0.0251,     0.2331,     0.2958,     0.5095
    0.167,   -0.0253,     0.2330,     0.2954,     0.5091
    0.169,   -0.0254,     0.2329,     0.2951,     0.5087
    0.171,   -0.0255,     0.2328,     0.2948,     0.5083
    0.173,   -0.0256,     0.2327,     0.2945,     0.5078
    0.175,   -0.0257,     0.2326,     0.2941,     0.5074
    0.177,   -0.0258,     0.2325,     0.2937,     0.5069
    0.179,   -0.0260,     0.2324,     0.2934,     0.5064
    0.181,   -0.0261,     0.2323,     0.2930,     0.5059
    0.183,   -0.0263,     0.2321,     0.2926,     0.5054
    0.185,   -0.0264,     0.2320,     0.2922,     0.5049
    0.187,   -0.0266,     0.2319,     0.2917,     0.5044
    0.189,   -0.0267,     0.2318,     0.2913,     0.5039
    0.191,   -0.0269,     0.2317,     0.2909,     0.5033
    0.193,   -0.0271,     0.2316,     0.2904,     0.5027
    0.195,   -0.0273,     0.2314,     0.2899,     0.5021
    0.197,   -0.0275,     0.2313,     0.2894,     0.5015
    0.199,   -0.0277,     0.2312,     0.2889,     0.5009
    0.201,   -0.0279,     0.2311,     0.2884,     0.5003
    0.203,   -0.0281,     0.2309,     0.2879,     0.4997
    0.205,   -0.0283,     0.2308,     0.2874,     0.4990
    0.207,   -0.0285,     0.2307,     0.2868,     0.4984
    0.209,   -0.0288,     0.2306,     0.2862,     0.4977
    0.211,   -0.0290,     0.2304,     0.2857,     0.4970
    0.213,   -0.0293,     0.2303,     0.2851,     0.4963
    0.215,   -0.0296,     0.2302,     0.2845,     0.4955
    0.217,   -0.0298,     0.2300,     0.2839,     0.4948
    0.219,   -0.0301,     0.2299,     0.2832,     0.4940
    0.221,   -0.0304,     0.2298,     0.2826,     0.4933
    0.223,   -0.0308,     0.2296,     0.2819,     0.4925
    0.225,   -0.0311,     0.2295,     0.2813,     0.4917
    0.227,   -0.0314,     0.2293,     0.2806,     0.4909
    0.229,   -0.0318,     0.2292,     0.2799,     0.4900
    0.231,   -0.0322,     0.2290,     0.2792,     0.4892
    0.233,   -0.0326,     0.2288,     0.2785,     0.4883
    0.235,   -0.0330,     0.2287,     0.2777,     0.4874
    0.237,   -0.0334,     0.2285,     0.2770,     0.4865
    0.239,   -0.0338,     0.2284,     0.2762,     0.4856
    0.241,   -0.0343,     0.2282,     0.2755,     0.4847
    0.243,   -0.0347,     0.2280,     0.2747,     0.4838
    0.245,   -0.0352,     0.2278,     0.2739,     0.4828
    0.247,   -0.0357,     0.2276,     0.2731,     0.4819
    0.249,   -0.0363,     0.2275,     0.2723,     0.4809
    0.251,   -0.0368,     0.2273,     0.2715,     0.4799
    0.253,   -0.0374,     0.2271,     0.2707,     0.4789
    0.255,   -0.0380,     0.2269,     0.2699,     0.4779
    0.257,   -0.0386,     0.2266,     0.2691,     0.4769
    0.259,   -0.0392,     0.2264,     0.2682,     0.4759
    0.261,   -0.0399,     0.2262,     0.2674,     0.4748
    0.263,   -0.0406,     0.2260,     0.2665,     0.4738
    0.265,   -0.0413,     0.2258,     0.2657,     0.4727
    0.267,   -0.0421,     0.2255,     0.2649,     0.4717
    0.269,   -0.0428,     0.2253,     0.2640,     0.4706
    0.271,   -0.0436,     0.2250,     0.2632,     0.4695
    0.273,   -0.0445,     0.2248,     0.2623,     0.4684
    0.275,   -0.0453,     0.2245,     0.2615,     0.4674
    0.277,   -0.0462,     0.2243,     0.2606,     0.4663
    0.279,   -0.0472,     0.2240,     0.2598,     0.4652
    0.281,   -0.0481,     0.2238,     0.2589,     0.4641
    0.283,   -0.0491,     0.2235,     0.2581,     0.4630
    0.285,   -0.0501,     0.2232,     0.2572,     0.4619
    0.287,   -0.0512,     0.2229,     0.2564,     0.4608
    0.289,   -0.0523,     0.2226,     0.2556,     0.4597
    0.291,   -0.0535,     0.2223,     0.2548,     0.4587
    0.293,   -0.0546,     0.2220,     0.2540,     0.4576
    0.295,   -0.0559,     0.2217,     0.2532,     0.4565
    0.297,   -0.0571,     0.2214,     0.2524,     0.4554
    0.299,   -0.0584,     0.2211,     0.2516,     0.4544
    0.301,   -0.0598,     0.2208,     0.2508,     0.4533
    0.303,   -0.0612,     0.2205,     0.2501,     0.4523
    0.305,   -0.0626,     0.2202,     0.2493,     0.4513
    0.307,   -0.0641,     0.2199,     0.2486,     0.4502
    0.309,   -0.0656,     0.2196,     0.2479,     0.4492
    0.311,   -0.0671,     0.2193,     0.2472,     0.4482
    0.313,   -0.0688,     0.2190,     0.2465,     0.4473
    0.315,   -0.0704,     0.2187,     0.2458,     0.4463
    0.317,   -0.0721,     0.2183,     0.2451,     0.4453
    0.319,   -0.0738,     0.2180,     0.2445,     0.4444
    0.321,   -0.0756,     0.2177,     0.2438,     0.4435
    0.323,   -0.0774,     0.2174,     0.2432,     0.4426
    0.325,   -0.0793,     0.2171,     0.2426,     0.4417
    0.327,   -0.0812,     0.2168,     0.2420,     0.4408
    0.329,   -0.0832,     0.2165,     0.2414,     0.4400
    0.331,   -0.0852,     0.2162,     0.2409,     0.4391
    0.333,   -0.0872,     0.2159,     0.2403,     0.4383
    0.335,   -0.0893,     0.2156,     0.2398,     0.4375
    0.337,   -0.0915,     0.2154,     0.2393,     0.4368
    0.339,   -0.0936,     0.2151,     0.2388,     0.4360
    0.341,   -0.0959,     0.2148,     0.2383,     0.4353
    0.343,   -0.0981,     0.2145,     0.2378,     0.4345
    0.345,   -0.1004,     0.2143,     0.2373,     0.4338
    0.347,   -0.1028,     0.2140,     0.2369,     0.4331
    0.349,   -0.1051,     0.2138,     0.2364,     0.4325
    0.351,   -0.1076,     0.2135,     0.2360,     0.4318
    0.353,   -0.1100,     0.2133,     0.2356,     0.4312
    0.355,   -0.1125,     0.2131,     0.2352,     0.4306
    0.357,   -0.1150,     0.2129,     0.2348,     0.4300
    0.359,   -0.1176,     0.2126,     0.2344,     0.4294
    0.361,   -0.1202,     0.2124,     0.2341,     0.4289
    0.363,   -0.1228,     0.2122,     0.2337,     0.4283
    0.365,   -0.1255,     0.2120,     0.2334,     0.4278
    0.367,   -0.1282,     0.2118,     0.2330,     0.4273
    0.369,   -0.1309,     0.2117,     0.2327,     0.4268
    0.371,   -0.1336,     0.2115,     0.2324,     0.4263
    0.373,   -0.1364,     0.2113,     0.2321,     0.4259
    0.375,   -0.1392,     0.2111,     0.2318,     0.4254
    0.377,   -0.1421,     0.2110,     0.2315,     0.4250
    0.379,   -0.1449,     0.2108,     0.2313,     0.4246
    0.381,   -0.1478,     0.2107,     0.2310,     0.4242
    0.383,   -0.1507,     0.2106,     0.2307,     0.4238
    0.385,   -0.1536,     0.2104,     0.2305,     0.4235
    0.387,   -0.1566,     0.2103,     0.2302,     0.4231
    0.389,   -0.1595,     0.2102,     0.2300,     0.4228
    0.391,   -0.1625,     0.2101,     0.2298,     0.4224
    0.393,   -0.1655,     0.2100,     0.2296,     0.4221
    0.395,   -0.1686,     0.2099,     0.2294,     0.4218
    0.397,   -0.1716,     0.2098,     0.2291,     0.4215
    0.399,   -0.1746,     0.2097,     0.2289,     0.4212
    0.401,   -0.1777,     0.2096,     0.2288,     0.4210
    0.403,   -0.1808,     0.2095,     0.2286,     0.4207
    0.405,   -0.1839,     0.2094,     0.2284,     0.4204
    0.407,   -0.1870,     0.2094,     0.2282,     0.4202
    0.409,   -0.1901,     0.2093,     0.2280,     0.4200
    0.411,   -0.1932,     0.2093,     0.2279,     0.4198
    0.413,   -0.1964,     0.2092,     0.2277,     0.4195
    0.415,   -0.1995,     0.2091,     0.2275,     0.4193
    0.417,   -0.2027,     0.2091,     0.2274,     0.4191
    0.419,   -0.2058,     0.2091,     0.2272,     0.4189
    0.421,   -0.2090,     0.2090,     0.2271,     0.4188
    0.423,   -0.2122,     0.2090,     0.2270,     0.4186
    0.425,   -0.2154,     0.2090,     0.2268,     0.4184
    0.427,   -0.2185,     0.2089,     0.2267,     0.4183
    0.429,   -0.2217,     0.2089,     0.2266,     0.4181
    0.431,   -0.2249,     0.2089,     0.2264,     0.4180
    0.433,   -0.2281,     0.2089,     0.2263,     0.4178
    0.435,   -0.2313,     0.2088,     0.2262,     0.4177
    0.437,   -0.2345,     0.2088,     0.2261,     0.4176
    0.439,   -0.2377,     0.2088,     0.2260,     0.4175
    0.441,   -0.2409,     0.2088,     0.2259,     0.4173
    0.443,   -0.2441,     0.2088,     0.2258,     0.4172
    0.445,   -0.2474,     0.2088,     0.2257,     0.4171
    0.447,   -0.2506,     0.2088,     0.2255,     0.4170
    0.449,   -0.2538,     0.2088,     0.2255,     0.4169
    0.451,   -0.2570,     0.2088,     0.2254,     0.4168
    0.453,   -0.2602,     0.2088,     0.2253,     0.4167
    0.455,   -0.2634,     0.2088,     0.2252,     0.4166
