Depth (m), T (deg C), thetaI (-), thetaL (-), thetaT (-)
    0.457,   -0.2666,     0.2088,     0.2251,     0.4166
    0.459,   -0.2698,     0.2088,     0.2250,     0.4165
    0.461,   -0.2730,     0.2088,     0.2249,     0.4164
    0.463,   -0.2762,     0.2088,     0.2248,     0.4163
    0.465,   -0.2794,     0.2089,     0.2247,     0.4163
    0.467,   -0.2826,     0.2089,     0.2247,     0.4162
    0.469,   -0.2858,     0.2089,     0.2246,     0.4161
    0.471,   -0.2890,     0.2089,     0.2245,     0.4161
    0.473,   -0.2921,     0.2089,     0.2244,     0.4160
    0.475,   -0.2953,     0.2089,     0.2244,     0.4160
    0.477,   -0.2985,     0.2090,     0.2243,     0.4159
    0.479,   -0.3017,     0.2090,     0.2242,     0.4159
    0.481,   -0.3048,     0.2090,     0.2242,     0.4158
    0.483,   -0.3080,     0.2090,     0.2241,     0.4158
    0.485,   -0.3111,     0.2090,     0.2240,     0.4157
    0.487,   -0.3143,     0.2091,     0.2240,     0.4157
    0.489,   -0.3174,     0.2091,     0.2239,     0.4157
    0.491,   -0.3206,     0.2091,     0.2239,     0.4156
    0.493,   -0.3237,     0.2091,     0.2238,     0.4156
    0.495,   -0.3269,     0.2092,     0.2237,     0.4156
    0.497,   -0.3300,     0.2092,     0.2237,     0.4155
    0.499,   -0.3331,     0.2092,     0.2236,     0.4155
    0.501,   -0.3362,     0.2092,     0.2236,     0.4155
    0.503,   -0.3393,     0.2093,     0.2235,     0.4154
    0.505,   -0.3425,     0.2093,     0.2235,     0.4154
    0.507,   -0.3456,     0.2093,     0.2234,     0.4154
    0.509,   -0.3487,     0.2094,     0.2234,     0.4154
    0.511,   -0.3517,     0.2094,     0.2233,     0.4153
    0.513,   -0.3548,     0.2094,     0.2233,     0.4153
    0.515,   -0.3579,     0.2094,     0.2232,     0.4153
    0.517,   -0.3610,     0.2095,     0.2232,     0.4153
    0.519,   -0.3641,     0.2095,     0.2231,     0.4152
    0.521,   -0.3671,     0.2095,     0.2231,     0.4152
    0.523,   -0.3702,     0.2096,     0.2231,     0.4152
    0.525,   -0.3732,     0.2096,     0.2230,     0.4152
    0.527,   -0.3763,     0.2096,     0.2230,     0.4152
    0.529,   -0.3793,     0.2096,     0.2229,     0.4152
    0.531,   -0.3823,     0.2097,     0.2229,     0.4151
    0.533,   -0.3854,     0.2097,     0.2228,     0.4151
    0.535,   -0.3884,     0.2097,     0.2228,     0.4151
    0.537,   -0.3914,     0.2097,     0.2228,     0.4151
    0.539,   -0.3944,     0.2098,     0.2227,     0.4151
    0.541,   -0.3974,     0.2098,     0.2227,     0.4151
    0.543,   -0.4004,     0.2098,     0.2227,     0.4151
    0.545,   -0.4034,     0.2099,     0.2226,     0.4151
    0.547,   -0.4064,     0.2099,     0.2226,     0.4150
    0.549,   -0.4094,     0.2099,     0.2226,     0.4150
    0.551,   -0.4124,     0.2099,     0.2225,     0.4150
    0.553,   -0.4154,     0.2100,     0.2225,     0.4150
    0.555,   -0.4183,     0.2100,     0.2225,     0.4150
    0.557,   -0.4213,     0.2100,     0.2224,     0.4150
    0.559,   -0.4242,     0.2100,     0.2224,     0.4150
    0.561,   -0.4272,     0.2101,     0.2224,     0.4150
    0.563,   -0.4301,     0.2101,     0.2223,     0.4150
    0.565,   -0.4331,     0.2101,     0.2223,     0.4150
    0.567,   -0.4360,     0.2101,     0.2223,     0.4150
    0.569,   -0.4389,     0.2102,     0.2222,     0.4150
    0.571,   -0.4419,     0.2102,     0.2222,     0.4150
    0.573,   -0.4448,     0.2102,     0.2222,     0.4149
    0.575,   -0.4477,     0.2102,     0.2222,     0.4149
    0.577,   -0.4506,     0.2103,     0.2221,     0.4149
    0.579,   -0.4535,     0.2103,     0.2221,     0.4149
    0.581,   -0.4564,     0.2103,     0.2221,     0.4149
    0.583,   -0.4593,     0.2103,     0.2220,     0.4149
    0.585,   -0.4622,     0.2104,     0.2220,     0.4149
    0.587,   -0.4651,     0.2104,     0.2220,     0.4149
    0.589,   -0.4679,     0.2104,     0.2220,     0.4149
    0.591,   -0.4708,     0.2104,     0.2219,     0.4149
    0.593,   -0.4737,     0.2104,     0.2219,     0.4149
    0.595,   -0.4766,     0.2105,     0.2219,     0.4149
    0.597,   -0.4794,     0.2105,     0.2219,     0.4149
    0.599,   -0.4823,     0.2105,     0.2218,     0.4149
    0.601,   -0.4851,     0.2105,     0.2218,     0.4149
    0.603,   -0.4880,     0.2106,     0.2218,     0.4149
    0.605,   -0.4908,     0.2106,     0.2218,     0.4149
    0.607,   -0.4936,     0.2106,     0.2218,     0.4149
    0.609,   -0.4965,     0.2106,     0.2217,     0.4149
    0.611,   -0.4993,     0.2106,     0.2217,     0.4149
    0.613,   -0.5021,     0.2107,     0.2217,     0.4149
    0.615,   -0.5049,     0.2107,     0.2217,     0.4149
    0.617,   -0.5077,     0.2107,     0.2216,     0.4149
    0.619,   -0.5106,     0.2107,     0.2216,     0.4149
    0.621,   -0.5134,     0.2107,     0.2216,     0.4149
    0.623,   -0.5162,     0.2108,     0.2216,     0.4149
    0.625,   -0.5190,     0.2108,     0.2216,     0.4149
    0.627,   -0.5217,     0.2108,     0.2215,     0.4148
    0.629,   -0.5245,     0.2108,     0.2215,     0.4148
    0.631,   -0.5273,     0.2108,     0.2215,     0.4148
    0.633,   -0.5301,     0.2109,     0.2215,     0.4148
    0.635,   -0.5329,     0.2109,     0.2215,     0.4148
    0.637,   -0.5356,     0.2109,     0.2215,     0.4148
    0.639,   -0.5384,     0.2109,     0.2214,     0.4148
    0.641,   -0.5412,     0.2109,     0.2214,     0.4148
    0.643,   -0.5439,     0.2109,     0.2214,     0.4148
    0.645,   -0.5467,     0.2110,     0.2214,     0.4148
    0.647,   -0.5494,     0.2110,     0.2214,     0.4148
    0.649,   -0.5522,     0.2110,     0.2213,     0.4148
    0.651,   -0.5549,     0.2110,     0.2213,     0.4148
    0.653,   -0.5577,     0.2110,     0.2213,     0.4148
    0.655,   -0.5604,     0.2110,     0.2213,     0.4148
    0.657,   -0.5631,     0.2111,     0.2213,     0.4148
    0.659,   -0.5659,     0.2111,     0.2213,     0.4148
    0.661,   -0.5686,     0.2111,     0.2212,     0.4148
    0.663,   -0.5713,     0.2111,     0.2212,     0.4148
    0.665,   -0.5740,     0.2111,     0.2212,     0.4148
    0.667,   -0.5767,     0.2111,     0.2212,     0.4148
    0.669,   -0.5795,     0.2112,     0.2212,     0.4148
    0.671,   -0.5822,     0.2112,     0.2212,     0.4148
    0.673,   -0.5849,     0.2112,     0.2212,     0.4148
    0.675,   -0.5876,     0.2112,     0.2211,     0.4148
    0.677,   -0.5903,     0.2112,     0.2211,     0.4148
    0.679,   -0.5930,     0.2112,     0.2211,     0.4148
    0.681,   -0.5956,     0.2112,     0.2211,     0.4148
    0.683,   -0.5983,     0.2113,     0.2211,     0.4148
    0.685,   -0.6010,     0.2113,     0.2211,     0.4148
    0.687,   -0.6037,     0.2113,     0.2211,     0.4148
    0.689,   -0.6064,     0.2113,     0.2210,     0.4148
    0.691,   -0.6091,     0.2113,     0.2210,     0.4148
    0.693,   -0.6117,     0.2113,     0.2210,     0.4148
    0.695,   -0.6144,     0.2113,     0.2210,     0.4148
    0.697,   -0.6171,     0.2114,     0.2210,     0.4148
    0.699,   -0.6197,     0.2114,     0.2210,     0.4148
    0.701,   -0.6224,     0.2114,     0.2210,     0.4148
    0.703,   -0.6250,     0.2114,     0.2209,     0.4148
    0.705,   -0.6277,     0.2114,     0.2209,     0.4148
    0.707,   -0.6303,     0.2114,     0.2209,     0.4148
    0.709,   -0.6330,     0.2114,     0.2209,     0.4148
    0.711,   -0.6356,     0.2114,     0.2209,     0.4148
    0.713,   -0.6383,     0.2115,     0.2209,     0.4148
    0.715,   -0.6409,     0.2115,     0.2209,     0.4148
    0.717,   -0.6436,     0.2115,     0.2209,     0.4148
    0.719,   -0.6462,     0.2115,     0.2208,     0.4148
    0.721,   -0.6488,     0.2115,     0.2208,     0.4148
    0.723,   -0.6515,     0.2115,     0.2208,     0.4148
    0.725,   -0.6541,     0.2115,     0.2208,     0.4148
    0.727,   -0.6567,     0.2115,     0.2208,     0.4148
    0.729,   -0.6593,     0.2116,     0.2208,     0.4148
    0.731,   -0.6619,     0.2116,     0.2208,     0.4148
    0.733,   -0.6646,     0.2116,     0.2208,     0.4148
    0.735,   -0.6672,     0.2116,     0.2208,     0.4148
    0.737,   -0.6698,     0.2116,     0.2207,     0.4148
    0.739,   -0.6724,     0.2116,     0.2207,     0.4148
    0.741,   -0.6750,     0.2116,     0.2207,     0.4148
    0.743,   -0.6776,     0.2116,     0.2207,     0.4148
    0.745,   -0.6802,     0.2116,     0.2207,     0.4148
    0.747,   -0.6828,     0.2117,     0.2207,     0.4148
    0.749,   -0.6854,     0.2117,     0.2207,     0.4148
    0.751,   -0.6880,     0.2117,     0.2207,     0.4148
    0.753,   -0.6906,     0.2117,     0.2207,     0.4148
    0.755,   -0.6932,     0.2117,     0.2206,     0.4148
    0.757,   -0.6958,     0.2117,     0.2206,     0.4148
    0.759,   -0.6984,     0.2117,     0.2206,     0.4148
    0.761,   -0.7009,     0.2117,     0.2206,     0.4148
    0.763,   -0.7035,     0.2117,     0.2206,     0.4148
    0.765,   -0.7061,     0.2117,     0.2206,     0.4148
    0.767,   -0.7087,     0.2118,     0.2206,     0.4148
    0.769,   -0.7113,     0.2118,     0.2206,     0.4148
    0.771,   -0.7138,     0.2118,     0.2206,     0.4148
    0.773,   -0.7164,     0.2118,     0.2206,     0.4148
    0.775,   -0.7190,     0.2118,     0.2205,     0.4148
    0.777,   -0.7215,     0.2118,     0.2205,     0.4148
    0.779,   -0.7241,     0.2118,     0.2205,     0.4148
    0.781,   -0.7267,     0.2118,     0.2205,     0.4148
    0.783,   -0.7292,     0.2118,     0.2205,     0.4148
    0.785,   -0.7318,     0.2118,     0.2205,     0.4148
    0.787,   -0.7343,     0.2119,     0.2205,     0.4148
    0.789,   -0.7369,     0.2119,     0.2205,     0.4148
    0.791,   -0.7394,     0.2119,     0.2205,     0.4148
    0.793,   -0.7420,     0.2119,     0.2205,     0.4148
    0.795,   -0.7445,     0.2119,     0.2205,     0.4148
    0.797,   -0.7471,     0.2119,     0.2205,     0.4148
    0.799,   -0.7496,     0.2119,     0.2204,     0.4148
    0.801,   -0.7522,     0.2119,     0.2204,     0.4148
    0.803,   -0.7547,     0.2119,     0.2204,     0.4148
    0.805,   -0.7573,     0.2119,     0.2204,     0.4148
    0.807,   -0.7598,     0.2119,     0.2204,     0.4148
    0.809,   -0.7623,     0.2120,     0.2204,     0.4148
    0.811,   -0.7649,     0.2120,     0.2204,     0.4148
    0.813,   -0.7674,     0.2120,     0.2204,     0.4148
    0.815,   -0.7700,     0.2120,     0.2204,     0.4148
    0.817,   -0.7725,     0.2120,     0.2204,     0.4148
    0.819,   -0.7750,     0.2120,     0.2204,     0.4148
    0.821,   -0.7775,     0.2120,     0.2204,     0.4148
    0.823,   -0.7801,     0.2120,     0.2203,     0.4148
    0.825,   -0.7826,     0.2120,     0.2203,     0.4148
    0.827,   -0.7851,     0.2120,     0.2203,     0.4148
    0.829,   -0.7876,     0.2120,     0.2203,     0.4148
    0.831,   -0.7902,     0.2120,     0.2203,     0.4148
    0.833,   -0.7927,     0.2120,     0.2203,     0.4148
    0.835,   -0.7952,     0.2121,     0.2203,     0.4148
    0.837,   -0.7977,     0.2121,     0.2203,     0.4148
    0.839,   -0.8002,     0.2121,     0.2203,     0.4148
    0.841,   -0.8027,     0.2121,     0.2203,     0.4148
    0.843,   -0.8053,     0.2121,     0.2203,     0.4148
    0.845,   -0.8078,     0.2121,     0.2203,     0.4148
    0.847,   -0.8103,     0.2121,     0.2203,     0.4148
    0.849,   -0.8128,     0.2121,     0.2202,     0.4148
    0.851,   -0.8153,     0.2121,     0.2202,     0.4148
    0.853,   -0.8178,     0.2121,     0.2202,     0.4148
    0.855,   -0.8203,     0.2121,     0.2202,     0.4148
    0.857,   -0.8228,     0.2121,     0.2202,     0.4148
    0.859,   -0.8253,     0.2121,     0.2202,     0.4148
    0.861,   -0.8278,     0.2122,     0.2202,     0.4148
    0.863,   -0.8303,     0.2122,     0.2202,     0.4148
    0.865,   -0.8328,     0.2122,     0.2202,     0.4147
    0.867,   -0.8353,     0.2122,     0.2202,     0.4147
    0.869,   -0.8378,     0.2122,     0.2202,     0.4147
    0.871,   -0.8403,     0.2122,     0.2202,     0.4147
    0.873,   -0.8428,     0.2122,     0.2202,     0.4147
    0.875,   -0.8453,     0.2122,     0.2202,     0.4147
    0.877,   -0.8478,     0.2122,     0.2202,     0.4147
    0.879,   -0.8503,     0.2122,     0.2201,     0.4147
    0.881,   -0.8528,     0.2122,     0.2201,     0.4147
    0.883,   -0.8553,     0.2122,     0.2201,     0.4147
    0.885,   -0.8578,     0.2122,     0.2201,     0.4147
    0.887,   -0.8603,     0.2122,     0.2201,     0.4147
    0.889,   -0.8627,     0.2122,     0.2201,     0.4147
    0.891,   -0.8652,     0.2123,     0.2201,     0.4147
    0.893,   -0.8677,     0.2123,     0.2201,     0.4147
    0.895,   -0.8702,     0.2123,     0.2201,     0.4147
    0.897,   -0.8727,     0.2123,     0.2201,     0.4147
    0.899,   -0.8752,     0.2123,     0.2201,     0.4147
    0.901,   -0.8777,     0.2123,     0.2201,     0.4147
    0.903,   -0.8801,     0.2123,     0.2201,     0.4147
    0.905,   -0.8826,     0.2123,     0.2201,     0.4147
    0.907,   -0.8851,     0.2123,     0.2201,     0.4147
    0.909,   -0.8876,     0.2123,     0.2201,     0.4147
    0.911,   -0.8901,     0.2123,     0.2200,     0.4147
    0.913,   -0.8925,     0.2123,     0.2200,     0.4147
    0.915,   -0.8950,     0.2123,     0.2200,     0.4147
    0.917,   -0.8975,     0.2123,     0.2200,     0.4147
    0.919,   -0.9000,     0.2123,     0.2200,     0.4147
    0.921,   -0.9025,     0.2124,     0.2200,     0.4147
    0.923,   -0.9049,     0.2124,     0.2200,     0.4147
    0.925,   -0.9074,     0.2124,     0.2200,     0.4147
    0.927,   -0.9099,     0.2124,     0.2200,     0.4147
