Depth (m), T (deg C), thetaI (-), thetaL (-), thetaT (-)
    0.977,   -0.9739,     0.2125,     0.2199,     0.4147
    0.979,   -0.9762,     0.2125,     0.2199,     0.4147
    0.981,   -0.9785,     0.2125,     0.2199,     0.4147
    0.983,   -0.9807,     0.2125,     0.2199,     0.4147
    0.985,   -0.9830,     0.2125,     0.2198,     0.4147
    0.987,   -0.9853,     0.2125,     0.2198,     0.4147
    0.989,   -0.9875,     0.2125,     0.2198,     0.4147
    0.991,   -0.9898,     0.2125,     0.2198,     0.4147
    0.993,   -0.9921,     0.2125,     0.2198,     0.4147
    0.995,   -0.9943,     0.2125,     0.2198,     0.4147
    0.997,   -0.9966,     0.2125,     0.2198,     0.4147
    0.999,   -0.9989,     0.2125,     0.2198,     0.4147
