Time (d),      jTA (*),      jTC (*),      jBA (*),      jBC (*),      duL (*),      duS (*) * all units are kJ/m2/d
    0.01,         0.00,     10545.42,        -0.00,        -0.00,      5540.18,      5004.36,
    0.02,         0.00,      4592.06,        -0.00,        -0.00,      2440.29,      2151.41,
    0.03,         0.00,      3351.75,        -0.00,         0.00,      1694.90,      1656.54,
    0.04,         0.00,      2673.62,        -0.00,         0.00,      1275.17,      1398.11,
    0.05,         0.00,      2232.75,        -0.00,         0.00,      1710.28,      1232.40,
    0.06,         0.00,      1499.98,        -0.00,         0.00,       256.85,      1118.31,
    0.07,         0.00,      1283.53,        -0.00,         0.00,      -273.41,      1014.89,
    0.08,         0.00,      1261.36,        -0.00,         0.00,       275.35,       942.20,
    0.09,         0.00,      1219.28,        -0.00,        -0.00,       334.39,       884.72,
    0.10,         0.00,      1175.83,        -0.00,         0.00,       337.90,       837.78,
    0.11,         0.00,      1133.29,        -0.00,         0.00,       334.74,       798.39,
    0.12,         0.00,      1092.52,        -0.00,        -0.00,       327.75,       764.62,
    0.13,         0.00,      1053.84,        -0.00,         0.00,       318.51,       735.19,
    0.14,         0.00,      1017.35,        -0.00,        -0.00,       308.00,       709.21,
    0.15,         0.00,       982.99,        -0.00,        -0.00,       296.84,       686.02,
    0.16,         0.00,       950.68,        -0.00,         0.00,       328.93,       665.16,
    0.17,         0.00,       920.24,        -0.00,        -0.00,       471.47,       646.25,
    0.18,         0.00,       891.50,        -0.00,         0.00,       449.55,       628.95,
    0.19,         0.00,       864.43,        -0.00,         0.00,       428.88,       613.07,
    0.20,         0.00,       838.92,        -0.00,         0.00,       409.45,       598.41,
    0.21,         0.00,       814.86,        -0.00,         0.00,       391.18,       584.84,
    0.22,         0.00,       792.17,        -0.00,         0.00,       374.02,       572.21,
    0.23,         0.00,       770.74,        -0.00,         0.00,       357.90,       560.41,
    0.24,         0.00,       750.49,        -0.00,         0.00,       342.77,       549.37,
    0.25,         0.00,       731.35,        -0.00,         0.00,       387.82,       539.02,
    0.26,         0.00,       713.21,        -0.00,         0.00,       403.46,       529.26,
    0.27,         0.00,       696.03,        -0.00,         0.00,       384.91,       520.04,
    0.28,         0.00,       679.75,        -0.00,         0.00,       367.71,       511.32,
    0.29,         0.00,       664.30,        -0.00,         0.00,       351.74,       503.06,
    0.30,         0.00,       649.64,        -0.00,         0.00,       336.88,       495.21,
    0.31,         0.00,       635.71,        -0.00,         0.00,       323.04,       487.75,
    0.32,         0.00,       622.47,        -0.00,         0.00,       310.12,       480.64,
    0.33,         0.00,       609.87,        -0.00,         0.00,       298.04,       473.86,
    0.34,         0.00,       597.87,        -0.00,         0.00,       286.74,       467.37,
    0.35,         0.00,       586.44,        -0.00,         0.00,       276.13,       461.17,
    0.36,         0.00,       575.54,        -0.00,         0.00,       266.18,       455.23,
    0.37,         0.00,       510.60,        -0.00,         0.00,         0.47,       453.34,
    0.38,         0.00,       459.46,        -0.00,         0.00,      -262.81,       443.51,
