Time (d),      jTA (*),      jTC (*),      jBA (*),      jBC (*),      duL (*),      duS (*) * all units are kJ/m2/d
    0.01,         0.00,     10359.36,        -0.00,         0.00,      5447.83,      4910.70,
    0.02,         0.00,      4485.49,        -0.00,         0.00,      2430.53,      2054.63,
    0.03,         0.00,      3440.28,        -0.00,        -0.00,      1854.44,      1585.53,
    0.04,         0.00,      2842.93,        -0.00,         0.00,      1507.78,      1334.85,
    0.05,         0.00,      2464.11,        -0.00,        -0.00,      1288.30,      1175.60,
    0.06,         0.00,      2211.84,        -0.00,         0.00,      1147.04,      1064.59,
    0.07,         0.00,      2027.29,        -0.00,         0.00,      1045.61,       981.46,
    0.08,         0.00,      1882.39,        -0.00,         0.00,       966.24,       915.95,
    0.09,         0.00,      1761.63,        -0.00,         0.00,       899.21,       862.25,
    0.10,         0.00,      1655.93,        -0.00,         0.00,       838.85,       816.92,
    0.11,         0.00,      1561.02,        -0.00,         0.00,       782.93,       777.94,
    0.12,         0.00,      1476.03,        -0.00,         0.00,       731.80,       744.08,
    0.13,         0.00,      1401.11,        -0.00,        -0.00,       686.50,       714.46,
    0.14,         0.00,      1335.76,        -0.00,        -0.00,       647.30,       688.32,
    0.15,         0.00,      1278.53,        -0.00,        -0.00,       613.40,       665.00,
    0.16,         0.00,      1227.63,        -0.00,        -0.00,       583.51,       643.99,
    0.17,         0.00,      1181.51,        -0.00,        -0.00,       556.49,       624.90,
    0.18,         0.00,      1139.12,        -0.00,         0.00,       531.56,       607.44,
    0.19,         0.00,      1099.87,        -0.00,         0.00,       508.34,       591.42,
    0.20,         0.00,      1063.50,        -0.00,         0.00,       486.74,       576.65,
    0.21,         0.00,      1029.83,        -0.00,         0.00,       466.73,       563.00,
    0.22,         0.00,       998.66,        -0.00,         0.00,       448.24,       550.32,
    0.23,         0.00,       969.73,        -0.00,         0.00,       431.12,       538.51,
    0.24,         0.00,       942.74,        -0.00,         0.00,       415.19,       527.45,
    0.25,         0.00,       917.44,        -0.00,         0.00,       400.28,       517.07,
    0.26,         0.00,       893.65,        -0.00,         0.00,       386.24,       507.31,
    0.27,         0.00,       871.22,        -0.00,         0.00,       373.01,       498.12,
    0.28,         0.00,       850.06,        -0.00,         0.00,       360.53,       489.44,
    0.29,         0.00,       830.07,        -0.00,         0.00,       348.76,       481.22,
    0.30,         0.00,       811.16,        -0.00,         0.00,       337.65,       473.43,
    0.31,         0.00,       793.25,        -0.00,         0.00,       327.14,       466.02,
    0.32,         0.00,       776.24,        -0.00,         0.00,       317.18,       458.97,
    0.33,         0.00,       760.05,        -0.00,         0.00,       307.72,       452.25,
    0.34,         0.00,       744.63,        -0.00,         0.00,       298.71,       445.84,
    0.35,         0.00,       729.93,        -0.00,         0.00,       290.14,       439.71,
    0.36,         0.00,       715.90,        -0.00,         0.00,       281.98,       433.84,
    0.37,         0.00,       702.49,        -0.00,         0.00,       274.19,       428.22,
    0.38,         0.00,       689.67,        -0.00,         0.00,       266.77,       422.82,
    0.39,         0.00,       677.39,        -0.00,         0.00,       259.67,       417.64,
    0.40,         0.00,       665.62,        -0.00,         0.00,       252.88,       412.66,
    0.41,         0.00,       654.32,        -0.00,         0.00,       246.38,       407.87,
    0.42,         0.00,       643.47,        -0.00,         0.00,       240.15,       403.25,
    0.43,         0.00,       633.05,        -0.00,         0.00,       234.18,       398.80,
    0.44,         0.00,       623.03,        -0.00,         0.00,       228.45,       394.50,
    0.45,         0.00,       613.38,        -0.00,         0.00,       222.95,       390.35,
    0.46,         0.00,       604.09,        -0.00,         0.00,       217.67,       386.35,
    0.47,         0.00,       595.14,        -0.00,         0.00,       212.60,       382.47,
    0.48,         0.00,       586.50,        -0.00,         0.00,       207.71,       378.71,
    0.49,         0.00,       578.16,        -0.00,         0.00,       203.01,       375.08,
    0.50,         0.00,       570.11,        -0.00,         0.00,       198.48,       371.56,
    0.51,         0.00,       562.34,        -0.00,         0.00,       194.12,       368.14,
    0.52,         0.00,       554.82,        -0.00,         0.00,       189.92,       364.83,
    0.53,         0.00,       547.55,        -0.00,         0.01,       185.87,       361.61,
    0.54,         0.00,       540.51,        -0.00,         0.01,       181.96,       358.48,
    0.55,         0.00,       533.70,        -0.00,         0.01,       178.18,       355.44,
    0.56,         0.00,       527.09,        -0.00,         0.01,       174.53,       352.49,
    0.57,         0.00,       520.70,        -0.00,         0.01,       171.01,       349.61,
    0.58,         0.00,       514.49,        -0.00,         0.02,       167.60,       346.81,
    0.59,         0.00,       508.48,        -0.00,         0.02,       164.31,       344.09,
    0.60,         0.00,       502.64,        -0.00,         0.02,       161.12,       341.43,
    0.61,         0.00,       496.97,        -0.00,         0.03,       158.04,       338.84,
    0.62,         0.00,       491.46,        -0.00,         0.03,       155.05,       336.31,
    0.63,         0.00,       486.11,        -0.00,         0.03,       152.16,       333.85,
    0.64,         0.00,       480.90,        -0.00,         0.04,       149.35,       331.45,
    0.65,         0.00,       475.85,        -0.00,         0.05,       146.64,       329.10,
    0.66,         0.00,       470.93,        -0.00,         0.05,       144.00,       326.81,
    0.67,         0.00,       466.14,        -0.00,         0.06,       141.45,       324.57,
    0.68,         0.00,       461.48,        -0.00,         0.07,       138.97,       322.38,
    0.69,         0.00,       456.94,        -0.00,         0.08,       136.56,       320.23,
    0.70,         0.00,       452.52,        -0.00,         0.09,       134.23,       318.14,
    0.71,         0.00,       448.21,        -0.00,         0.10,       131.96,       316.09,
    0.72,         0.00,       444.01,        -0.00,         0.11,       129.76,       314.08,
    0.73,         0.00,       439.92,        -0.00,         0.12,       127.62,       312.12,
    0.74,         0.00,       435.93,        -0.00,         0.14,       125.54,       310.19,
    0.75,         0.00,       432.03,        -0.00,         0.16,       123.51,       308.31,
    0.76,         0.00,       428.23,        -0.00,         0.17,       121.55,       306.46,
    0.77,         0.00,       424.53,        -0.00,         0.19,       119.63,       304.65,
    0.78,         0.00,       420.91,        -0.00,         0.21,       117.77,       302.87,
    0.79,         0.00,       417.37,        -0.00,         0.23,       115.95,       301.13,
    0.80,         0.00,       413.92,        -0.00,         0.25,       114.19,       299.41,
    0.81,         0.00,       410.54,        -0.00,         0.28,       112.47,       297.74,
    0.82,         0.00,       407.25,        -0.00,         0.30,       110.81,       296.09,
    0.83,         0.00,       404.02,        -0.00,         0.33,       109.17,       294.47,
    0.84,         0.00,       400.87,        -0.00,         0.36,       107.58,       292.88,
    0.85,         0.00,       397.79,        -0.00,         0.39,       106.03,       291.31,
    0.86,         0.00,       394.78,        -0.00,         0.42,       104.52,       289.78,
    0.87,         0.00,       391.83,        -0.00,         0.46,       103.05,       288.27,
    0.88,         0.00,       388.94,        -0.00,         0.49,       101.61,       286.78,
    0.89,         0.00,       386.12,        -0.00,         0.53,       100.21,       285.32,
    0.90,         0.00,       383.36,        -0.00,         0.57,        98.85,       283.88,
    0.91,         0.00,       380.65,        -0.00,         0.61,        97.52,       282.47,
    0.92,         0.00,       378.01,        -0.00,         0.66,        96.22,       281.08,
    0.93,         0.00,       375.41,        -0.00,         0.71,        94.95,       279.71,
    0.94,         0.00,       372.87,        -0.00,         0.75,        93.71,       278.36,
    0.95,         0.00,       370.39,        -0.00,         0.80,        92.50,       277.03,
    0.96,         0.00,       367.95,        -0.00,         0.86,        91.32,       275.72,
    0.97,         0.00,       365.56,        -0.00,         0.91,        90.17,       274.43,
