Time (d),      jTA (*),      jTC (*),      jBA (*),      jBC (*),      duL (*),      duS (*) * all units are kJ/m2/d
    0.98,         0.00,       363.22,        -0.00,         0.97,        89.04,       273.15,
    0.99,         0.00,       360.93,        -0.00,         1.03,        87.95,       271.90,
    1.00,         0.00,       358.68,        -0.00,         1.09,        86.87,       270.66,
    1.01,         0.00,       356.48,        -0.00,         1.16,        85.83,       269.45,
    1.02,         0.00,       354.32,        -0.00,         1.22,        84.80,       268.24,
    1.03,         0.00,       352.20,        -0.00,         1.29,        83.81,       267.06,
    1.04,         0.00,       350.13,        -0.00,         1.36,        82.83,       265.89,
    1.05,         0.00,       348.10,        -0.00,         1.44,        81.88,       264.73,
    1.06,         0.00,       346.10,        -0.00,         1.51,        80.95,       263.59,
    1.07,         0.00,       344.15,        -0.00,         1.59,        80.04,       262.47,
    1.08,         0.00,       342.23,        -0.00,         1.67,        79.15,       261.36,
    1.09,         0.00,       340.35,        -0.00,         1.76,        78.29,       260.26,
    1.10,         0.00,       338.51,        -0.00,         1.84,        77.45,       259.17,
    1.11,         0.00,       336.71,        -0.00,         1.93,        76.62,       258.10,
    1.12,         0.00,       334.94,        -0.00,         2.02,        75.82,       257.05,
    1.13,         0.00,       333.21,        -0.00,         2.11,        75.04,       256.00,
    1.14,         0.00,       331.51,        -0.00,         2.21,        74.28,       254.97,
    1.15,         0.00,       293.53,        -0.00,         2.05,        65.46,       225.98,
    1.16,         0.00,         0.02,        -0.00,         0.00,         0.00,         0.01,
    1.17,         0.00,       328.37,        -0.00,         2.40,        72.92,       253.01,
    1.18,         0.00,       326.73,        -0.00,         2.50,        72.23,       251.95,
    1.19,         0.00,       325.10,        -0.00,         2.61,        71.53,       250.91,
    1.20,         0.00,       323.47,        -0.00,         2.71,        70.84,       249.87,
    1.21,         0.00,       321.85,        -0.00,         2.82,        70.14,       248.84,
    1.22,         0.00,       320.25,        -0.00,         2.94,        69.46,       247.81,
    1.23,         0.00,       318.66,        -0.00,         3.05,        68.78,       246.78,
    1.24,         0.00,       317.08,        -0.00,         3.17,        68.11,       245.75,
    1.25,         0.00,       315.52,        -0.00,         3.29,        67.46,       244.73,
    1.26,         0.00,       313.98,        -0.00,         3.41,        66.81,       243.71,
    1.27,         0.00,       312.44,        -0.00,         3.54,        66.17,       242.69,
    1.28,         0.00,       310.93,        -0.00,         3.67,        65.54,       241.68,
    1.29,         0.00,       309.43,        -0.00,         3.80,        64.92,       240.67,
    1.30,         0.00,       307.95,        -0.00,         3.93,        64.31,       239.66,
    1.31,         0.00,       306.48,        -0.00,         4.06,        63.71,       238.66,
    1.32,         0.00,       305.03,        -0.00,         4.20,        63.13,       237.66,
    1.33,         0.00,       303.59,        -0.00,         4.34,        62.54,       236.66,
    1.34,         0.00,       302.17,        -0.00,         4.48,        61.98,       235.67,
    1.35,         0.00,       300.77,        -0.00,         4.62,        61.41,       234.68,
    1.36,         0.00,       299.38,        -0.00,         4.77,        60.86,       233.70,
    1.37,         0.00,       298.00,        -0.00,         4.92,        60.32,       232.72,
    1.38,         0.00,       296.65,        -0.00,         5.07,        59.79,       231.75,
    1.39,         0.00,       295.30,        -0.00,         5.22,        59.26,       230.78,
    1.40,         0.00,       293.97,        -0.00,         5.37,        58.74,       229.82,
    1.41,         0.00,       292.66,        -0.00,         5.53,        58.23,       228.86,
    1.42,         0.00,       291.36,        -0.00,         5.69,        57.73,       227.90,
    1.43,         0.00,       290.08,        -0.00,         5.85,        57.24,       226.95,
    1.44,         0.00,       288.81,        -0.00,         6.01,        56.75,       226.00,
    1.45,         0.00,       287.55,        -0.00,         6.18,        56.27,       225.06,
    1.46,         0.00,       286.31,        -0.00,         6.34,        55.81,       224.12,
    1.47,         0.00,       285.08,        -0.00,         6.51,        55.34,       223.19,
    1.48,         0.00,       283.87,        -0.00,         6.68,        54.88,       222.26,
    1.49,         0.00,       282.67,        -0.00,         6.86,        54.43,       221.33,
    1.50,         0.00,       281.48,        -0.00,         7.03,        53.99,       220.41,
    1.51,         0.00,       280.30,        -0.00,         7.21,        53.56,       219.49,
    1.52,         0.00,       279.14,        -0.00,         7.39,        53.13,       218.58,
    1.53,         0.00,       277.99,        -0.00,         7.57,        52.70,       217.68,
    1.54,         0.00,       276.85,        -0.00,         7.75,        52.29,       216.77,
    1.55,         0.00,       275.73,        -0.00,         7.93,        51.88,       215.87,
    1.56,         0.00,       274.61,        -0.00,         8.12,        51.47,       214.98,
    1.57,         0.00,       273.51,        -0.00,         8.31,        51.07,       214.09,
    1.58,         0.00,       272.42,        -0.00,         8.50,        50.68,       213.20,
    1.59,         0.00,       271.34,        -0.00,         8.69,        50.30,       212.32,
    1.60,         0.00,       270.28,        -0.00,         8.88,        49.91,       211.44,
    1.61,         0.00,       269.22,        -0.00,         9.07,        49.53,       210.57,
    1.62,         0.00,       268.17,        -0.00,         9.27,        49.17,       209.70,
    1.63,         0.00,       267.14,        -0.00,         9.47,        48.80,       208.84,
    1.64,         0.00,       266.12,        -0.00,         9.67,        48.44,       207.97,
    1.65,         0.00,       265.10,        -0.00,         9.87,        48.08,       207.12,
    1.66,         0.00,       264.10,        -0.00,        10.07,        47.73,       206.26,
    1.67,         0.00,       263.11,        -0.00,        10.27,        47.38,       205.42,
    1.68,         0.00,       262.13,        -0.00,        10.48,        47.04,       204.57,
    1.69,         0.00,       261.15,        -0.00,        10.68,        46.70,       203.73,
    1.70,         0.00,       260.19,        -0.00,        10.89,        46.37,       202.89,
    1.71,         0.00,       259.24,        -0.00,        11.10,        46.04,       202.06,
    1.72,         0.00,       258.29,        -0.00,        11.31,        45.71,       201.23,
    1.73,         0.00,       257.36,        -0.00,        11.52,        45.39,       200.41,
    1.74,         0.00,       256.43,        -0.00,        11.74,        45.08,       199.58,
    1.75,         0.00,       255.52,        -0.00,        11.95,        44.76,       198.77,
    1.76,         0.00,       254.61,        -0.00,        12.16,        44.46,       197.95,
    1.77,         0.00,       253.71,        -0.00,        12.38,        44.15,       197.14,
    1.78,         0.00,       252.82,        -0.00,        12.60,        43.85,       196.34,
    1.79,         0.00,       251.94,        -0.00,        12.82,        43.55,       195.54,
    1.80,         0.00,       251.07,        -0.00,        13.04,        43.26,       194.74,
    1.81,         0.00,       250.21,        -0.00,        13.26,        42.97,       193.94,
    1.82,         0.00,       249.35,        -0.00,        13.48,        42.68,       193.15,
    1.83,         0.00,       248.50,        -0.00,        13.70,        42.40,       192.36,
    1.84,         0.00,       247.66,        -0.00,        13.93,        42.12,       191.58,
    1.85,         0.00,       246.83,        -0.00,        14.15,        41.84,       190.80,
    1.86,         0.00,       246.01,        -0.00,        14.38,        41.57,       190.02,
    1.87,         0.00,       245.19,        -0.00,        14.61,        41.30,       189.25,
    1.88,         0.00,       244.38,        -0.00,        14.84,        41.03,       188.48,
    1.89,         0.00,       243.58,        -0.00,        15.06,        40.77,       187.72,
    1.90,         0.00,       242.79,        -0.00,        15.29,        40.51,       186.95,
    1.91,         0.00,       242.00,        -0.00,        15.53,        40.25,       186.20,
    1.92,         0.00,       241.23,        -0.00,        15.76,        40.00,       185.44,
    1.93,         0.00,       240.45,        -0.00,        15.99,        39.74,       184.69,
    1.94,         0.00,       239.69,        -0.00,        16.22,        39.49,       183.94,
    1.95,         0.00,       238.93,        -0.00,        16.46,        39.25,       183.20,
    1.96,         0.00,       238.18,        -0.00,        16.69,        39.00,       182.45,
    1.97,         0.00,       237.44,        -0.00,        16.93,        38.76,       181.72,
    1.98,         0.00,       236.70,        -0.00,        17.16,        38.52,       180.98,
    1.99,         0.00,       235.97,        -0.00,        17.40,        38.29,       180.25,
    2.00,         0.00,       235.25,        -0.00,        17.64,        38.06,       179.52,
    2.01,         0.00,       234.53,        -0.00,        17.88,        37.83,       178.80,
    2.02,         0.00,       233.82,        -0.00,        18.11,        37.60,       178.08,
    2.03,         0.00,       233.12,        -0.00,        18.35,        37.37,       177.36,
    2.04,         0.00,       232.42,        -0.00,        18.59,        37.15,       176.65,
    2.05,         0.00,       231.73,        -0.00,        18.83,        36.93,       175.93,
    2.06,         0.00,       231.04,        -0.00,        19.08,        36.71,       175.23,
    2.07,         0.00,       230.37,        -0.00,        19.32,        36.50,       174.52,
    2.08,         0.00,       229.69,        -0.00,        19.56,        36.28,       173.82,
    2.09,         0.00,       229.02,        -0.00,        19.80,        36.07,       173.12,
    2.10,         0.00,       228.36,        -0.00,        20.05,        35.86,       172.43,
    2.11,         0.00,       227.71,        -0.00,        20.29,        35.65,       171.74,
    2.12,         0.00,       227.06,        -0.00,        20.53,        35.45,       171.05,
    2.13,         0.00,       226.41,        -0.00,        20.78,        35.24,       170.36,
    2.14,         0.00,       225.78,        -0.00,        21.02,        35.04,       169.68,
    2.15,         0.00,       225.14,        -0.00,        21.27,        34.85,       169.00,
    2.16,         0.00,       224.51,        -0.00,        21.51,        34.65,       168.32,
    2.17,         0.00,       223.89,        -0.00,        21.76,        34.45,       167.65,
    2.18,         0.00,       223.28,        -0.00,        22.01,        34.26,       166.98,
    2.19,         0.00,       222.66,        -0.00,        22.25,        34.07,       166.31,
    2.20,         0.00,       222.06,        -0.00,        22.50,        33.88,       165.65,
    2.21,         0.00,       221.46,        -0.00,        22.75,        33.69,       164.99,
    2.22,         0.00,       220.86,        -0.00,        22.99,        33.51,       164.33,
    2.23,         0.00,       220.27,        -0.00,        23.24,        33.33,       163.67,
    2.24,         0.00,       219.68,        -0.00,        23.49,        33.14,       163.02,
    2.25,         0.00,       219.10,        -0.00,        23.74,        32.96,       162.37,
    2.26,         0.00,       218.53,        -0.00,        23.99,        32.79,       161.73,
    2.27,         0.00,       217.95,        -0.00,        24.23,        32.61,       161.08,
    2.28,         0.00,       217.39,        -0.00,        24.48,        32.44,       160.44,
    2.29,         0.00,       216.83,        -0.00,        24.73,        32.26,       159.80,
    2.30,         0.00,       216.27,        -0.00,        24.98,        32.09,       159.17,
    2.31,         0.00,       215.72,        -0.00,        25.23,        31.92,       158.54,
    2.32,         0.00,       215.17,        -0.00,        25.48,        31.75,       157.91,
    2.33,         0.00,       214.63,        -0.00,        25.73,        31.59,       157.28,
    2.34,         0.00,       214.09,        -0.00,        25.98,        31.42,       156.66,
    2.35,         0.00,       213.55,        -0.00,        26.23,        31.26,       156.04,
    2.36,         0.00,       213.02,        -0.00,        26.48,        31.10,       155.42,
    2.37,         0.00,       212.50,        -0.00,        26.73,        30.94,       154.80,
    2.38,         0.00,       211.97,        -0.00,        26.98,        30.78,       154.19,
    2.39,         0.00,       211.46,        -0.00,        27.23,        30.62,       153.58,
    2.40,         0.00,       210.94,        -0.00,        27.48,        30.46,       152.98,
    2.41,         0.00,       210.43,        -0.00,        27.73,        30.31,       152.37,
    2.42,         0.00,       209.93,        -0.00,        27.98,        30.15,       151.77,
    2.43,         0.00,       209.43,        -0.00,        28.23,        30.00,       151.17,
    2.44,         0.00,       208.93,        -0.00,        28.48,        29.85,       150.58,
    2.45,         0.00,       208.44,        -0.00,        28.73,        29.70,       149.98,
    2.46,         0.00,       207.95,        -0.00,        28.98,        29.55,       149.39,
    2.47,         0.00,       207.47,        -0.00,        29.23,        29.41,       148.80,
    2.48,         0.00,       206.98,        -0.00,        29.48,        29.26,       148.22,
    2.49,         0.00,       206.51,        -0.00,        29.73,        29.12,       147.64,
    2.50,         0.00,       206.03,        -0.00,        29.98,        28.98,       147.06,
    2.51,         0.00,       205.56,        -0.00,        30.23,        28.83,       146.48,
    2.52,         0.00,       205.10,        -0.00,        30.47,        28.69,       145.90,
    2.53,         0.00,       204.64,        -0.00,        30.72,        28.55,       145.33,
    2.54,         0.00,       204.18,        -0.00,        30.97,        28.42,       144.76,
    2.55,         0.00,       203.72,        -0.00,        31.22,        28.28,       144.19,
    2.56,         0.00,       203.27,        -0.00,        31.47,        28.14,       143.63,
    2.57,         0.00,       202.82,        -0.00,        31.72,        28.01,       143.07,
    2.58,         0.00,       202.38,        -0.00,        31.97,        27.88,       142.51,
    2.59,         0.00,       201.94,        -0.00,        32.22,        27.74,       141.95,
    2.60,         0.00,       201.50,        -0.00,        32.46,        27.61,       141.39,
    2.61,         0.00,       201.06,        -0.00,        32.71,        27.48,       140.84,
    2.62,         0.00,       200.63,        -0.00,        32.96,        27.35,       140.29,
    2.63,         0.00,       200.20,        -0.00,        33.21,        27.22,       139.74,
    2.64,         0.00,       199.78,        -0.00,        33.46,        27.10,       139.20,
    2.65,         0.00,       199.36,        -0.00,        33.70,        26.97,       138.66,
    2.66,         0.00,       198.94,        -0.00,        33.95,        26.85,       138.12,
    2.67,         0.00,       198.52,        -0.00,        34.20,        26.72,       137.58,
    2.68,         0.00,       198.11,        -0.00,        34.44,        26.60,       137.04,
    2.69,         0.00,       197.70,        -0.00,        34.69,        26.48,       136.51,
    2.70,         0.00,       197.30,        -0.00,        34.94,        26.36,       135.98,
    2.71,         0.00,       196.89,        -0.00,        35.18,        26.24,       135.45,
    2.72,         0.00,       196.49,        -0.00,        35.43,        26.12,       134.93,
    2.73,         0.00,       196.10,        -0.00,        35.67,        26.00,       134.40,
    2.74,         0.00,       195.70,        -0.00,        35.92,        25.88,       133.88,
    2.75,         0.00,       195.31,        -0.00,        36.16,        25.76,       133.36,
    2.76,         0.00,       194.93,        -0.00,        36.41,        25.65,       132.85,
    2.77,         0.00,       194.54,        -0.00,        36.65,        25.53,       132.33,
    2.78,         0.00,       194.16,        -0.00,        36.89,        25.42,       131.82,
    2.79,         0.00,       193.78,        -0.00,        37.14,        25.31,       131.31,
    2.80,         0.00,       193.40,        -0.00,        37.38,        25.20,       130.80,
    2.81,         0.00,       193.03,        -0.00,        37.62,        25.08,       130.30,
    2.82,         0.00,       192.66,        -0.00,        37.87,        24.97,       129.79,
    2.83,         0.00,       192.29,        -0.00,        38.11,        24.86,       129.29,
    2.84,         0.00,       191.92,        -0.00,        38.35,        24.75,       128.79,
    2.85,         0.00,       191.56,        -0.00,        38.59,        24.65,       128.30,
    2.86,         0.00,       191.20,        -0.00,        38.83,        24.54,       127.80,
    2.87,         0.00,       190.84,        -0.00,        39.07,        24.43,       127.31,
    2.88,         0.00,       190.49,        -0.00,        39.31,        24.33,       126.82,
    2.89,         0.00,       190.13,        -0.00,        39.55,        24.22,       126.33,
    2.90,         0.00,       189.78,        -0.00,        39.79,        24.12,       125.85,
    2.91,         0.00,       189.44,        -0.00,        40.03,        24.01,       125.36,
    2.92,         0.00,       189.09,        -0.00,        40.27,        23.91,       124.88,
    2.93,         0.00,       188.75,        -0.00,        40.51,        23.81,       124.40,
    2.94,         0.00,       188.41,        -0.00,        40.75,        23.71,       123.93,
    2.95,         0.00,       188.07,        -0.00,        40.99,        23.61,       123.45,
    2.96,         0.00,       187.73,        -0.00,        41.22,        23.51,       122.98,
    2.97,         0.00,       187.40,        -0.00,        41.46,        23.41,       122.51,
    2.98,         0.00,       187.07,        -0.00,        41.70,        23.31,       122.04,
    2.99,         0.00,       186.74,        -0.00,        41.93,        23.21,       121.57,
    3.00,         0.00,       186.41,        -0.00,        42.17,        23.11,       121.11,
    3.01,         0.00,       186.09,        -0.00,        42.41,        23.02,       120.65,
    3.02,         0.00,       185.77,        -0.00,        42.64,        22.92,       120.19,
    3.03,         0.00,       185.45,        -0.00,        42.88,        22.82,       119.73,
    3.04,         0.00,       185.13,        -0.00,        43.11,        22.73,       119.27,
    3.05,         0.00,       184.82,        -0.00,        43.34,        22.64,       118.82,
    3.06,         0.00,       184.50,        -0.00,        43.58,        22.54,       118.36,
    3.07,         0.00,       184.19,        -0.00,        43.81,        22.45,       117.91,
    3.08,         0.00,       183.89,        -0.00,        44.04,        22.36,       117.47,
    3.09,         0.00,       183.58,        -0.00,        44.27,        22.27,       117.02,
    3.10,         0.00,       183.27,        -0.00,        44.50,        22.17,       116.57,
    3.11,         0.00,       182.97,        -0.00,        44.74,        22.08,       116.13,
    3.12,         0.00,       182.67,        -0.00,        44.97,        21.99,       115.69,
    3.13,         0.00,       182.37,        -0.00,        45.20,        21.90,       115.25,
    3.14,         0.00,       182.08,        -0.00,        45.43,        21.82,       114.82,
    3.15,         0.00,       181.78,        -0.00,        45.65,        21.73,       114.38,
    3.16,         0.00,       181.49,        -0.00,        45.88,        21.64,       113.95,
    3.17,         0.00,       181.20,        -0.00,        46.11,        21.55,       113.52,
    3.18,         0.00,       180.91,        -0.00,        46.34,        21.47,       113.09,
    3.19,         0.00,       180.63,        -0.00,        46.57,        21.38,       112.66,
    3.20,         0.00,       180.34,        -0.00,        46.79,        21.29,       112.24,
    3.21,         0.00,       180.06,        -0.00,        47.02,        21.21,       111.81,
    3.22,         0.00,       179.78,        -0.00,        47.25,        21.12,       111.39,
    3.23,         0.00,       179.50,        -0.00,        47.47,        21.04,       110.97,
    3.24,         0.00,       179.23,        -0.00,        47.70,        20.96,       110.55,
    3.25,         0.00,       178.95,        -0.00,        47.92,        20.87,       110.14,
    3.26,         0.00,       178.68,        -0.00,        48.14,        20.79,       109.72,
    3.27,         0.00,       178.41,        -0.00,        48.37,        20.71,       109.31,
    3.28,         0.00,       178.14,        -0.00,        48.59,        20.63,       108.90,
    3.29,         0.00,       177.87,        -0.00,        48.81,        20.55,       108.49,
    3.30,         0.00,       177.61,        -0.00,        49.03,        20.47,       108.08,
    3.31,         0.00,       177.34,        -0.00,        49.26,        20.39,       107.68,
    3.32,         0.00,       177.08,        -0.00,        49.48,        20.31,       107.28,
    3.33,         0.00,       176.82,        -0.00,        49.70,        20.23,       106.87,
    3.34,         0.00,       176.56,        -0.00,        49.92,        20.15,       106.47,
    3.35,         0.00,       176.30,        -0.00,        50.14,        20.07,       106.08,
    3.36,         0.00,       176.05,        -0.00,        50.36,        19.99,       105.68,
    3.37,         0.00,       175.79,        -0.00,        50.57,        19.91,       105.28,
    3.38,         0.00,       175.54,        -0.00,        50.79,        19.84,       104.89,
    3.39,         0.00,       175.29,        -0.00,        51.01,        19.76,       104.50,
    3.40,         0.00,       175.04,        -0.00,        51.23,        19.69,       104.11,
    3.41,         0.00,       174.79,        -0.00,        51.44,        19.61,       103.72,
    3.42,         0.00,       174.55,        -0.00,        51.66,        19.53,       103.34,
    3.43,         0.00,       174.30,        -0.00,        51.87,        19.46,       102.95,
    3.44,         0.00,       174.06,        -0.00,        52.09,        19.39,       102.57,
    3.45,         0.00,       173.82,        -0.00,        52.30,        19.31,       102.19,
    3.46,         0.00,       173.58,        -0.00,        52.52,        19.24,       101.81,
    3.47,         0.00,       173.34,        -0.00,        52.73,        19.16,       101.43,
    3.48,         0.00,       173.11,        -0.00,        52.94,        19.09,       101.06,
    3.49,         0.00,       172.87,        -0.00,        53.15,        19.02,       100.68,
    3.50,         0.00,       172.64,        -0.00,        53.37,        18.95,       100.31,
    3.51,         0.00,       172.41,        -0.00,        53.58,        18.88,        99.94,
    3.52,         0.00,       172.18,        -0.00,        53.79,        18.80,        99.57,
    3.53,         0.00,       171.95,        -0.00,        54.00,        18.73,        99.20,
    3.54,         0.00,       171.72,        -0.00,        54.21,        18.66,        98.83,
    3.55,         0.00,       171.50,        -0.00,        54.42,        18.59,        98.47,
    3.56,         0.00,       171.27,        -0.00,        54.62,        18.52,        98.11,
    3.57,         0.00,       171.05,        -0.00,        54.83,        18.45,        97.74,
    3.58,         0.00,       170.83,        -0.00,        55.04,        18.38,        97.38,
    3.59,         0.00,       170.61,        -0.00,        55.25,        18.32,        97.03,
    3.60,         0.00,       170.39,        -0.00,        55.45,        18.25,        96.67,
    3.61,         0.00,       170.17,        -0.00,        55.66,        18.18,        96.31,
    3.62,         0.00,       169.95,        -0.00,        55.86,        18.11,        95.96,
    3.63,         0.00,       169.74,        -0.00,        56.07,        18.05,        95.61,
    3.64,         0.00,       169.53,        -0.00,        56.27,        17.98,        95.26,
    3.65,         0.00,       169.31,        -0.00,        56.48,        17.91,        94.91,
    3.66,         0.00,       169.10,        -0.00,        56.68,        17.85,        94.56,
    3.67,         0.00,       168.89,        -0.00,        56.88,        17.78,        94.21,
    3.68,         0.00,       168.68,        -0.00,        57.08,        17.71,        93.87,
    3.69,         0.00,       168.48,        -0.00,        57.29,        17.65,        93.53,
    3.70,         0.00,       168.27,        -0.00,        57.49,        17.58,        93.18,
    3.71,         0.00,       168.07,        -0.00,        57.69,        17.52,        92.84,
    3.72,         0.00,       167.87,        -0.00,        57.89,        17.46,        92.50,
    3.73,         0.00,       167.66,        -0.00,        58.09,        17.39,        92.17,
    3.74,         0.00,       167.46,        -0.00,        58.29,        17.33,        91.83,
