Time (d),      jTA (*),      jTC (*),      jBA (*),      jBC (*),      duL (*),      duS (*) * all units are kJ/m2/d
    0.64,        12.54,       485.70,        -0.49,         0.04,       133.37,       365.25,
    0.65,        12.54,       480.31,        -0.49,         0.05,       130.48,       362.74,
    0.66,        12.54,       475.05,        -0.49,         0.05,       127.67,       360.28,
    0.67,        12.54,       469.92,        -0.49,         0.06,       124.94,       357.88,
    0.68,        12.54,       464.92,        -0.49,         0.07,       122.28,       355.53,
    0.69,        12.54,       460.04,        -0.49,         0.08,       119.69,       353.22,
    0.70,        12.54,       455.27,        -0.49,         0.09,       117.17,       350.97,
    0.71,        12.54,       450.62,        -0.49,         0.10,       114.71,       348.76,
    0.72,        12.54,       446.07,        -0.49,         0.12,       112.31,       346.60,
    0.73,        12.54,       441.63,        -0.49,         0.13,       109.98,       344.48,
    0.74,        12.54,       437.28,        -0.49,         0.15,       107.70,       342.40,
    0.75,        12.54,       425.50,        -0.49,         0.16,        97.79,       340.50,
    0.76,        12.54,       408.93,        -0.49,         0.18,        83.34,       338.37,
    0.77,        12.54,       405.12,        -0.49,         0.20,        81.47,       336.41,
    0.78,        12.54,       401.45,        -0.49,         0.22,        79.71,       334.48,
    0.79,        12.54,       397.90,        -0.49,         0.24,        78.03,       332.59,
    0.80,        12.54,       394.46,        -0.49,         0.27,        76.42,       330.73,
    0.81,        12.54,       391.11,        -0.49,         0.29,        74.88,       328.90,
    0.82,        12.54,       387.85,        -0.49,         0.32,        73.39,       327.10,
    0.83,        12.54,       384.67,        -0.49,         0.35,        71.95,       325.34,
    0.84,        12.54,       381.57,        -0.49,         0.38,        70.56,       323.60,
    0.85,        12.54,       378.55,        -0.49,         0.41,        69.21,       321.89,
    0.86,        12.54,       375.59,        -0.49,         0.45,        67.89,       320.21,
    0.87,        12.54,       372.69,        -0.49,         0.48,        66.61,       318.56,
    0.88,        12.54,       369.85,        -0.49,         0.52,        65.37,       316.93,
    0.89,        12.54,       367.07,        -0.49,         0.56,        64.15,       315.33,
    0.90,        12.54,       364.35,        -0.49,         0.60,        62.96,       313.75,
    0.91,        12.54,       361.68,        -0.49,         0.65,        61.80,       312.19,
    0.92,        12.54,       359.06,        -0.49,         0.69,        60.67,       310.66,
    0.93,        12.54,       356.49,        -0.49,         0.74,        59.56,       309.15,
    0.94,        12.54,       353.96,        -0.49,         0.80,        58.47,       307.66,
    0.95,        12.54,       351.48,        -0.49,         0.85,        57.41,       306.19,
    0.96,        12.54,       349.05,        -0.49,         0.90,        56.37,       304.74,
    0.97,        12.54,       346.65,        -0.49,         0.96,        55.35,       303.31,
    0.98,        12.54,       344.30,        -0.49,         1.02,        54.34,       301.90,
    0.99,        12.54,       341.99,        -0.49,         1.09,        53.36,       300.51,
    1.00,        12.54,       339.71,        -0.49,         1.15,        52.40,       299.14,
    1.01,        12.54,       337.48,        -0.49,         1.22,        51.45,       297.78,
    1.02,        12.54,       335.28,        -0.49,         1.29,        50.51,       296.44,
    1.03,        12.54,       333.11,        -0.49,         1.37,        49.60,       295.11,
    1.04,        12.54,       330.98,        -0.49,         1.44,        48.70,       293.81,
    1.05,        12.54,       328.88,        -0.49,         1.52,        47.81,       292.51,
    1.06,        12.54,       326.81,        -0.49,         1.60,        46.94,       291.24,
    1.07,        12.54,       324.78,        -0.49,         1.69,        46.09,       289.98,
    1.08,        12.54,       322.77,        -0.49,         1.77,        45.24,       288.73,
    1.09,        12.54,       320.80,        -0.49,         1.86,        44.42,       287.49,
    1.10,        12.54,       318.85,        -0.49,         1.95,        43.60,       286.27,
    1.11,        12.54,       316.94,        -0.49,         2.05,        42.80,       285.06,
    1.12,        12.54,       315.05,        -0.49,         2.14,        42.00,       283.87,
    1.13,        12.54,       313.18,        -0.49,         2.24,        41.22,       282.69,
    1.14,        12.54,       311.35,        -0.49,         2.35,        40.45,       281.52,
    1.15,        12.54,       309.53,        -0.49,         2.45,        39.70,       280.36,
    1.16,        12.54,       307.75,        -0.49,         2.56,        38.95,       279.21,
    1.17,        12.54,       305.99,        -0.49,         2.67,        38.21,       278.08,
    1.18,        12.54,       304.25,        -0.49,         2.78,        37.49,       276.95,
    1.19,        12.54,       302.54,        -0.49,         2.90,        36.77,       275.84,
    1.20,        12.54,       300.84,        -0.49,         3.02,        36.07,       274.73,
    1.21,        12.54,       299.18,        -0.49,         3.14,        35.37,       273.64,
    1.22,        12.54,       297.53,        -0.49,         3.26,        34.68,       272.56,
    1.23,        12.54,       295.90,        -0.49,         3.39,        34.00,       271.48,
    1.24,        12.54,       294.30,        -0.49,         3.52,        33.33,       270.42,
    1.25,        12.54,       292.71,        -0.49,         3.65,        32.67,       269.37,
    1.26,        12.54,       291.15,        -0.49,         3.78,        32.02,       268.32,
    1.27,        12.54,       289.60,        -0.49,         3.92,        31.37,       267.28,
    1.28,        12.54,       288.08,        -0.49,         4.06,        30.74,       266.26,
    1.29,        12.54,       286.57,        -0.49,         4.20,        30.11,       265.24,
    1.30,        12.54,       285.08,        -0.49,         4.35,        29.49,       264.22,
    1.31,        12.54,       283.61,        -0.49,         4.50,        28.87,       263.22,
    1.32,        12.54,       282.16,        -0.49,         4.65,        28.26,       262.23,
    1.33,        12.54,       280.73,        -0.49,         4.80,        27.66,       261.24,
    1.34,        12.54,       279.31,        -0.49,         4.95,        27.07,       260.26,
    1.35,        12.54,       277.91,        -0.49,         5.11,        26.49,       259.29,
    1.36,        12.54,       276.52,        -0.49,         5.27,        25.91,       258.32,
    1.37,        12.54,       275.15,        -0.49,         5.43,        25.33,       257.36,
    1.38,        12.54,       273.80,        -0.49,         5.60,        24.77,       256.41,
    1.39,        12.54,       272.46,        -0.49,         5.76,        24.21,       255.47,
    1.40,        12.54,       271.14,        -0.49,         5.93,        23.65,       254.53,
    1.41,        12.54,       269.83,        -0.49,         6.11,        23.11,       253.60,
    1.42,        12.54,       268.54,        -0.49,         6.28,        22.56,       252.67,
    1.43,        12.54,       267.26,        -0.49,         6.46,        22.03,       251.75,
    1.44,        12.54,       266.00,        -0.49,         6.63,        21.50,       250.84,
    1.45,        12.54,       264.75,        -0.49,         6.82,        20.97,       249.94,
    1.46,        12.54,       263.51,        -0.49,         7.00,        20.45,       249.04,
    1.47,        12.54,       262.29,        -0.49,         7.18,        19.94,       248.14,
    1.48,        12.54,       261.08,        -0.49,         7.37,        19.43,       247.25,
    1.49,        12.54,       259.88,        -0.49,         7.56,        18.92,       246.37,
    1.50,        12.54,       258.69,        -0.49,         7.75,        18.42,       245.49,
    1.51,        12.54,       257.52,        -0.49,         7.95,        17.93,       244.62,
    1.52,        12.54,       256.36,        -0.49,         8.14,        17.44,       243.76,
    1.53,        12.54,       255.21,        -0.49,         8.34,        16.96,       242.89,
    1.54,        12.54,       254.08,        -0.49,         8.54,        16.48,       242.04,
    1.55,        12.54,       252.95,        -0.49,         8.74,        16.00,       241.19,
    1.56,        12.54,       251.84,        -0.49,         8.95,        15.53,       240.34,
    1.57,        12.54,       250.74,        -0.49,         9.15,        15.06,       239.50,
    1.58,        12.54,       249.65,        -0.49,         9.36,        14.60,       238.67,
    1.59,        12.54,       248.57,        -0.49,         9.57,        14.14,       237.84,
    1.60,        12.54,       247.50,        -0.49,         9.78,        13.69,       237.01,
    1.61,        12.54,       246.44,        -0.49,        10.00,        13.24,       236.19,
    1.62,        12.54,       245.40,        -0.49,        10.21,        12.79,       235.37,
    1.63,        12.54,       244.36,        -0.49,        10.43,        12.35,       234.56,
    1.64,        12.54,       243.33,        -0.49,        10.65,        11.91,       233.75,
    1.65,        12.54,       242.31,        -0.49,        10.87,        11.48,       232.95,
    1.66,        12.54,       241.31,        -0.49,        11.09,        11.05,       232.15,
    1.67,        12.54,       240.31,        -0.49,        11.31,        10.62,       231.35,
    1.68,        12.54,       239.32,        -0.49,        11.54,        10.20,       230.56,
    1.69,        12.54,       238.34,        -0.49,        11.76,         9.78,       229.78,
    1.70,        12.54,       237.37,        -0.49,        11.99,         9.36,       229.00,
    1.71,        12.54,       236.41,        -0.49,        12.22,         8.95,       228.22,
    1.72,        12.54,       235.46,        -0.49,        12.45,         8.54,       227.44,
    1.73,        12.54,       234.52,        -0.49,        12.69,         8.14,       226.67,
    1.74,        12.54,       233.58,        -0.49,        12.92,         7.74,       225.91,
    1.75,        12.54,       232.66,        -0.49,        13.16,         7.34,       225.14,
    1.76,        12.54,       231.74,        -0.49,        13.39,         6.94,       224.39,
    1.77,        12.54,       230.83,        -0.49,        13.63,         6.55,       223.63,
    1.78,        12.54,       229.93,        -0.49,        13.87,         6.16,       222.88,
    1.79,        12.54,       229.04,        -0.49,        14.11,         5.77,       222.13,
    1.80,        12.54,       228.15,        -0.49,        14.36,         5.39,       221.39,
    1.81,        12.54,       227.28,        -0.49,        14.60,         5.01,       220.65,
    1.82,        12.54,       226.41,        -0.49,        14.85,         4.63,       219.91,
    1.83,        12.54,       225.55,        -0.49,        15.09,         4.26,       219.18,
    1.84,        12.54,       224.69,        -0.49,        15.34,         3.88,       218.45,
    1.85,        12.54,       223.85,        -0.49,        15.59,         3.51,       217.73,
    1.86,        12.54,       223.01,        -0.49,        15.84,         3.15,       217.00,
    1.87,        12.54,       222.17,        -0.49,        16.09,         2.78,       216.28,
    1.88,        12.54,       221.35,        -0.49,        16.34,         2.42,       215.57,
    1.89,        12.54,       220.53,        -0.49,        16.59,         2.06,       214.86,
    1.90,        12.54,       219.72,        -0.49,        16.85,         1.71,       214.15,
    1.91,        12.54,       218.92,        -0.49,        17.10,         1.36,       213.44,
    1.92,        12.54,       218.12,        -0.49,        17.36,         1.01,       212.74,
    1.93,        12.54,       217.33,        -0.49,        17.61,         0.66,       212.04,
    1.94,        12.54,       216.54,        -0.49,        17.87,         0.31,       211.34,
    1.95,        12.54,       215.77,        -0.49,        18.13,        -0.03,       210.65,
    1.96,        12.54,       215.00,        -0.49,        18.39,        -0.37,       209.96,
    1.97,        12.54,       214.23,        -0.49,        18.65,        -0.71,       209.28,
    1.98,        12.54,       213.47,        -0.49,        18.91,        -1.05,       208.59,
    1.99,        12.54,       212.72,        -0.49,        19.17,        -1.38,       207.91,
    2.00,        12.54,       211.97,        -0.49,        19.44,        -1.71,       207.23,
    2.01,        12.54,       211.23,        -0.49,        19.70,        -2.04,       206.56,
    2.02,        12.54,       210.50,        -0.49,        19.96,        -2.37,       205.89,
    2.03,        12.54,       209.77,        -0.49,        20.23,        -2.69,       205.22,
    2.04,        12.54,       209.05,        -0.49,        20.50,        -3.02,       204.55,
    2.05,        12.54,       208.33,        -0.49,        20.76,        -3.34,       203.89,
    2.06,        12.54,       207.62,        -0.49,        21.03,        -3.66,       203.23,
    2.07,        12.54,       206.91,        -0.49,        21.30,        -3.97,       202.58,
    2.08,        12.54,       206.21,        -0.49,        21.57,        -4.29,       201.92,
    2.09,        12.54,       205.52,        -0.49,        21.84,        -4.60,       201.27,
    2.10,        12.54,       204.83,        -0.49,        22.10,        -4.91,       200.62,
    2.11,        12.54,       204.14,        -0.49,        22.37,        -5.22,       199.98,
    2.12,        12.54,       203.47,        -0.49,        22.65,        -5.53,       199.33,
    2.13,        12.54,       202.79,        -0.49,        22.92,        -5.83,       198.69,
    2.14,        12.54,       202.12,        -0.49,        23.19,        -6.14,       198.06,
    2.15,        12.54,       201.46,        -0.49,        23.46,        -6.44,       197.42,
    2.16,        12.54,       200.80,        -0.49,        23.73,        -6.74,       196.79,
    2.17,        12.54,       200.15,        -0.49,        24.01,        -7.04,       196.16,
    2.18,        12.54,       199.50,        -0.49,        24.28,        -7.33,       195.54,
    2.19,        12.54,       198.86,        -0.49,        24.55,        -7.62,       194.91,
    2.20,        12.54,       198.22,        -0.49,        24.83,        -7.92,       194.29,
    2.21,        12.54,       197.58,        -0.49,        25.10,        -8.21,       193.67,
    2.22,        12.54,       196.95,        -0.49,        25.38,        -8.50,       193.06,
    2.23,        12.54,       196.33,        -0.49,        25.65,        -8.78,       192.44,
    2.24,        12.54,       195.71,        -0.49,        25.93,        -9.07,       191.83,
    2.25,        12.54,       195.09,        -0.49,        26.21,        -9.35,       191.22,
    2.26,        12.54,       194.48,        -0.49,        26.48,        -9.63,       190.62,
    2.27,        12.54,       193.87,        -0.49,        26.76,        -9.92,       190.01,
    2.28,        12.54,       193.27,        -0.49,        27.04,       -10.20,       189.41,
    2.29,        12.54,       192.67,        -0.49,        27.31,       -10.47,       188.82,
    2.30,        12.54,       192.08,        -0.49,        27.59,       -10.75,       188.22,
    2.31,        12.54,       191.49,        -0.49,        27.87,       -11.02,       187.63,
    2.32,        12.54,       190.90,        -0.49,        28.15,       -11.30,       187.04,
    2.33,        12.54,       190.32,        -0.49,        28.43,       -11.57,       186.45,
    2.34,        12.54,       189.74,        -0.49,        28.70,       -11.84,       185.86,
    2.35,        12.54,       189.17,        -0.49,        28.98,       -12.11,       185.28,
    2.36,        12.54,       188.60,        -0.49,        29.26,       -12.37,       184.70,
    2.37,        12.54,       188.03,        -0.49,        29.54,       -12.64,       184.12,
    2.38,        12.54,       187.47,        -0.49,        29.82,       -12.90,       183.54,
    2.39,        12.54,       186.91,        -0.49,        30.10,       -13.17,       182.97,
    2.40,        12.54,       186.36,        -0.49,        30.38,       -13.43,       182.40,
    2.41,        12.54,       185.81,        -0.49,        30.66,       -13.69,       181.83,
    2.42,        12.54,       185.26,        -0.49,        30.94,       -13.95,       181.26,
    2.43,        12.54,       184.72,        -0.49,        31.22,       -14.21,       180.70,
    2.44,        12.54,       184.18,        -0.49,        31.50,       -14.46,       180.14,
    2.45,        12.54,       183.65,        -0.49,        31.78,       -14.72,       179.58,
    2.46,        12.54,       183.11,        -0.49,        32.05,       -14.97,       179.02,
    2.47,        12.54,       182.59,        -0.49,        32.33,       -15.22,       178.46,
    2.48,        12.54,       182.06,        -0.49,        32.61,       -15.47,       177.91,
    2.49,        12.54,       181.54,        -0.49,        32.89,       -15.72,       177.36,
    2.50,        12.54,       181.02,        -0.49,        33.17,       -15.97,       176.81,
    2.51,        12.54,       180.51,        -0.49,        33.45,       -16.22,       176.26,
    2.52,        12.54,       180.00,        -0.49,        33.73,       -16.47,       175.72,
    2.53,        12.54,       179.49,        -0.49,        34.01,       -16.71,       175.18,
    2.54,        12.54,       178.98,        -0.49,        34.29,       -16.95,       174.64,
    2.55,        12.54,       178.48,        -0.49,        34.57,       -17.20,       174.10,
    2.56,        12.54,       177.98,        -0.49,        34.85,       -17.44,       173.56,
    2.57,        12.54,       177.49,        -0.49,        35.13,       -17.68,       173.03,
    2.58,        12.54,       177.00,        -0.49,        35.41,       -17.92,       172.50,
    2.59,        12.54,       176.51,        -0.49,        35.69,       -18.16,       171.97,
    2.60,        12.54,       176.03,        -0.49,        35.97,       -18.39,       171.45,
    2.61,        12.54,       175.54,        -0.49,        36.24,       -18.63,       170.92,
    2.62,        12.54,       175.06,        -0.49,        36.52,       -18.87,       170.40,
    2.63,        12.54,       174.59,        -0.49,        36.80,       -19.10,       169.88,
    2.64,        12.54,       174.12,        -0.49,        37.08,       -19.33,       169.36,
    2.65,        12.54,       173.64,        -0.49,        37.36,       -19.56,       168.84,
    2.66,        12.54,       173.18,        -0.49,        37.63,       -19.80,       168.33,
    2.67,        12.54,       172.71,        -0.49,        37.91,       -20.03,       167.82,
    2.68,        12.54,       172.25,        -0.49,        38.19,       -20.25,       167.31,
    2.69,        12.54,       171.79,        -0.49,        38.47,       -20.48,       166.80,
    2.70,        12.54,       171.34,        -0.49,        38.74,       -20.71,       166.29,
    2.71,        12.54,       170.89,        -0.49,        39.02,       -20.94,       165.79,
    2.72,        12.54,       170.44,        -0.49,        39.30,       -21.16,       165.29,
    2.73,        12.54,       169.99,        -0.49,        39.57,       -21.38,       164.79,
    2.74,        12.54,       169.54,        -0.49,        39.85,       -21.61,       164.29,
    2.75,        12.54,       169.10,        -0.49,        40.13,       -21.83,       163.80,
    2.76,        12.54,       168.66,        -0.49,        40.40,       -22.05,       163.30,
    2.77,        12.54,       168.23,        -0.49,        40.68,       -22.27,       162.81,
    2.78,        12.54,       167.79,        -0.49,        40.95,       -22.49,       162.32,
    2.79,        12.54,       167.36,        -0.49,        41.23,       -22.71,       161.83,
    2.80,        12.54,       166.93,        -0.49,        41.50,       -22.93,       161.35,
    2.81,        12.54,       166.51,        -0.49,        41.78,       -23.14,       160.86,
    2.82,        12.54,       166.08,        -0.49,        42.05,       -23.36,       160.38,
    2.83,        12.54,       165.66,        -0.49,        42.33,       -23.57,       159.90,
    2.84,        12.54,       165.24,        -0.49,        42.60,       -23.79,       159.42,
    2.85,        12.54,       164.83,        -0.49,        42.87,       -24.00,       158.95,
    2.86,        12.54,       164.41,        -0.49,        43.15,       -24.21,       158.47,
    2.87,        12.54,       164.00,        -0.49,        43.42,       -24.42,       158.00,
    2.88,        12.54,       163.59,        -0.49,        43.69,       -24.64,       157.53,
    2.89,        12.54,       163.19,        -0.49,        43.96,       -24.85,       157.06,
    2.90,        12.54,       162.78,        -0.49,        44.24,       -25.06,       156.60,
    2.91,        12.54,       162.38,        -0.49,        44.51,       -25.26,       156.13,
    2.92,        12.54,       161.98,        -0.49,        44.78,       -25.47,       155.67,
    2.93,        12.54,       161.58,        -0.49,        45.05,       -25.68,       155.21,
    2.94,        12.54,       161.19,        -0.49,        45.32,       -25.88,       154.75,
    2.95,        12.54,       160.80,        -0.49,        45.59,       -26.09,       154.29,
    2.96,        12.54,       160.41,        -0.49,        45.86,       -26.29,       153.84,
    2.97,        12.54,       160.02,        -0.49,        46.13,       -26.50,       153.38,
    2.98,        12.54,       159.63,        -0.49,        46.40,       -26.70,       152.93,
    2.99,        12.54,       159.25,        -0.49,        46.67,       -26.90,       152.48,
    3.00,        12.54,       158.87,        -0.49,        46.93,       -27.11,       152.03,
    3.01,        12.54,       158.49,        -0.49,        47.20,       -27.31,       151.59,
    3.02,        12.54,       158.11,        -0.49,        47.47,       -27.51,       151.14,
    3.03,        12.54,       157.74,        -0.49,        47.74,       -27.71,       150.70,
    3.04,        12.54,       157.36,        -0.49,        48.00,       -27.90,       150.26,
    3.05,        12.54,       156.99,        -0.49,        48.27,       -28.10,       149.82,
    3.06,        12.54,       156.62,        -0.49,        48.53,       -28.30,       149.38,
    3.07,        12.54,       156.26,        -0.49,        48.80,       -28.50,       148.95,
    3.08,        12.54,       155.89,        -0.49,        49.07,       -28.69,       148.51,
    3.09,        12.54,       155.53,        -0.49,        49.33,       -28.89,       148.08,
    3.10,        12.54,       155.17,        -0.49,        49.59,       -29.08,       147.65,
    3.11,        12.54,       154.81,        -0.49,        49.86,       -29.28,       147.22,
    3.12,        12.54,       154.45,        -0.49,        50.12,       -29.47,       146.79,
    3.13,        12.54,       154.10,        -0.49,        50.38,       -29.66,       146.37,
    3.14,        12.54,       153.74,        -0.49,        50.65,       -29.86,       145.94,
    3.15,        12.54,       153.39,        -0.49,        50.91,       -30.05,       145.52,
    3.16,        12.54,       153.04,        -0.49,        51.17,       -30.24,       145.10,
    3.17,        12.54,       152.69,        -0.49,        51.43,       -30.43,       144.68,
    3.18,        12.54,       152.35,        -0.49,        51.69,       -30.62,       144.27,
    3.19,        12.54,       152.00,        -0.49,        51.95,       -30.81,       143.85,
    3.20,        12.54,       151.66,        -0.49,        52.21,       -31.00,       143.44,
    3.21,        12.54,       151.32,        -0.49,        52.47,       -31.18,       143.03,
    3.22,        12.54,       150.98,        -0.49,        52.73,       -31.37,       142.62,
    3.23,        12.54,       150.65,        -0.49,        52.99,       -31.56,       142.21,
    3.24,        12.54,       150.31,        -0.49,        53.25,       -31.74,       141.80,
    3.25,        12.54,       149.98,        -0.49,        53.51,       -31.93,       141.40,
    3.26,        12.54,       149.65,        -0.49,        53.76,       -32.12,       140.99,
    3.27,        12.54,       149.32,        -0.49,        54.02,       -32.30,       140.59,
    3.28,        12.54,       148.99,        -0.49,        54.28,       -32.48,       140.19,
    3.29,        12.54,       148.67,        -0.49,        54.53,       -32.67,       139.79,
    3.30,        12.54,       148.34,        -0.49,        54.79,       -32.85,       139.40,
    3.31,        12.54,       148.02,        -0.49,        55.05,       -33.03,       139.00,
    3.32,        12.54,       147.70,        -0.49,        55.30,       -33.21,       138.61,
    3.33,        12.54,       147.38,        -0.49,        55.55,       -33.39,       138.21,
    3.34,        12.54,       147.06,        -0.49,        55.81,       -33.58,       137.82,
    3.35,        12.54,       146.74,        -0.49,        56.06,       -33.76,       137.43,
    3.36,        12.54,       146.43,        -0.49,        56.31,       -33.94,       137.05,
    3.37,        12.54,       146.12,        -0.49,        56.57,       -34.11,       136.66,
    3.38,        12.54,       145.80,        -0.49,        56.82,       -34.29,       136.28,
    3.39,        12.54,       145.49,        -0.49,        57.07,       -34.47,       135.89,
    3.40,        12.54,       145.19,        -0.49,        57.32,       -34.65,       135.51,
    3.41,        12.54,       144.88,        -0.49,        57.57,       -34.83,       135.13,
    3.42,        12.54,       144.57,        -0.49,        57.82,       -35.00,       134.75,
    3.43,        12.54,       144.27,        -0.49,        58.07,       -35.18,       134.38,
    3.44,        12.54,       143.97,        -0.49,        58.32,       -35.36,       134.00,
    3.45,        12.54,       143.67,        -0.49,        58.57,       -35.53,       133.63,
    3.46,        12.54,       143.37,        -0.49,        58.82,       -35.71,       133.26,
    3.47,        12.54,       143.07,        -0.49,        59.06,       -35.88,       132.89,
    3.48,        12.54,       142.78,        -0.49,        59.31,       -36.05,       132.52,
    3.49,        12.54,       142.48,        -0.49,        59.56,       -36.23,       132.15,
    3.50,        12.54,       142.19,        -0.49,        59.80,       -36.40,       131.78,
    3.51,        12.54,       141.90,        -0.49,        60.05,       -36.57,       131.42,
    3.52,        12.54,       141.61,        -0.49,        60.29,       -36.75,       131.05,
    3.53,        12.54,       141.32,        -0.49,        60.54,       -36.92,       130.69,
    3.54,        12.54,       141.03,        -0.49,        60.78,       -37.09,       130.33,
    3.55,        12.54,       140.74,        -0.49,        61.03,       -37.26,       129.97,
    3.56,        12.54,       140.46,        -0.49,        61.27,       -37.43,       129.62,
    3.57,        12.54,       140.18,        -0.49,        61.51,       -37.60,       129.26,
    3.58,        12.54,       139.89,        -0.49,        61.75,       -37.77,       128.90,
    3.59,        12.54,       139.61,        -0.49,        62.00,       -37.94,       128.55,
    3.60,        12.54,       139.33,        -0.49,        62.24,       -38.11,       128.20,
    3.61,        12.54,       139.06,        -0.49,        62.48,       -38.27,       127.85,
    3.62,        12.54,       138.78,        -0.49,        62.72,       -38.44,       127.50,
    3.63,        12.54,       138.50,        -0.49,        62.96,       -38.61,       127.15,
    3.64,        12.54,       138.23,        -0.49,        63.20,       -38.78,       126.81,
    3.65,        12.54,       137.96,        -0.49,        63.44,       -38.94,       126.46,
    3.66,        12.54,       137.69,        -0.49,        63.67,       -39.11,       126.12,
    3.67,        12.54,       137.42,        -0.49,        63.91,       -39.28,       125.78,
    3.68,        12.54,       137.15,        -0.49,        64.15,       -39.44,       125.44,
    3.69,        12.54,       136.88,        -0.49,        64.39,       -39.61,       125.10,
