Time (d),      jTA (*),      jTC (*),      jBA (*),      jBC (*),      duL (*),      duS (*) * all units are kJ/m2/d
    0.01,        12.54,     10195.84,        -0.49,        -0.00,      5231.95,      4976.06,
    0.02,        12.54,      4516.02,        -0.49,        -0.00,      2425.44,      2103.26,
    0.03,        12.54,      3444.11,        -0.49,         0.00,      1827.18,      1629.68,
    0.04,        12.54,      2877.97,        -0.49,        -0.00,      1506.33,      1384.39,
    0.05,        12.54,      2511.88,        -0.49,        -0.00,      1297.14,      1227.52,
    0.06,        12.54,      2249.73,        -0.49,         0.00,      1146.53,      1115.99,
    0.07,        12.54,      2049.92,        -0.49,         0.00,      1031.33,      1031.40,
    0.08,        12.54,      1891.04,        -0.49,         0.00,       939.49,       964.37,
    0.09,        12.54,      1760.76,        -0.49,         0.00,       864.06,       909.54,
    0.10,        12.54,      1651.42,        -0.49,        -0.00,       800.67,       863.59,
    0.11,        12.54,      1557.94,        -0.49,         0.00,       746.44,       824.35,
    0.12,        12.54,      1476.83,        -0.49,        -0.00,       699.37,       790.32,
    0.13,        12.54,      1405.60,        -0.49,         0.00,       658.03,       760.44,
    0.14,        12.54,      1342.39,        -0.49,         0.00,       621.34,       733.93,
    0.15,        12.54,      1285.82,        -0.49,         0.00,       588.51,       710.19,
    0.16,        12.54,      1234.80,        -0.49,        -0.00,       558.92,       688.77,
    0.17,        12.54,      1188.49,        -0.49,         0.00,       532.08,       669.31,
    0.18,        12.54,      1146.22,        -0.49,         0.00,       507.59,       651.53,
    0.19,        12.54,      1107.43,        -0.49,         0.00,       485.14,       635.20,
    0.20,        12.54,      1071.68,        -0.49,         0.00,       464.46,       620.13,
    0.21,        12.54,      1038.60,        -0.49,         0.00,       445.34,       606.16,
    0.22,        12.54,      1007.87,        -0.49,         0.00,       427.61,       593.18,
    0.23,        12.54,       979.24,        -0.49,         0.00,       411.10,       581.05,
    0.24,        12.54,       952.47,        -0.49,         0.00,       395.68,       569.70,
    0.25,        12.54,       927.38,        -0.49,         0.00,       381.25,       559.05,
    0.26,        12.54,       903.80,        -0.49,         0.00,       367.71,       549.02,
    0.27,        12.54,       881.60,        -0.49,         0.00,       354.97,       539.55,
    0.28,        12.54,       860.64,        -0.49,         0.00,       342.96,       530.60,
    0.29,        12.54,       840.81,        -0.49,         0.00,       331.62,       522.12,
    0.30,        12.54,       822.03,        -0.49,         0.00,       320.89,       514.07,
    0.31,        12.54,       804.19,        -0.49,         0.00,       310.72,       506.41,
    0.32,        12.54,       787.24,        -0.49,         0.00,       301.06,       499.11,
    0.33,        12.54,       771.10,        -0.49,         0.00,       291.88,       492.15,
    0.34,        12.54,       755.70,        -0.49,         0.00,       283.14,       485.50,
    0.35,        12.54,       741.00,        -0.49,         0.00,       274.80,       479.13,
    0.36,        12.54,       726.95,        -0.49,         0.00,       266.85,       473.04,
    0.37,        12.54,       713.50,        -0.49,         0.00,       259.25,       467.19,
    0.38,        12.54,       700.61,        -0.49,         0.00,       251.98,       461.57,
    0.39,        12.54,       688.24,        -0.49,         0.00,       245.02,       456.17,
    0.40,        12.54,       676.37,        -0.49,         0.00,       238.34,       450.97,
    0.41,        12.54,       664.96,        -0.49,         0.00,       231.94,       445.96,
    0.42,        12.54,       653.98,        -0.49,         0.00,       225.79,       441.13,
    0.43,        12.54,       643.40,        -0.49,         0.00,       219.88,       436.47,
    0.44,        12.54,       633.22,        -0.49,         0.00,       214.19,       431.97,
    0.45,        12.54,       623.39,        -0.49,         0.00,       208.72,       427.62,
    0.46,        12.54,       613.91,        -0.49,         0.00,       203.44,       423.41,
    0.47,        12.54,       604.75,        -0.49,         0.00,       198.36,       419.33,
    0.48,        12.54,       595.89,        -0.49,         0.00,       193.46,       415.38,
    0.49,        12.54,       587.33,        -0.49,         0.00,       188.72,       411.55,
    0.50,        12.54,       579.04,        -0.49,         0.00,       184.15,       407.84,
    0.51,        12.54,       571.02,        -0.49,         0.00,       179.73,       404.23,
    0.52,        12.54,       563.24,        -0.49,         0.00,       175.46,       400.73,
    0.53,        12.54,       555.70,        -0.49,         0.01,       171.32,       397.33,
    0.54,        12.54,       548.39,        -0.49,         0.01,       167.32,       394.02,
    0.55,        12.54,       541.30,        -0.49,         0.01,       163.44,       390.80,
    0.56,        12.54,       534.41,        -0.49,         0.01,       159.68,       387.66,
    0.57,        12.54,       527.71,        -0.49,         0.01,       156.04,       384.61,
    0.58,        12.54,       521.21,        -0.49,         0.02,       152.51,       381.63,
    0.59,        12.54,       514.88,        -0.49,         0.02,       149.08,       378.73,
    0.60,        12.54,       508.73,        -0.49,         0.02,       145.75,       375.91,
    0.61,        12.54,       502.74,        -0.49,         0.03,       142.52,       373.15,
    0.62,        12.54,       496.91,        -0.49,         0.03,       139.38,       370.45,
    0.63,        12.54,       491.23,        -0.49,         0.04,       136.33,       367.82,
