Depth (m), T (deg C), thetaI (-), thetaL (-), thetaT (-)
    0.223,   -0.3028,     0.2070,     0.2242,     0.4141
    0.225,   -0.3049,     0.2071,     0.2242,     0.4141
    0.227,   -0.3069,     0.2072,     0.2241,     0.4141
    0.229,   -0.3090,     0.2073,     0.2241,     0.4142
    0.231,   -0.3111,     0.2073,     0.2240,     0.4142
    0.233,   -0.3131,     0.2074,     0.2240,     0.4142
    0.235,   -0.3152,     0.2075,     0.2240,     0.4142
    0.237,   -0.3172,     0.2076,     0.2239,     0.4143
    0.239,   -0.3193,     0.2076,     0.2239,     0.4143
    0.241,   -0.3213,     0.2077,     0.2238,     0.4143
    0.243,   -0.3233,     0.2078,     0.2238,     0.4143
    0.245,   -0.3254,     0.2078,     0.2238,     0.4144
    0.247,   -0.3274,     0.2079,     0.2237,     0.4144
    0.249,   -0.3294,     0.2080,     0.2237,     0.4144
    0.251,   -0.3314,     0.2080,     0.2237,     0.4144
    0.253,   -0.3335,     0.2081,     0.2236,     0.4144
    0.255,   -0.3355,     0.2081,     0.2236,     0.4145
    0.257,   -0.3375,     0.2082,     0.2236,     0.4145
    0.259,   -0.3395,     0.2083,     0.2235,     0.4145
    0.261,   -0.3415,     0.2083,     0.2235,     0.4145
    0.263,   -0.3435,     0.2084,     0.2235,     0.4145
    0.265,   -0.3455,     0.2084,     0.2234,     0.4145
    0.267,   -0.3475,     0.2085,     0.2234,     0.4146
    0.269,   -0.3495,     0.2085,     0.2234,     0.4146
    0.271,   -0.3515,     0.2086,     0.2233,     0.4146
    0.273,   -0.3535,     0.2086,     0.2233,     0.4146
    0.275,   -0.3554,     0.2087,     0.2233,     0.4146
    0.277,   -0.3574,     0.2087,     0.2232,     0.4146
    0.279,   -0.3594,     0.2088,     0.2232,     0.4146
    0.281,   -0.3614,     0.2088,     0.2232,     0.4147
    0.283,   -0.3633,     0.2088,     0.2231,     0.4147
    0.285,   -0.3653,     0.2089,     0.2231,     0.4147
    0.287,   -0.3673,     0.2089,     0.2231,     0.4147
    0.289,   -0.3692,     0.2090,     0.2231,     0.4147
    0.291,   -0.3712,     0.2090,     0.2230,     0.4147
    0.293,   -0.3732,     0.2091,     0.2230,     0.4147
    0.295,   -0.3751,     0.2091,     0.2230,     0.4147
    0.297,   -0.3771,     0.2091,     0.2230,     0.4147
    0.299,   -0.3790,     0.2092,     0.2229,     0.4147
    0.301,   -0.3810,     0.2092,     0.2229,     0.4147
    0.303,   -0.3829,     0.2092,     0.2229,     0.4148
    0.305,   -0.3848,     0.2093,     0.2229,     0.4148
    0.307,   -0.3868,     0.2093,     0.2228,     0.4148
    0.309,   -0.3887,     0.2093,     0.2228,     0.4148
    0.311,   -0.3907,     0.2094,     0.2228,     0.4148
    0.313,   -0.3926,     0.2094,     0.2228,     0.4148
    0.315,   -0.3945,     0.2094,     0.2227,     0.4148
    0.317,   -0.3965,     0.2095,     0.2227,     0.4148
    0.319,   -0.3984,     0.2095,     0.2227,     0.4148
    0.321,   -0.4003,     0.2095,     0.2227,     0.4148
    0.323,   -0.4022,     0.2096,     0.2226,     0.4148
    0.325,   -0.4042,     0.2096,     0.2226,     0.4148
    0.327,   -0.4061,     0.2096,     0.2226,     0.4148
    0.329,   -0.4080,     0.2097,     0.2226,     0.4148
    0.331,   -0.4099,     0.2097,     0.2225,     0.4148
    0.333,   -0.4118,     0.2097,     0.2225,     0.4148
    0.335,   -0.4137,     0.2097,     0.2225,     0.4148
    0.337,   -0.4157,     0.2098,     0.2225,     0.4148
    0.339,   -0.4176,     0.2098,     0.2225,     0.4148
    0.341,   -0.4195,     0.2098,     0.2224,     0.4148
    0.343,   -0.4214,     0.2098,     0.2224,     0.4148
    0.345,   -0.4233,     0.2099,     0.2224,     0.4148
    0.347,   -0.4252,     0.2099,     0.2224,     0.4148
    0.349,   -0.4271,     0.2099,     0.2224,     0.4148
    0.351,   -0.4290,     0.2099,     0.2223,     0.4149
    0.353,   -0.4309,     0.2100,     0.2223,     0.4149
    0.355,   -0.4328,     0.2100,     0.2223,     0.4149
    0.357,   -0.4347,     0.2100,     0.2223,     0.4149
    0.359,   -0.4366,     0.2100,     0.2223,     0.4149
    0.361,   -0.4385,     0.2100,     0.2222,     0.4149
    0.363,   -0.4403,     0.2101,     0.2222,     0.4149
    0.365,   -0.4422,     0.2101,     0.2222,     0.4149
    0.367,   -0.4441,     0.2101,     0.2222,     0.4149
    0.369,   -0.4460,     0.2101,     0.2222,     0.4149
    0.371,   -0.4479,     0.2102,     0.2222,     0.4149
    0.373,   -0.4498,     0.2102,     0.2221,     0.4149
    0.375,   -0.4517,     0.2102,     0.2221,     0.4149
    0.377,   -0.4535,     0.2102,     0.2221,     0.4149
    0.379,   -0.4554,     0.2102,     0.2221,     0.4149
    0.381,   -0.4573,     0.2103,     0.2221,     0.4149
    0.383,   -0.4592,     0.2103,     0.2220,     0.4149
    0.385,   -0.4610,     0.2103,     0.2220,     0.4149
    0.387,   -0.4629,     0.2103,     0.2220,     0.4149
    0.389,   -0.4648,     0.2103,     0.2220,     0.4149
    0.391,   -0.4667,     0.2103,     0.2220,     0.4149
    0.393,   -0.4685,     0.2104,     0.2220,     0.4149
    0.395,   -0.4704,     0.2104,     0.2219,     0.4149
    0.397,   -0.4723,     0.2104,     0.2219,     0.4149
    0.399,   -0.4741,     0.2104,     0.2219,     0.4149
    0.401,   -0.4760,     0.2104,     0.2219,     0.4149
    0.403,   -0.4779,     0.2104,     0.2219,     0.4149
    0.405,   -0.4797,     0.2105,     0.2219,     0.4149
    0.407,   -0.4816,     0.2105,     0.2219,     0.4149
    0.409,   -0.4834,     0.2105,     0.2218,     0.4149
    0.411,   -0.4853,     0.2105,     0.2218,     0.4149
    0.413,   -0.4872,     0.2105,     0.2218,     0.4149
    0.415,   -0.4890,     0.2105,     0.2218,     0.4149
    0.417,   -0.4909,     0.2106,     0.2218,     0.4149
    0.419,   -0.4927,     0.2106,     0.2218,     0.4149
    0.421,   -0.4946,     0.2106,     0.2217,     0.4149
    0.423,   -0.4964,     0.2106,     0.2217,     0.4149
    0.425,   -0.4983,     0.2106,     0.2217,     0.4149
    0.427,   -0.5001,     0.2106,     0.2217,     0.4149
    0.429,   -0.5020,     0.2106,     0.2217,     0.4149
    0.431,   -0.5038,     0.2107,     0.2217,     0.4149
    0.433,   -0.5057,     0.2107,     0.2217,     0.4148
    0.435,   -0.5075,     0.2107,     0.2216,     0.4148
    0.437,   -0.5094,     0.2107,     0.2216,     0.4148
    0.439,   -0.5112,     0.2107,     0.2216,     0.4148
    0.441,   -0.5131,     0.2107,     0.2216,     0.4148
    0.443,   -0.5149,     0.2107,     0.2216,     0.4148
    0.445,   -0.5167,     0.2108,     0.2216,     0.4148
    0.447,   -0.5186,     0.2108,     0.2216,     0.4148
    0.449,   -0.5204,     0.2108,     0.2216,     0.4148
    0.451,   -0.5222,     0.2108,     0.2215,     0.4148
    0.453,   -0.5241,     0.2108,     0.2215,     0.4148
    0.455,   -0.5259,     0.2108,     0.2215,     0.4148
    0.457,   -0.5277,     0.2108,     0.2215,     0.4148
    0.459,   -0.5296,     0.2108,     0.2215,     0.4148
    0.461,   -0.5314,     0.2109,     0.2215,     0.4148
    0.463,   -0.5332,     0.2109,     0.2215,     0.4148
    0.465,   -0.5351,     0.2109,     0.2215,     0.4148
    0.467,   -0.5369,     0.2109,     0.2214,     0.4148
    0.469,   -0.5387,     0.2109,     0.2214,     0.4148
    0.471,   -0.5406,     0.2109,     0.2214,     0.4148
    0.473,   -0.5424,     0.2109,     0.2214,     0.4148
    0.475,   -0.5442,     0.2109,     0.2214,     0.4148
    0.477,   -0.5460,     0.2110,     0.2214,     0.4148
    0.479,   -0.5479,     0.2110,     0.2214,     0.4148
    0.481,   -0.5497,     0.2110,     0.2214,     0.4148
    0.483,   -0.5515,     0.2110,     0.2214,     0.4148
    0.485,   -0.5533,     0.2110,     0.2213,     0.4148
    0.487,   -0.5551,     0.2110,     0.2213,     0.4148
    0.489,   -0.5570,     0.2110,     0.2213,     0.4148
    0.491,   -0.5588,     0.2110,     0.2213,     0.4148
    0.493,   -0.5606,     0.2110,     0.2213,     0.4148
    0.495,   -0.5624,     0.2111,     0.2213,     0.4148
    0.497,   -0.5642,     0.2111,     0.2213,     0.4148
    0.499,   -0.5660,     0.2111,     0.2213,     0.4148
    0.501,   -0.5678,     0.2111,     0.2213,     0.4148
    0.503,   -0.5696,     0.2111,     0.2212,     0.4148
    0.505,   -0.5715,     0.2111,     0.2212,     0.4148
    0.507,   -0.5733,     0.2111,     0.2212,     0.4148
    0.509,   -0.5751,     0.2111,     0.2212,     0.4148
    0.511,   -0.5769,     0.2111,     0.2212,     0.4148
    0.513,   -0.5787,     0.2111,     0.2212,     0.4148
    0.515,   -0.5805,     0.2112,     0.2212,     0.4148
    0.517,   -0.5823,     0.2112,     0.2212,     0.4148
    0.519,   -0.5841,     0.2112,     0.2212,     0.4148
    0.521,   -0.5859,     0.2112,     0.2211,     0.4148
    0.523,   -0.5877,     0.2112,     0.2211,     0.4148
    0.525,   -0.5895,     0.2112,     0.2211,     0.4148
    0.527,   -0.5913,     0.2112,     0.2211,     0.4148
    0.529,   -0.5931,     0.2112,     0.2211,     0.4148
    0.531,   -0.5949,     0.2112,     0.2211,     0.4148
    0.533,   -0.5967,     0.2112,     0.2211,     0.4148
    0.535,   -0.5985,     0.2113,     0.2211,     0.4148
    0.537,   -0.6003,     0.2113,     0.2211,     0.4148
    0.539,   -0.6021,     0.2113,     0.2211,     0.4148
    0.541,   -0.6039,     0.2113,     0.2211,     0.4148
    0.543,   -0.6057,     0.2113,     0.2210,     0.4148
    0.545,   -0.6075,     0.2113,     0.2210,     0.4148
    0.547,   -0.6093,     0.2113,     0.2210,     0.4148
    0.549,   -0.6111,     0.2113,     0.2210,     0.4148
    0.551,   -0.6128,     0.2113,     0.2210,     0.4148
    0.553,   -0.6146,     0.2113,     0.2210,     0.4148
    0.555,   -0.6164,     0.2113,     0.2210,     0.4148
    0.557,   -0.6182,     0.2114,     0.2210,     0.4148
    0.559,   -0.6200,     0.2114,     0.2210,     0.4148
    0.561,   -0.6218,     0.2114,     0.2210,     0.4148
    0.563,   -0.6236,     0.2114,     0.2210,     0.4148
    0.565,   -0.6253,     0.2114,     0.2209,     0.4148
    0.567,   -0.6271,     0.2114,     0.2209,     0.4148
    0.569,   -0.6289,     0.2114,     0.2209,     0.4148
    0.571,   -0.6307,     0.2114,     0.2209,     0.4148
    0.573,   -0.6325,     0.2114,     0.2209,     0.4148
    0.575,   -0.6343,     0.2114,     0.2209,     0.4148
    0.577,   -0.6360,     0.2114,     0.2209,     0.4148
    0.579,   -0.6378,     0.2114,     0.2209,     0.4148
    0.581,   -0.6396,     0.2115,     0.2209,     0.4148
    0.583,   -0.6414,     0.2115,     0.2209,     0.4148
    0.585,   -0.6431,     0.2115,     0.2209,     0.4148
    0.587,   -0.6449,     0.2115,     0.2209,     0.4148
    0.589,   -0.6467,     0.2115,     0.2208,     0.4148
    0.591,   -0.6485,     0.2115,     0.2208,     0.4148
    0.593,   -0.6502,     0.2115,     0.2208,     0.4148
    0.595,   -0.6520,     0.2115,     0.2208,     0.4148
    0.597,   -0.6538,     0.2115,     0.2208,     0.4148
    0.599,   -0.6555,     0.2115,     0.2208,     0.4148
    0.601,   -0.6573,     0.2115,     0.2208,     0.4148
    0.603,   -0.6591,     0.2115,     0.2208,     0.4148
    0.605,   -0.6608,     0.2116,     0.2208,     0.4148
    0.607,   -0.6626,     0.2116,     0.2208,     0.4148
    0.609,   -0.6644,     0.2116,     0.2208,     0.4148
    0.611,   -0.6661,     0.2116,     0.2208,     0.4148
    0.613,   -0.6679,     0.2116,     0.2208,     0.4148
    0.615,   -0.6697,     0.2116,     0.2207,     0.4148
    0.617,   -0.6714,     0.2116,     0.2207,     0.4148
    0.619,   -0.6732,     0.2116,     0.2207,     0.4148
    0.621,   -0.6750,     0.2116,     0.2207,     0.4148
    0.623,   -0.6767,     0.2116,     0.2207,     0.4148
    0.625,   -0.6785,     0.2116,     0.2207,     0.4148
    0.627,   -0.6802,     0.2116,     0.2207,     0.4148
    0.629,   -0.6820,     0.2116,     0.2207,     0.4148
    0.631,   -0.6838,     0.2117,     0.2207,     0.4148
    0.633,   -0.6855,     0.2117,     0.2207,     0.4148
    0.635,   -0.6873,     0.2117,     0.2207,     0.4148
    0.637,   -0.6890,     0.2117,     0.2207,     0.4148
    0.639,   -0.6908,     0.2117,     0.2207,     0.4148
    0.641,   -0.6925,     0.2117,     0.2207,     0.4148
    0.643,   -0.6943,     0.2117,     0.2206,     0.4148
    0.645,   -0.6960,     0.2117,     0.2206,     0.4148
    0.647,   -0.6978,     0.2117,     0.2206,     0.4148
    0.649,   -0.6995,     0.2117,     0.2206,     0.4148
    0.651,   -0.7013,     0.2117,     0.2206,     0.4148
    0.653,   -0.7031,     0.2117,     0.2206,     0.4148
    0.655,   -0.7048,     0.2117,     0.2206,     0.4148
    0.657,   -0.7065,     0.2117,     0.2206,     0.4148
    0.659,   -0.7083,     0.2117,     0.2206,     0.4148
    0.661,   -0.7100,     0.2118,     0.2206,     0.4148
    0.663,   -0.7118,     0.2118,     0.2206,     0.4148
    0.665,   -0.7135,     0.2118,     0.2206,     0.4148
    0.667,   -0.7153,     0.2118,     0.2206,     0.4148
    0.669,   -0.7170,     0.2118,     0.2206,     0.4148
    0.671,   -0.7188,     0.2118,     0.2206,     0.4148
    0.673,   -0.7205,     0.2118,     0.2205,     0.4148
    0.675,   -0.7223,     0.2118,     0.2205,     0.4148
    0.677,   -0.7240,     0.2118,     0.2205,     0.4148
    0.679,   -0.7257,     0.2118,     0.2205,     0.4148
    0.681,   -0.7275,     0.2118,     0.2205,     0.4148
    0.683,   -0.7292,     0.2118,     0.2205,     0.4148
    0.685,   -0.7310,     0.2118,     0.2205,     0.4148
    0.687,   -0.7327,     0.2118,     0.2205,     0.4148
    0.689,   -0.7344,     0.2118,     0.2205,     0.4148
    0.691,   -0.7362,     0.2119,     0.2205,     0.4148
    0.693,   -0.7379,     0.2119,     0.2205,     0.4148
    0.695,   -0.7397,     0.2119,     0.2205,     0.4148
    0.697,   -0.7414,     0.2119,     0.2205,     0.4148
    0.699,   -0.7431,     0.2119,     0.2205,     0.4148
    0.701,   -0.7449,     0.2119,     0.2205,     0.4148
    0.703,   -0.7466,     0.2119,     0.2205,     0.4148
    0.705,   -0.7483,     0.2119,     0.2204,     0.4148
    0.707,   -0.7501,     0.2119,     0.2204,     0.4148
    0.709,   -0.7518,     0.2119,     0.2204,     0.4148
    0.711,   -0.7535,     0.2119,     0.2204,     0.4148
    0.713,   -0.7553,     0.2119,     0.2204,     0.4148
    0.715,   -0.7570,     0.2119,     0.2204,     0.4148
    0.717,   -0.7587,     0.2119,     0.2204,     0.4148
    0.719,   -0.7605,     0.2119,     0.2204,     0.4148
    0.721,   -0.7622,     0.2119,     0.2204,     0.4148
    0.723,   -0.7639,     0.2119,     0.2204,     0.4148
    0.725,   -0.7656,     0.2120,     0.2204,     0.4147
    0.727,   -0.7674,     0.2120,     0.2204,     0.4147
    0.729,   -0.7691,     0.2120,     0.2204,     0.4147
    0.731,   -0.7708,     0.2120,     0.2204,     0.4147
    0.733,   -0.7725,     0.2120,     0.2204,     0.4147
    0.735,   -0.7743,     0.2120,     0.2204,     0.4147
    0.737,   -0.7760,     0.2120,     0.2204,     0.4147
    0.739,   -0.7777,     0.2120,     0.2204,     0.4147
    0.741,   -0.7794,     0.2120,     0.2203,     0.4147
    0.743,   -0.7812,     0.2120,     0.2203,     0.4147
    0.745,   -0.7829,     0.2120,     0.2203,     0.4147
    0.747,   -0.7846,     0.2120,     0.2203,     0.4147
    0.749,   -0.7863,     0.2120,     0.2203,     0.4147
    0.751,   -0.7881,     0.2120,     0.2203,     0.4147
    0.753,   -0.7898,     0.2120,     0.2203,     0.4147
    0.755,   -0.7915,     0.2120,     0.2203,     0.4147
    0.757,   -0.7932,     0.2120,     0.2203,     0.4147
    0.759,   -0.7949,     0.2120,     0.2203,     0.4147
    0.761,   -0.7967,     0.2121,     0.2203,     0.4147
    0.763,   -0.7984,     0.2121,     0.2203,     0.4147
    0.765,   -0.8001,     0.2121,     0.2203,     0.4147
    0.767,   -0.8018,     0.2121,     0.2203,     0.4147
    0.769,   -0.8035,     0.2121,     0.2203,     0.4147
    0.771,   -0.8053,     0.2121,     0.2203,     0.4147
    0.773,   -0.8070,     0.2121,     0.2203,     0.4147
    0.775,   -0.8087,     0.2121,     0.2203,     0.4147
    0.777,   -0.8104,     0.2121,     0.2203,     0.4147
    0.779,   -0.8121,     0.2121,     0.2202,     0.4147
    0.781,   -0.8138,     0.2121,     0.2202,     0.4147
    0.783,   -0.8155,     0.2121,     0.2202,     0.4147
    0.785,   -0.8173,     0.2121,     0.2202,     0.4147
    0.787,   -0.8190,     0.2121,     0.2202,     0.4147
    0.789,   -0.8207,     0.2121,     0.2202,     0.4147
    0.791,   -0.8224,     0.2121,     0.2202,     0.4147
    0.793,   -0.8241,     0.2121,     0.2202,     0.4147
    0.795,   -0.8258,     0.2121,     0.2202,     0.4147
    0.797,   -0.8275,     0.2121,     0.2202,     0.4147
    0.799,   -0.8292,     0.2121,     0.2202,     0.4147
    0.801,   -0.8310,     0.2122,     0.2202,     0.4147
    0.803,   -0.8327,     0.2122,     0.2202,     0.4147
    0.805,   -0.8344,     0.2122,     0.2202,     0.4147
    0.807,   -0.8361,     0.2122,     0.2202,     0.4147
    0.809,   -0.8378,     0.2122,     0.2202,     0.4147
    0.811,   -0.8395,     0.2122,     0.2202,     0.4147
    0.813,   -0.8412,     0.2122,     0.2202,     0.4147
    0.815,   -0.8429,     0.2122,     0.2202,     0.4147
    0.817,   -0.8446,     0.2122,     0.2202,     0.4147
    0.819,   -0.8463,     0.2122,     0.2202,     0.4147
    0.821,   -0.8480,     0.2122,     0.2202,     0.4147
    0.823,   -0.8497,     0.2122,     0.2201,     0.4147
    0.825,   -0.8515,     0.2122,     0.2201,     0.4147
    0.827,   -0.8532,     0.2122,     0.2201,     0.4147
    0.829,   -0.8549,     0.2122,     0.2201,     0.4147
    0.831,   -0.8566,     0.2122,     0.2201,     0.4147
    0.833,   -0.8583,     0.2122,     0.2201,     0.4147
    0.835,   -0.8600,     0.2122,     0.2201,     0.4147
    0.837,   -0.8617,     0.2122,     0.2201,     0.4147
    0.839,   -0.8634,     0.2122,     0.2201,     0.4147
    0.841,   -0.8651,     0.2122,     0.2201,     0.4147
    0.843,   -0.8668,     0.2122,     0.2201,     0.4147
    0.845,   -0.8685,     0.2123,     0.2201,     0.4147
    0.847,   -0.8702,     0.2123,     0.2201,     0.4147
    0.849,   -0.8719,     0.2123,     0.2201,     0.4147
    0.851,   -0.8736,     0.2123,     0.2201,     0.4147
    0.853,   -0.8753,     0.2123,     0.2201,     0.4147
    0.855,   -0.8770,     0.2123,     0.2201,     0.4147
    0.857,   -0.8787,     0.2123,     0.2201,     0.4147
    0.859,   -0.8804,     0.2123,     0.2201,     0.4147
    0.861,   -0.8821,     0.2123,     0.2201,     0.4147
    0.863,   -0.8838,     0.2123,     0.2201,     0.4147
    0.865,   -0.8855,     0.2123,     0.2201,     0.4147
    0.867,   -0.8872,     0.2123,     0.2201,     0.4147
    0.869,   -0.8889,     0.2123,     0.2200,     0.4147
    0.871,   -0.8906,     0.2123,     0.2200,     0.4147
    0.873,   -0.8923,     0.2123,     0.2200,     0.4147
    0.875,   -0.8940,     0.2123,     0.2200,     0.4147
    0.877,   -0.8957,     0.2123,     0.2200,     0.4147
    0.879,   -0.8974,     0.2123,     0.2200,     0.4147
    0.881,   -0.8991,     0.2123,     0.2200,     0.4147
    0.883,   -0.9008,     0.2123,     0.2200,     0.4147
    0.885,   -0.9025,     0.2123,     0.2200,     0.4147
    0.887,   -0.9042,     0.2123,     0.2200,     0.4147
    0.889,   -0.9059,     0.2123,     0.2200,     0.4147
    0.891,   -0.9076,     0.2124,     0.2200,     0.4147
    0.893,   -0.9093,     0.2124,     0.2200,     0.4147
    0.895,   -0.9110,     0.2124,     0.2200,     0.4147
    0.897,   -0.9127,     0.2124,     0.2200,     0.4147
    0.899,   -0.9144,     0.2124,     0.2200,     0.4147
    0.901,   -0.9161,     0.2124,     0.2200,     0.4147
    0.903,   -0.9178,     0.2124,     0.2200,     0.4147
    0.905,   -0.9195,     0.2124,     0.2200,     0.4147
    0.907,   -0.9212,     0.2124,     0.2200,     0.4147
    0.909,   -0.9229,     0.2124,     0.2200,     0.4147
    0.911,   -0.9246,     0.2124,     0.2200,     0.4147
    0.913,   -0.9263,     0.2124,     0.2200,     0.4147
    0.915,   -0.9280,     0.2124,     0.2200,     0.4147
    0.917,   -0.9297,     0.2124,     0.2200,     0.4147
    0.919,   -0.9314,     0.2124,     0.2200,     0.4147
    0.921,   -0.9331,     0.2124,     0.2199,     0.4147
    0.923,   -0.9348,     0.2124,     0.2199,     0.4147
    0.925,   -0.9365,     0.2124,     0.2199,     0.4147
    0.927,   -0.9382,     0.2124,     0.2199,     0.4147
