Depth (m), T (deg C), thetaI (-), thetaL (-), thetaT (-)
    0.001,   -0.0028,     0.0000,     0.4008,     0.4008
    0.003,   -0.0083,     0.0000,     0.4010,     0.4010
    0.005,   -0.0134,     0.0510,     0.3545,     0.4013
    0.007,   -0.0181,     0.0847,     0.3238,     0.4015
    0.009,   -0.0224,     0.1055,     0.3049,     0.4017
    0.011,   -0.0265,     0.1198,     0.2921,     0.4019
    0.013,   -0.0304,     0.1302,     0.2827,     0.4021
    0.015,   -0.0342,     0.1382,     0.2756,     0.4023
    0.017,   -0.0379,     0.1445,     0.2700,     0.4025
    0.019,   -0.0415,     0.1497,     0.2654,     0.4027
    0.021,   -0.0451,     0.1540,     0.2617,     0.4029
    0.023,   -0.0486,     0.1577,     0.2585,     0.4031
    0.025,   -0.0521,     0.1609,     0.2558,     0.4033
    0.027,   -0.0555,     0.1637,     0.2534,     0.4035
    0.029,   -0.0588,     0.1661,     0.2514,     0.4037
    0.031,   -0.0621,     0.1683,     0.2496,     0.4039
    0.033,   -0.0654,     0.1703,     0.2479,     0.4041
    0.035,   -0.0687,     0.1721,     0.2465,     0.4043
    0.037,   -0.0719,     0.1737,     0.2452,     0.4045
    0.039,   -0.0751,     0.1752,     0.2440,     0.4047
    0.041,   -0.0782,     0.1766,     0.2430,     0.4049
    0.043,   -0.0814,     0.1779,     0.2420,     0.4051
    0.045,   -0.0845,     0.1790,     0.2411,     0.4053
    0.047,   -0.0875,     0.1801,     0.2402,     0.4054
    0.049,   -0.0906,     0.1812,     0.2395,     0.4056
    0.051,   -0.0936,     0.1822,     0.2388,     0.4058
    0.053,   -0.0966,     0.1831,     0.2381,     0.4060
    0.055,   -0.0996,     0.1839,     0.2375,     0.4062
    0.057,   -0.1025,     0.1847,     0.2369,     0.4063
    0.059,   -0.1055,     0.1855,     0.2364,     0.4065
    0.061,   -0.1084,     0.1863,     0.2359,     0.4067
    0.063,   -0.1113,     0.1870,     0.2354,     0.4068
    0.065,   -0.1142,     0.1876,     0.2349,     0.4070
    0.067,   -0.1170,     0.1883,     0.2345,     0.4072
    0.069,   -0.1199,     0.1889,     0.2341,     0.4073
    0.071,   -0.1227,     0.1895,     0.2337,     0.4075
    0.073,   -0.1255,     0.1900,     0.2334,     0.4076
    0.075,   -0.1283,     0.1906,     0.2330,     0.4078
    0.077,   -0.1311,     0.1911,     0.2327,     0.4079
    0.079,   -0.1338,     0.1916,     0.2324,     0.4081
    0.081,   -0.1365,     0.1921,     0.2321,     0.4082
    0.083,   -0.1393,     0.1926,     0.2318,     0.4084
    0.085,   -0.1420,     0.1930,     0.2315,     0.4085
    0.087,   -0.1447,     0.1934,     0.2313,     0.4087
    0.089,   -0.1473,     0.1939,     0.2310,     0.4088
    0.091,   -0.1500,     0.1943,     0.2308,     0.4090
    0.093,   -0.1527,     0.1947,     0.2306,     0.4091
    0.095,   -0.1553,     0.1951,     0.2304,     0.4092
    0.097,   -0.1579,     0.1954,     0.2301,     0.4094
    0.099,   -0.1605,     0.1958,     0.2299,     0.4095
    0.101,   -0.1631,     0.1961,     0.2297,     0.4096
    0.103,   -0.1657,     0.1965,     0.2296,     0.4097
    0.105,   -0.1682,     0.1968,     0.2294,     0.4099
    0.107,   -0.1708,     0.1971,     0.2292,     0.4100
    0.109,   -0.1733,     0.1975,     0.2290,     0.4101
    0.111,   -0.1759,     0.1978,     0.2289,     0.4102
    0.113,   -0.1784,     0.1981,     0.2287,     0.4103
    0.115,   -0.1809,     0.1983,     0.2286,     0.4104
    0.117,   -0.1834,     0.1986,     0.2284,     0.4106
    0.119,   -0.1859,     0.1989,     0.2283,     0.4107
    0.121,   -0.1883,     0.1992,     0.2281,     0.4108
    0.123,   -0.1908,     0.1994,     0.2280,     0.4109
    0.125,   -0.1932,     0.1997,     0.2279,     0.4110
    0.127,   -0.1957,     0.1999,     0.2277,     0.4111
    0.129,   -0.1981,     0.2002,     0.2276,     0.4112
    0.131,   -0.2005,     0.2004,     0.2275,     0.4113
    0.133,   -0.2029,     0.2006,     0.2274,     0.4114
    0.135,   -0.2053,     0.2009,     0.2273,     0.4115
    0.137,   -0.2077,     0.2011,     0.2272,     0.4116
    0.139,   -0.2101,     0.2013,     0.2271,     0.4117
    0.141,   -0.2125,     0.2015,     0.2269,     0.4117
    0.143,   -0.2148,     0.2017,     0.2268,     0.4118
    0.145,   -0.2172,     0.2019,     0.2267,     0.4119
    0.147,   -0.2195,     0.2021,     0.2267,     0.4120
    0.149,   -0.2218,     0.2023,     0.2266,     0.4121
    0.151,   -0.2241,     0.2025,     0.2265,     0.4122
    0.153,   -0.2264,     0.2027,     0.2264,     0.4122
    0.155,   -0.2288,     0.2029,     0.2263,     0.4123
    0.157,   -0.2310,     0.2030,     0.2262,     0.4124
    0.159,   -0.2333,     0.2032,     0.2261,     0.4125
    0.161,   -0.2356,     0.2034,     0.2260,     0.4125
    0.163,   -0.2379,     0.2035,     0.2260,     0.4126
    0.165,   -0.2401,     0.2037,     0.2259,     0.4127
    0.167,   -0.2424,     0.2038,     0.2258,     0.4127
    0.169,   -0.2446,     0.2040,     0.2257,     0.4128
    0.171,   -0.2469,     0.2041,     0.2257,     0.4129
    0.173,   -0.2491,     0.2043,     0.2256,     0.4129
    0.175,   -0.2513,     0.2044,     0.2255,     0.4130
    0.177,   -0.2535,     0.2046,     0.2255,     0.4130
    0.179,   -0.2558,     0.2047,     0.2254,     0.4131
    0.181,   -0.2580,     0.2048,     0.2253,     0.4132
    0.183,   -0.2601,     0.2050,     0.2253,     0.4132
    0.185,   -0.2623,     0.2051,     0.2252,     0.4133
    0.187,   -0.2645,     0.2052,     0.2251,     0.4133
    0.189,   -0.2667,     0.2053,     0.2251,     0.4134
    0.191,   -0.2689,     0.2055,     0.2250,     0.4134
    0.193,   -0.2710,     0.2056,     0.2250,     0.4135
    0.195,   -0.2732,     0.2057,     0.2249,     0.4135
    0.197,   -0.2753,     0.2058,     0.2249,     0.4136
    0.199,   -0.2775,     0.2059,     0.2248,     0.4136
    0.201,   -0.2796,     0.2060,     0.2247,     0.4137
    0.203,   -0.2817,     0.2061,     0.2247,     0.4137
    0.205,   -0.2839,     0.2062,     0.2246,     0.4137
    0.207,   -0.2860,     0.2063,     0.2246,     0.4138
    0.209,   -0.2881,     0.2064,     0.2245,     0.4138
    0.211,   -0.2902,     0.2065,     0.2245,     0.4139
    0.213,   -0.2923,     0.2066,     0.2244,     0.4139
    0.215,   -0.2944,     0.2067,     0.2244,     0.4139
    0.217,   -0.2965,     0.2068,     0.2243,     0.4140
    0.219,   -0.2986,     0.2069,     0.2243,     0.4140
    0.221,   -0.3007,     0.2070,     0.2243,     0.4140
